ABORT_PENALTY,CC_ALG,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,wait_portion,abort_ratio,txn_cnt,CLV_RETIRED_ON,total_cnt
1,CLV,false,100000,2,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,2.005320,198529.885094,0.000000,0.101968,0.216170,1.104553,0.005635,0.000000,0.000219,0.000109209502722757,0,199058,0,1.99058e5
1,CLV,false,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.678764,147326.639094,0.000000,0.035742,0.072749,0.243648,0.002702,0.000000,0.000000,0,0,100000,0,1e5
1,CLV,false,100000,1,true,16,TPCC,195063,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000071,113.507493,224888.202548,7.730815,55.651223,0.932466,72.492280,0.063604,0.000000,18.302826,0.161247733662834,0.121914375,1595406,0,1.790469e6
1,CLV,false,100000,1,true,8,TPCC,40599,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,23.975769,265872.427461,0.724577,11.330700,0.401502,17.148355,0.026858,0.000000,0.615351,0.0256655375683675,0.05074875,796812,0,8.37411e5
1,CLV,false,100000,1,true,4,TPCC,6979,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,8.589953,184896.464434,0.070310,3.371208,0.210842,5.879669,0.012351,0.000000,0.072924,0.00848945273623732,0.0174475,397063,0,4.04042e5
1,CLV,false,100000,1,true,2,TPCC,1183,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,3.009127,131416.169284,0.008270,0.800008,0.095491,1.914191,0.007259,0.000000,0.006416,0.00213217986479135,0.005915,197724,0,1.98907e5
1,CLV,false,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.558347,179100.189900,0.000000,0.034364,0.064410,0.183509,0.002582,0.000000,0.000000,0,0,100000,0,1e5
1,CLV,false,100000,16,true,16,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,22.155296,1034112.672461,0.000000,0.989502,3.660015,11.349563,0.046499,0.000000,0.001035,4.67156927174433e-5,0,1431942,0,1.431942e6
1,CLV,false,100000,16,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,10.318959,585634.276352,0.000000,0.455010,1.582727,5.224156,0.023620,0.000000,0.000160,1.55054400351818e-5,0,755392,0,7.55392e5
1,CLV,false,100000,16,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.433376,334372.702820,0.000000,0.197642,0.634890,2.096181,0.010539,0.000000,0.000014,3.1578643453657e-6,0,370600,0,3.706e5
1,CLV,false,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,2.397014,166659.884060,0.000000,0.099944,0.385905,1.090833,0.005378,0.000000,0.000048,2.00249143309134e-5,0,199743,0,1.99743e5
1,CLV,false,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,0.972766,102799.683591,0.000000,0.035779,0.145640,0.271121,0.002658,0.000000,0.000000,0,0,100000,0,1e5
