0,2,1
,,wait SH lock 536900749115690
,,acquire lock 536900749115690
,,remove lock 536900749115690 from owners
,,retire lock 536900749115690
,,wait SH lock 536900749127610
,wait SH lock 536901110256523,
,acquire lock 536901110256523,
start txn 66,,
,,acquire lock 536900749127610
,remove lock 536901110256523 from owners,
,txn 11 set aborted,
,release lock 536900736692254 from retired,
wound txn 16,,txn 16 set abort by 66
,release lock 536900749126631 from retired,
wound 16 on 536900749115690,,16 wounded by 66
,,removed lock 536900749115690 from retired by 66
,release lock 536901419883849 from retired,
wait EX lock 536900749115690,,
acquire lock 536900749115690,,
,,remove lock 536900749127610 from owners
,,retire lock 536900749127610
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
,,txn 16 set aborted
,,release lock 536900749127610 from retired
wait EX lock 536901460032992,,
acquire lock 536901460032992,,
remove lock 536901460032992 from owners,,
retire lock 536901460032992,,
wait SH lock 536900749127610,,
acquire lock 536900749127610,,
remove lock 536900749127610 from owners,,
retire lock 536900749127610,,
wait EX lock 536900697854012,,
acquire lock 536900697854012,,
remove lock 536900697854012 from owners,,
retire lock 536900697854012,,
wait SH lock 536900972851804,,
acquire lock 536900972851804,,
remove lock 536900972851804 from owners,,
retire lock 536900972851804,,
wait EX lock 536900688518015,,
acquire lock 536900688518015,,
remove lock 536900688518015 from owners,,
retire lock 536900688518015,,
wait SH lock 536900938648248,,
acquire lock 536900938648248,,
remove lock 536900938648248 from owners,,
retire lock 536900938648248,,
wait EX lock 536900698700721,,
acquire lock 536900698700721,,
remove lock 536900698700721 from owners,,
retire lock 536900698700721,,
wait SH lock 536900976012338,,
acquire lock 536900976012338,,
remove lock 536900976012338 from owners,,
retire lock 536900976012338,,
wait EX lock 536900708565865,,
acquire lock 536900708565865,,
remove lock 536900708565865 from owners,,
retire lock 536900708565865,,
wait SH lock 536901010872009,,
acquire lock 536901010872009,,
remove lock 536901010872009 from owners,,
retire lock 536901010872009,,
wait EX lock 536900725285606,,
acquire lock 536900725285606,,
remove lock 536900725285606 from owners,,
retire lock 536900725285606,,
wait SH lock 536901072094414,,
acquire lock 536901072094414,,
remove lock 536901072094414 from owners,,
retire lock 536901072094414,,
wait EX lock 536900707018453,,
acquire lock 536900707018453,,
remove lock 536900707018453 from owners,,
retire lock 536900707018453,,
wait SH lock 536901006717506,,
acquire lock 536901006717506,,
remove lock 536901006717506 from owners,,
retire lock 536901006717506,,
wait EX lock 536900659467634,,
acquire lock 536900659467634,,
remove lock 536900659467634 from owners,,
retire lock 536900659467634,,
wait SH lock 536900836922562,,
acquire lock 536900836922562,,
remove lock 536900836922562 from owners,,
retire lock 536900836922562,,
wait EX lock 536900692389180,,
acquire lock 536900692389180,,
remove lock 536900692389180 from owners,,
retire lock 536900692389180,,
wait SH lock 536900953108350,,
acquire lock 536900953108350,,
remove lock 536900953108350 from owners,,
retire lock 536900953108350,,
wait EX lock 536900745070553,,
acquire lock 536900745070553,,
remove lock 536900745070553 from owners,,
retire lock 536900745070553,,
wait SH lock 536901141337245,,
acquire lock 536901141337245,,
remove lock 536901141337245 from owners,,
retire lock 536901141337245,,
wait EX lock 536900724443276,,
acquire lock 536900724443276,,
remove lock 536900724443276 from owners,,
retire lock 536900724443276,,
wait SH lock 536901068913520,,
acquire lock 536901068913520,,
remove lock 536901068913520 from owners,,
retire lock 536901068913520,,
wait EX lock 536900707780935,,
acquire lock 536900707780935,,
remove lock 536900707780935 from owners,,
retire lock 536900707780935,,
wait SH lock 536901008707160,,
acquire lock 536901008707160,,
remove lock 536901008707160 from owners,,
retire lock 536901008707160,,
wait EX lock 536900716891275,,
acquire lock 536900716891275,,
remove lock 536900716891275 from owners,,
retire lock 536900716891275,,
wait SH lock 536901040907344,,
acquire lock 536901040907344,,
remove lock 536901040907344 from owners,,
retire lock 536901040907344,,
pre-commit: txn 66's barriers = 0,,
txn 66 set commited,,
release lock 536901040907344 from retired,,
release lock 536900716891275 from retired,,
release lock 536901008707160 from retired,,
release lock 536900707780935 from retired,,
release lock 536901068913520 from retired,,
release lock 536900724443276 from retired,,
release lock 536901141337245 from retired,,
release lock 536900745070553 from retired,,
release lock 536900953108350 from retired,,
release lock 536900692389180 from retired,,
release lock 536900836922562 from retired,,
release lock 536900659467634 from retired,,
release lock 536901006717506 from retired,,
release lock 536900707018453 from retired,,
release lock 536901072094414 from retired,,
release lock 536900725285606 from retired,,
release lock 536901010872009 from retired,,
release lock 536900708565865 from retired,,
release lock 536900976012338 from retired,,
release lock 536900698700721 from retired,,
release lock 536900938648248 from retired,,
release lock 536900688518015 from retired,,
release lock 536900972851804 from retired,,
release lock 536900697854012 from retired,,
release lock 536900749127610 from retired,,
release lock 536901460032992 from retired,,
release lock 536900749115690 from retired,,
start txn 69,,
wait EX lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait EX lock 536901388886803,,
acquire lock 536901388886803,,
remove lock 536901388886803 from owners,,
retire lock 536901388886803,,
wait SH lock 536900749125596,,
acquire lock 536900749125596,,
remove lock 536900749125596 from owners,,
retire lock 536900749125596,,
wait EX lock 536900745590969,,
acquire lock 536900745590969,,
remove lock 536900745590969 from owners,,
retire lock 536900745590969,,
wait SH lock 536901143332300,,
acquire lock 536901143332300,,
remove lock 536901143332300 from owners,,
retire lock 536901143332300,,
wait EX lock 536900647040495,,
acquire lock 536900647040495,,
remove lock 536900647040495 from owners,,
retire lock 536900647040495,,
wait SH lock 536900789888157,,
acquire lock 536900789888157,,
remove lock 536900789888157 from owners,,
retire lock 536900789888157,,
wait EX lock 536900659259814,,
acquire lock 536900659259814,,
remove lock 536900659259814 from owners,,
retire lock 536900659259814,,
wait SH lock 536900836183115,,
acquire lock 536900836183115,,
remove lock 536900836183115 from owners,,
retire lock 536900836183115,,
wait EX lock 536900642162281,,
acquire lock 536900642162281,,
remove lock 536900642162281 from owners,,
retire lock 536900642162281,,
wait SH lock 536900770735745,,
acquire lock 536900770735745,,
remove lock 536900770735745 from owners,,
retire lock 536900770735745,,
wait EX lock 536900738930632,,
acquire lock 536900738930632,,
remove lock 536900738930632 from owners,,
retire lock 536900738930632,,
wait SH lock 536901118552934,,
acquire lock 536901118552934,,
remove lock 536901118552934 from owners,,
retire lock 536901118552934,,
wait EX lock 536900701311248,,
acquire lock 536900701311248,,
remove lock 536900701311248 from owners,,
retire lock 536900701311248,,
wait SH lock 536900985726105,,
acquire lock 536900985726105,,
remove lock 536900985726105 from owners,,
retire lock 536900985726105,,
wait EX lock 536900654815891,,
acquire lock 536900654815891,,
remove lock 536900654815891 from owners,,
retire lock 536900654815891,,
wait SH lock 536900819722691,,
acquire lock 536900819722691,,
remove lock 536900819722691 from owners,,
retire lock 536900819722691,,
wait EX lock 536900699238718,,
acquire lock 536900699238718,,
remove lock 536900699238718 from owners,,
retire lock 536900699238718,,
wait SH lock 536900978042167,,
acquire lock 536900978042167,,
remove lock 536900978042167 from owners,,
retire lock 536900978042167,,
pre-commit: txn 69's barriers = 0,,
txn 69 set commited,,
release lock 536900978042167 from retired,,
release lock 536900699238718 from retired,,
release lock 536900819722691 from retired,,
release lock 536900654815891 from retired,,
release lock 536900985726105 from retired,,
release lock 536900701311248 from retired,,
release lock 536901118552934 from retired,,
release lock 536900738930632 from retired,,
release lock 536900770735745 from retired,,
release lock 536900642162281 from retired,,
release lock 536900836183115 from retired,,
release lock 536900659259814 from retired,,
release lock 536900789888157 from retired,,
release lock 536900647040495 from retired,,
release lock 536901143332300 from retired,,
release lock 536900745590969 from retired,,
release lock 536900749125596 from retired,,
release lock 536901388886803 from retired,,
release lock 536900749115690 from retired,,
start txn 72,,
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait SH lock 536900749126631,,
acquire lock 536900749126631,,
remove lock 536900749126631 from owners,,
retire lock 536900749126631,,
wait SH lock 536901197093338,,
acquire lock 536901197093338,,
remove lock 536901197093338 from owners,,
retire lock 536901197093338,,
pre-commit: txn 72's barriers = 0,,
txn 72 set commited,,
release lock 536901197093338 from retired,,
release lock 536900749126631 from retired,,
release lock 536900749115690 from retired,,
start txn 75,,
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait SH lock 536900749124528,,
acquire lock 536900749124528,,
remove lock 536900749124528 from owners,,
retire lock 536900749124528,,
wait SH lock 536901345374670,,
acquire lock 536901345374670,,
remove lock 536901345374670 from owners,,
retire lock 536901345374670,,
pre-commit: txn 75's barriers = 0,,
txn 75 set commited,,
release lock 536901345374670 from retired,,
release lock 536900749124528 from retired,,
release lock 536900749115690 from retired,,
start txn 78,,
wait EX lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait EX lock 536901343622683,,
acquire lock 536901343622683,,
remove lock 536901343622683 from owners,,
retire lock 536901343622683,,
wait SH lock 536900749124528,,
acquire lock 536900749124528,,
remove lock 536900749124528 from owners,,
retire lock 536900749124528,,
wait EX lock 536900726014465,,
acquire lock 536900726014465,,
remove lock 536900726014465 from owners,,
retire lock 536900726014465,,
wait SH lock 536901074889940,,
acquire lock 536901074889940,,
remove lock 536901074889940 from owners,,
retire lock 536901074889940,,
wait EX lock 536900725558186,,
acquire lock 536900725558186,,
remove lock 536900725558186 from owners,,
retire lock 536900725558186,,
,,start txn 19
wait SH lock 536901073132621,,
,,wait SH lock 536900749115690
acquire lock 536901073132621,,
,,acquire lock 536900749115690
,,remove lock 536900749115690 from owners
,,retire lock 536900749115690
remove lock 536901073132621 from owners,,
retire lock 536901073132621,,
,,"txn 19 increment barrier, now should be 1"
wait EX lock 536900667095628,,
acquire lock 536900667095628,,
remove lock 536900667095628 from owners,,
retire lock 536900667095628,,
wait SH lock 536900861827221,,
acquire lock 536900861827221,,
remove lock 536900861827221 from owners,,
retire lock 536900861827221,,
wait EX lock 536900725555616,,
acquire lock 536900725555616,,
remove lock 536900725555616 from owners,,
retire lock 536900725555616,,
wait SH lock 536901073121607,,
,,wait SH lock 536900749127610
,,acquire lock 536900749127610
,,remove lock 536900749127610 from owners
,,retire lock 536900749127610
,,wait SH lock 536901466856823
,,acquire lock 536901466856823
,,remove lock 536901466856823 from owners
,,retire lock 536901466856823
,,pre-commit: txn 19's barriers = 1
acquire lock 536901073121607,,
remove lock 536901073121607 from owners,,
retire lock 536901073121607,,
wait EX lock 536900724057217,,
acquire lock 536900724057217,,
remove lock 536900724057217 from owners,,
retire lock 536900724057217,,
wait SH lock 536901067723391,,
acquire lock 536901067723391,,
remove lock 536901067723391 from owners,,
retire lock 536901067723391,,
wait EX lock 536900685321050,,
acquire lock 536900685321050,,
remove lock 536900685321050 from owners,,
retire lock 536900685321050,,
wait SH lock 536900928394423,,
acquire lock 536900928394423,,
remove lock 536900928394423 from owners,,
retire lock 536900928394423,,
wait EX lock 536900660354520,,
acquire lock 536900660354520,,
remove lock 536900660354520 from owners,,
retire lock 536900660354520,,
wait SH lock 536900840388380,,
acquire lock 536900840388380,,
remove lock 536900840388380 from owners,,
retire lock 536900840388380,,
wait EX lock 536900679491489,,
acquire lock 536900679491489,,
remove lock 536900679491489 from owners,,
retire lock 536900679491489,,
wait SH lock 536900907678355,,
acquire lock 536900907678355,,
remove lock 536900907678355 from owners,,
retire lock 536900907678355,,
wait EX lock 536900732777962,,
acquire lock 536900732777962,,
remove lock 536900732777962 from owners,,
retire lock 536900732777962,,
wait SH lock 536901095645853,,
acquire lock 536901095645853,,
remove lock 536901095645853 from owners,,
retire lock 536901095645853,,
wait EX lock 536900657382088,,
acquire lock 536900657382088,,
remove lock 536900657382088 from owners,,
retire lock 536900657382088,,
wait SH lock 536900829012350,,
acquire lock 536900829012350,,
remove lock 536900829012350 from owners,,
retire lock 536900829012350,,
wait EX lock 536900693378883,,
acquire lock 536900693378883,,
remove lock 536900693378883 from owners,,
retire lock 536900693378883,,
wait SH lock 536900956813251,,
acquire lock 536900956813251,,
remove lock 536900956813251 from owners,,
retire lock 536900956813251,,
wait EX lock 536900678509355,,
acquire lock 536900678509355,,
remove lock 536900678509355 from owners,,
retire lock 536900678509355,,
wait SH lock 536900904211521,,
acquire lock 536900904211521,,
remove lock 536900904211521 from owners,,
retire lock 536900904211521,,
wait EX lock 536900675034336,,
acquire lock 536900675034336,,
remove lock 536900675034336 from owners,,
retire lock 536900675034336,,
wait SH lock 536900891313578,,
acquire lock 536900891313578,,
remove lock 536900891313578 from owners,,
retire lock 536900891313578,,
wait EX lock 536900694670204,,
acquire lock 536900694670204,,
remove lock 536900694670204 from owners,,
retire lock 536900694670204,,
wait SH lock 536900961393410,,
acquire lock 536900961393410,,
remove lock 536900961393410 from owners,,
retire lock 536900961393410,,
pre-commit: txn 78's barriers = 0,,
txn 78 set commited,,
release lock 536900961393410 from retired,,
release lock 536900694670204 from retired,,
release lock 536900891313578 from retired,,
release lock 536900675034336 from retired,,
release lock 536900904211521 from retired,,
release lock 536900678509355 from retired,,
release lock 536900956813251 from retired,,
release lock 536900693378883 from retired,,
release lock 536900829012350 from retired,,
release lock 536900657382088 from retired,,
release lock 536901095645853 from retired,,
release lock 536900732777962 from retired,,
release lock 536900907678355 from retired,,
release lock 536900679491489 from retired,,
release lock 536900840388380 from retired,,
release lock 536900660354520 from retired,,
release lock 536900928394423 from retired,,
release lock 536900685321050 from retired,,
release lock 536901067723391 from retired,,
release lock 536900724057217 from retired,,
release lock 536901073121607 from retired,,
release lock 536900725555616 from retired,,
release lock 536900861827221 from retired,,
release lock 536900667095628 from retired,,
release lock 536901073132621 from retired,,
release lock 536900725558186 from retired,,
release lock 536901074889940 from retired,,
release lock 536900726014465 from retired,,
release lock 536900749124528 from retired,,
release lock 536901343622683 from retired,,
release lock 536900749115690 from retired,,
,,"txn 19 decrement barrier, now should be 0"
,,txn 19 set commited
,,release lock 536901466856823 from retired
start txn 81,,
wait SH lock 536900749115690,,
,,release lock 536900749127610 from retired
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
"txn 81 increment barrier, now should be 1",,
,,release lock 536900749115690 from retired
wait SH lock 536900749127610,,
"txn 81 decrement barrier, now should be 0",,
acquire lock 536900749127610,,
remove lock 536900749127610 from owners,,
retire lock 536900749127610,,
,,start txn 22
wait SH lock 536901466045189,,
txn 81 set abort by 22,,wound txn 81
acquire lock 536901466045189,,
81 wounded by 22,,wound 81 on 536900749115690
removed lock 536900749115690 from retired by 22,,
remove lock 536901466045189 from owners,,
,,wait EX lock 536900749115690
,,acquire lock 536900749115690
,,remove lock 536900749115690 from owners
txn 81 set aborted,,
,,retire lock 536900749115690
release lock 536900749127610 from retired,,
start txn 84,,
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
"txn 84 increment barrier, now should be 1",,
wait SH lock 536900749127610,,
acquire lock 536900749127610,,
remove lock 536900749127610 from owners,,
retire lock 536900749127610,,
wait SH lock 536901466045189,,
acquire lock 536901466045189,,
remove lock 536901466045189 from owners,,
retire lock 536901466045189,,
,,wait EX lock 536901280833034
pre-commit: txn 84's barriers = 1,,
,,acquire lock 536901280833034
,,remove lock 536901280833034 from owners
,,retire lock 536901280833034
,,wait SH lock 536900749122391
,,acquire lock 536900749122391
,,remove lock 536900749122391 from owners
,,retire lock 536900749122391
,,wait EX lock 536900669091421
,,acquire lock 536900669091421
,,remove lock 536900669091421 from owners
,,retire lock 536900669091421
,,wait SH lock 536900869327392
,,acquire lock 536900869327392
,,remove lock 536900869327392 from owners
,,retire lock 536900869327392
,,wait EX lock 536900725137470
,,acquire lock 536900725137470
,,remove lock 536900725137470 from owners
,,retire lock 536900725137470
,,wait SH lock 536901071501997
,,acquire lock 536901071501997
,,remove lock 536901071501997 from owners
,,retire lock 536901071501997
,,wait EX lock 536900714285640
,,acquire lock 536900714285640
,,remove lock 536900714285640 from owners
,,retire lock 536900714285640
,,wait SH lock 536901031206880
,,acquire lock 536901031206880
,,remove lock 536901031206880 from owners
,,retire lock 536901031206880
,,wait EX lock 536900707596458
,,acquire lock 536900707596458
,,remove lock 536900707596458 from owners
,,retire lock 536900707596458
,,wait SH lock 536901008259862
,,acquire lock 536901008259862
,,remove lock 536901008259862 from owners
,,retire lock 536901008259862
,,wait EX lock 536900707053427
,,acquire lock 536900707053427
,,remove lock 536900707053427 from owners
,,retire lock 536900707053427
,,wait SH lock 536901006862817
,,acquire lock 536901006862817
,,remove lock 536901006862817 from owners
,,retire lock 536901006862817
,,wait EX lock 536900661219706
,,acquire lock 536900661219706
,,remove lock 536900661219706 from owners
,,retire lock 536900661219706
,,wait SH lock 536900843620724
,,acquire lock 536900843620724
,,remove lock 536900843620724 from owners
,,retire lock 536900843620724
,,wait EX lock 536900680588426
,,acquire lock 536900680588426
,,remove lock 536900680588426 from owners
,,retire lock 536900680588426
,,wait SH lock 536900911762913
,,acquire lock 536900911762913
,,remove lock 536900911762913 from owners
,,retire lock 536900911762913
,,wait EX lock 536900717670230
,,acquire lock 536900717670230
,,remove lock 536900717670230 from owners
,,retire lock 536900717670230
,,wait SH lock 536901043865701
,,acquire lock 536901043865701
,,remove lock 536901043865701 from owners
,,retire lock 536901043865701
,,wait EX lock 536900684901123
,,acquire lock 536900684901123
,,remove lock 536900684901123 from owners
,,retire lock 536900684901123
,,wait SH lock 536900927168678
,,acquire lock 536900927168678
,,remove lock 536900927168678 from owners
,,retire lock 536900927168678
,,wait EX lock 536900652819400
,,acquire lock 536900652819400
,,remove lock 536900652819400 from owners
,,retire lock 536900652819400
,,wait SH lock 536900812037747
,,acquire lock 536900812037747
,,remove lock 536900812037747 from owners
,,retire lock 536900812037747
,,wait EX lock 536900718276747
,,acquire lock 536900718276747
,,remove lock 536900718276747 from owners
,,retire lock 536900718276747
,,wait SH lock 536901046151862
,,acquire lock 536901046151862
,,remove lock 536901046151862 from owners
,,retire lock 536901046151862
,,wait EX lock 536900693531825
,,acquire lock 536900693531825
,,remove lock 536900693531825 from owners
,,retire lock 536900693531825
,,wait SH lock 536900957391394
,,acquire lock 536900957391394
,,remove lock 536900957391394 from owners
,,retire lock 536900957391394
,,wait EX lock 536900724211871
,,acquire lock 536900724211871
,,remove lock 536900724211871 from owners
,,retire lock 536900724211871
,,wait SH lock 536901068229306
,,acquire lock 536901068229306
,,remove lock 536901068229306 from owners
,,retire lock 536901068229306
,,pre-commit: txn 22's barriers = 0
,,txn 22 set commited
,,release lock 536901068229306 from retired
,,release lock 536900724211871 from retired
,,release lock 536900957391394 from retired
,,release lock 536900693531825 from retired
,,release lock 536901046151862 from retired
,,release lock 536900718276747 from retired
,,release lock 536900812037747 from retired
,start txn 14,
,,release lock 536900652819400 from retired
txn 84 set aborted,,
txn 84 set abort by 14,wound txn 84,
,,release lock 536900927168678 from retired
84 wounded by 14,wound 84 on 536900749115690,
removed lock 536900749115690 from retired by 14,,
,wait EX lock 536900749115690,
,acquire lock 536900749115690,
,remove lock 536900749115690 from owners,
release lock 536901466045189 from retired,,
,,release lock 536900684901123 from retired
,,release lock 536901043865701 from retired
,,release lock 536900717670230 from retired
,,release lock 536900911762913 from retired
,,release lock 536900680588426 from retired
,retire lock 536900749115690,
,,release lock 536900843620724 from retired
,,release lock 536900661219706 from retired
,,release lock 536901006862817 from retired
,,release lock 536900707053427 from retired
,,release lock 536901008259862 from retired
,"txn 14 increment barrier, now should be 1",
,wait EX lock 536901419883849,
,,release lock 536900707596458 from retired
,acquire lock 536901419883849,
,remove lock 536901419883849 from owners,
,,release lock 536901031206880 from retired
,retire lock 536901419883849,
,,release lock 536900714285640 from retired
,,release lock 536901071501997 from retired
,wait SH lock 536900749126631,
,acquire lock 536900749126631,
,remove lock 536900749126631 from owners,
,retire lock 536900749126631,
,wait EX lock 536900736692254,
,acquire lock 536900736692254,
,remove lock 536900736692254 from owners,
,retire lock 536900736692254,
release lock 536900749127610 from retired,,
,wait SH lock 536901110256523,
,acquire lock 536901110256523,
,remove lock 536901110256523 from owners,
,retire lock 536901110256523,
,wait EX lock 536900669876681,
,acquire lock 536900669876681,
,remove lock 536900669876681 from owners,
,retire lock 536900669876681,
,wait SH lock 536900872240790,
,acquire lock 536900872240790,
start txn 87,,
wound txn 14,txn 14 set abort by 87,
wound 14 on 536900749115690,14 wounded by 87,
,removed lock 536900749115690 from retired by 87,
wait SH lock 536900749115690,,
,remove lock 536900872240790 from owners,
acquire lock 536900749115690,,
,retire lock 536900872240790,
,,release lock 536900725137470 from retired
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
,txn 14 set aborted,
,release lock 536900872240790 from retired,
"txn 87 increment barrier, now should be 1",,
wait SH lock 536900749127610,,
,release lock 536900669876681 from retired,
acquire lock 536900749127610,,
remove lock 536900749127610 from owners,,
,release lock 536901110256523 from retired,
,release lock 536900736692254 from retired,
,release lock 536900749126631 from retired,
retire lock 536900749127610,,
,release lock 536901419883849 from retired,
,,release lock 536900869327392 from retired
,,release lock 536900669091421 from retired
,,release lock 536900749122391 from retired
wait SH lock 536901466045189,,
acquire lock 536901466045189,,
remove lock 536901466045189 from owners,,
retire lock 536901466045189,,
pre-commit: txn 87's barriers = 1,,
,,release lock 536901280833034 from retired
,,release lock 536900749115690 from retired
"txn 87 decrement barrier, now should be 0",,
txn 87 set commited,,
release lock 536901466045189 from retired,,
,,start txn 25
release lock 536900749127610 from retired,,
,,wait SH lock 536900749115690
,,acquire lock 536900749115690
,,remove lock 536900749115690 from owners
,,retire lock 536900749115690
,,"txn 25 increment barrier, now should be 1"
,,wait SH lock 536900749128487
,,acquire lock 536900749128487
,,remove lock 536900749128487 from owners
,,retire lock 536900749128487
release lock 536900749115690 from retired,,
,,wait SH lock 536901501852171
,,acquire lock 536901501852171
,,"txn 25 decrement barrier, now should be 0"
,,remove lock 536901501852171 from owners
,,retire lock 536901501852171
,,pre-commit: txn 25's barriers = 0
,,txn 25 set commited
,,release lock 536901501852171 from retired
,,release lock 536900749128487 from retired
start txn 90,,
,,release lock 536900749115690 from retired
,,start txn 28
,,wait EX lock 536900749115690
,,acquire lock 536900749115690
,,remove lock 536900749115690 from owners
,,retire lock 536900749115690
,,wait EX lock 536901428689834
,,acquire lock 536901428689834
,,remove lock 536901428689834 from owners
,,retire lock 536901428689834
wait EX lock 536900749115690,,
acquire lock 536900749115690,,
,,wait SH lock 536900749126631
,,acquire lock 536900749126631
remove lock 536900749115690 from owners,,
,,remove lock 536900749126631 from owners
retire lock 536900749115690,,
,,retire lock 536900749126631
"txn 90 increment barrier, now should be 1",,
,,wait EX lock 536900652568177
,,acquire lock 536900652568177
,,remove lock 536900652568177 from owners
,,retire lock 536900652568177
wait EX lock 536901158921976,,
,,wait SH lock 536900811095681
acquire lock 536901158921976,,
,,acquire lock 536900811095681
remove lock 536901158921976 from owners,,
retire lock 536901158921976,,
wait SH lock 536900749118025,,
,,remove lock 536900811095681 from owners
acquire lock 536900749118025,,
,,retire lock 536900811095681
remove lock 536900749118025 from owners,,
,,wait EX lock 536900652649125
retire lock 536900749118025,,
,,acquire lock 536900652649125
wait EX lock 536900691867832,,
,,remove lock 536900652649125 from owners
acquire lock 536900691867832,,
,,retire lock 536900652649125
remove lock 536900691867832 from owners,,
,,wait SH lock 536900811398469
retire lock 536900691867832,,
,,acquire lock 536900811398469
wait SH lock 536900951186440,,
,,remove lock 536900811398469 from owners
,,retire lock 536900811398469
,,wait EX lock 536900738357367
,,acquire lock 536900738357367
,,remove lock 536900738357367 from owners
,,retire lock 536900738357367
,,wait SH lock 536901116490394
,,acquire lock 536901116490394
,,remove lock 536901116490394 from owners
,,retire lock 536901116490394
acquire lock 536900951186440,,
,,wait EX lock 536900651744837
remove lock 536900951186440 from owners,,
,,acquire lock 536900651744837
retire lock 536900951186440,,
,,remove lock 536900651744837 from owners
wait EX lock 536900695307879,,
,,retire lock 536900651744837
acquire lock 536900695307879,,
,,wait SH lock 536900807968879
remove lock 536900695307879 from owners,,
,,acquire lock 536900807968879
retire lock 536900695307879,,
,,remove lock 536900807968879 from owners
,,retire lock 536900807968879
wait SH lock 536900963243141,,
acquire lock 536900963243141,,
,,wait EX lock 536900667158547
remove lock 536900963243141 from owners,,
,,acquire lock 536900667158547
retire lock 536900963243141,,
,,remove lock 536900667158547 from owners
,,retire lock 536900667158547
wait EX lock 536900697972080,,
acquire lock 536900697972080,,
,,wait SH lock 536900862044584
remove lock 536900697972080 from owners,,
,,acquire lock 536900862044584
retire lock 536900697972080,,
,,remove lock 536900862044584 from owners
wait SH lock 536900973305076,,
,,retire lock 536900862044584
acquire lock 536900973305076,,
,,wait EX lock 536900682540803
,,acquire lock 536900682540803
remove lock 536900973305076 from owners,,
,,remove lock 536900682540803 from owners
retire lock 536900973305076,,
,,retire lock 536900682540803
wait EX lock 536900735264188,,
acquire lock 536900735264188,,
remove lock 536900735264188 from owners,,
retire lock 536900735264188,,
,,wait SH lock 536900919029289
,,acquire lock 536900919029289
wait SH lock 536901104941717,,
,,remove lock 536900919029289 from owners
acquire lock 536901104941717,,
,,retire lock 536900919029289
remove lock 536901104941717 from owners,,
,,pre-commit: txn 28's barriers = 0
retire lock 536901104941717,,
,,txn 28 set commited
wait EX lock 536900717164092,,
acquire lock 536900717164092,,
remove lock 536900717164092 from owners,,
retire lock 536900717164092,,
,,release lock 536900919029289 from retired
wait SH lock 536901041939013,,
,,release lock 536900682540803 from retired
acquire lock 536901041939013,,
,,release lock 536900862044584 from retired
remove lock 536901041939013 from owners,,
retire lock 536901041939013,,
pre-commit: txn 90's barriers = 1,,
,,release lock 536900667158547 from retired
,,release lock 536900807968879 from retired
,,release lock 536900651744837 from retired
,,release lock 536901116490394 from retired
,,release lock 536900738357367 from retired
,,release lock 536900811398469 from retired
,,release lock 536900652649125 from retired
,,release lock 536900811095681 from retired
,,release lock 536900652568177 from retired
,,release lock 536900749126631 from retired
,,release lock 536901428689834 from retired
,,release lock 536900749115690 from retired
"txn 90 decrement barrier, now should be 0",,
txn 90 set commited,,
,,start txn 31
release lock 536901041939013 from retired,,
,,wait EX lock 536900749115690
,,acquire lock 536900749115690
,,remove lock 536900749115690 from owners
release lock 536900717164092 from retired,,
,,retire lock 536900749115690
,,"txn 31 increment barrier, now should be 1"
release lock 536901104941717 from retired,,
release lock 536900735264188 from retired,,
,,wait EX lock 536901203145405
release lock 536900973305076 from retired,,
,,acquire lock 536901203145405
,,remove lock 536901203145405 from owners
,,retire lock 536901203145405
release lock 536900697972080 from retired,,
,,wait SH lock 536900749119881
,,acquire lock 536900749119881
release lock 536900963243141 from retired,,
,,remove lock 536900749119881 from owners
,,retire lock 536900749119881
release lock 536900695307879 from retired,,
,,wait EX lock 536900694359225
release lock 536900951186440 from retired,,
,,acquire lock 536900694359225
,,remove lock 536900694359225 from owners
,,retire lock 536900694359225
,,wait SH lock 536900960359917
,,acquire lock 536900960359917
,,remove lock 536900960359917 from owners
,,retire lock 536900960359917
,,wait EX lock 536900650960225
release lock 536900691867832 from retired,,
,,acquire lock 536900650960225
release lock 536900749118025 from retired,,
,,remove lock 536900650960225 from owners
,,retire lock 536900650960225
release lock 536901158921976 from retired,,
,,wait SH lock 536900805039936
release lock 536900749115690 from retired,,
,,acquire lock 536900805039936
,,"txn 31 decrement barrier, now should be 0"
,,remove lock 536900805039936 from owners
,,retire lock 536900805039936
start txn 93,,
wait EX lock 536900749115690,,
,,wait EX lock 536900640751489
acquire lock 536900749115690,,
,,acquire lock 536900640751489
,,remove lock 536900640751489 from owners
,,retire lock 536900640751489
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
,,wait SH lock 536900766196923
"txn 93 increment barrier, now should be 1",,
,,acquire lock 536900766196923
,,remove lock 536900766196923 from owners
