0,2,1
acquire lock 536900708439767,,
remove lock 536900708439767 from owners,,
retire lock 536900708439767,,
wait SH lock 536901010475001,,
,,remove lock 536900770711031 from owners
acquire lock 536901010475001,,
remove lock 536901010475001 from owners,,
retire lock 536901010475001,,
wait EX lock 536900659555885,,
acquire lock 536900659555885,,
,,retire lock 536900770711031
remove lock 536900659555885 from owners,,
retire lock 536900659555885,,
wait SH lock 536900837284922,,
acquire lock 536900837284922,,
remove lock 536900837284922 from owners,,
retire lock 536900837284922,,
pre-commit: txn 12's barriers = 1,,
,,wait EX lock 536900717479185
,,acquire lock 536900717479185
,,remove lock 536900717479185 from owners
,,retire lock 536900717479185
,,wait SH lock 536901043154215
,,acquire lock 536901043154215
,,remove lock 536901043154215 from owners
,,retire lock 536901043154215
,,wait EX lock 536900671692002
,,acquire lock 536900671692002
,,remove lock 536900671692002 from owners
,,retire lock 536900671692002
,,wait SH lock 536900878928198
,,acquire lock 536900878928198
,,remove lock 536900878928198 from owners
,,retire lock 536900878928198
,,wait EX lock 536900705313180
,,acquire lock 536900705313180
,,remove lock 536900705313180 from owners
,,retire lock 536900705313180
,,wait SH lock 536901000509900
,,acquire lock 536901000509900
,,remove lock 536901000509900 from owners
,,retire lock 536901000509900
,,wait EX lock 536900642094908
,,acquire lock 536900642094908
,,remove lock 536900642094908 from owners
,,retire lock 536900642094908
,,wait SH lock 536900770480108
,,acquire lock 536900770480108
,,remove lock 536900770480108 from owners
,,retire lock 536900770480108
,,wait EX lock 536900743160042
,,acquire lock 536900743160042
,,remove lock 536900743160042 from owners
,,retire lock 536900743160042
,,wait SH lock 536901134105960
,,acquire lock 536901134105960
,,remove lock 536901134105960 from owners
,,retire lock 536901134105960
,,wait EX lock 536900699101712
,,acquire lock 536900699101712
,,remove lock 536900699101712 from owners
,,retire lock 536900699101712
,,wait SH lock 536900977526908
,,acquire lock 536900977526908
,,remove lock 536900977526908 from owners
,,retire lock 536900977526908
,,wait EX lock 536900669313677
,,acquire lock 536900669313677
,,remove lock 536900669313677 from owners
,,retire lock 536900669313677
,,wait SH lock 536900870172670
,,acquire lock 536900870172670
,,remove lock 536900870172670 from owners
,,retire lock 536900870172670
,,wait EX lock 536900680638733
,,acquire lock 536900680638733
,,remove lock 536900680638733 from owners
,,retire lock 536900680638733
,,wait SH lock 536900911951070
,,acquire lock 536900911951070
,,remove lock 536900911951070 from owners
,,retire lock 536900911951070
,,wait EX lock 536900673911908
,,acquire lock 536900673911908
,,remove lock 536900673911908 from owners
,,retire lock 536900673911908
,,wait SH lock 536900887098675
,,acquire lock 536900887098675
,,remove lock 536900887098675 from owners
,,retire lock 536900887098675
,,wait EX lock 536900661749373
,,acquire lock 536900661749373
,,remove lock 536900661749373 from owners
,,retire lock 536900661749373
,,wait SH lock 536900845409308
,,acquire lock 536900845409308
,,remove lock 536900845409308 from owners
,,retire lock 536900845409308
,,wait EX lock 536900688680018
,,acquire lock 536900688680018
,,remove lock 536900688680018 from owners
,,retire lock 536900688680018
,,wait SH lock 536900939240951
,,acquire lock 536900939240951
,,remove lock 536900939240951 from owners
,,retire lock 536900939240951
,,wait EX lock 536900690187515
,,acquire lock 536900690187515
,,remove lock 536900690187515 from owners
,,retire lock 536900690187515
,,wait SH lock 536900944879544
,,acquire lock 536900944879544
,,remove lock 536900944879544 from owners
,,retire lock 536900944879544
,,pre-commit: txn 7's barriers = 0
,,txn 7 set commited
,,release lock 536900944879544 from retired
,,release lock 536900690187515 from retired
,,release lock 536900939240951 from retired
,,release lock 536900688680018 from retired
,,release lock 536900845409308 from retired
,,release lock 536900661749373 from retired
,,release lock 536900887098675 from retired
,,release lock 536900673911908 from retired
,,release lock 536900911951070 from retired
,,release lock 536900680638733 from retired
,,release lock 536900870172670 from retired
,,release lock 536900669313677 from retired
,,release lock 536900977526908 from retired
,,release lock 536900699101712 from retired
,,release lock 536901134105960 from retired
,,release lock 536900743160042 from retired
,,release lock 536900770480108 from retired
,,release lock 536900642094908 from retired
,,release lock 536901000509900 from retired
,,release lock 536900705313180 from retired
,,release lock 536900878928198 from retired
,,release lock 536900671692002 from retired
,,release lock 536901043154215 from retired
,,release lock 536900717479185 from retired
,,release lock 536900770711031 from retired
,,release lock 536900642157357 from retired
,,release lock 536900749128487 from retired
,,release lock 536901501839820 from retired
,,release lock 536900749115690 from retired
"txn 12 decrement barrier, now should be 0",,
txn 12 set commited,,
,,start txn 10
release lock 536900837284922 from retired,,
,,wait SH lock 536900749115690
release lock 536900659555885 from retired,,
,,acquire lock 536900749115690
,,remove lock 536900749115690 from owners
,,retire lock 536900749115690
release lock 536901010475001 from retired,,
,,"txn 10 increment barrier, now should be 1"
release lock 536900708439767 from retired,,
,,wait SH lock 536900749123440
,,acquire lock 536900749123440
,,remove lock 536900749123440 from owners
release lock 536901077267909 from retired,,
,,retire lock 536900749123440
release lock 536900726633647 from retired,,
,,wait SH lock 536901319609548
,,acquire lock 536901319609548
release lock 536901044222585 from retired,,
,,remove lock 536901319609548 from owners
,,retire lock 536901319609548
release lock 536900717764081 from retired,,
,,pre-commit: txn 10's barriers = 1
release lock 536900834769607 from retired,,
release lock 536900658894551 from retired,,
release lock 536900749125596 from retired,,
release lock 536901392669979 from retired,,
release lock 536900749115690 from retired,,
,,"txn 10 decrement barrier, now should be 0"
,,txn 10 set commited
start txn 15,,
wait SH lock 536900749115690,,
,,release lock 536901319609548 from retired
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
,,release lock 536900749123440 from retired
retire lock 536900749115690,,
"txn 15 increment barrier, now should be 1",,
wait SH lock 536900749118025,,
acquire lock 536900749118025,,
remove lock 536900749118025 from owners,,
retire lock 536900749118025,,
,,release lock 536900749115690 from retired
"txn 15 decrement barrier, now should be 0",,
wait SH lock 536901157335081,,
acquire lock 536901157335081,,
remove lock 536901157335081 from owners,,
retire lock 536901157335081,,
pre-commit: txn 15's barriers = 0,,
,,start txn 13
txn 15 set commited,,
,,wait SH lock 536900749115690
,,acquire lock 536900749115690
,,remove lock 536900749115690 from owners
,,retire lock 536900749115690
,,"txn 13 increment barrier, now should be 1"
,,wait SH lock 536900749127610
,,acquire lock 536900749127610
release lock 536901157335081 from retired,,
,,remove lock 536900749127610 from owners
,,retire lock 536900749127610
release lock 536900749118025 from retired,,
release lock 536900749115690 from retired,,
,,"txn 13 decrement barrier, now should be 0"
start txn 18,,
,,wait SH lock 536901466856823
wound txn 13,,txn 13 set abort by 18
,,acquire lock 536901466856823
wound 13 on 536900749115690,,13 wounded by 18
,,removed lock 536900749115690 from retired by 18
,,remove lock 536901466856823 from owners
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
,,txn 13 set aborted
,,release lock 536900749127610 from retired
retire lock 536900749115690,,
wait SH lock 536900749128487,,
acquire lock 536900749128487,,
remove lock 536900749128487 from owners,,
retire lock 536900749128487,,
wait SH lock 536901497703417,,
acquire lock 536901497703417,,
remove lock 536901497703417 from owners,,
retire lock 536901497703417,,
pre-commit: txn 18's barriers = 0,,
txn 18 set commited,,
release lock 536901497703417 from retired,,
release lock 536900749128487 from retired,,
release lock 536900749115690 from retired,,
start txn 21,,
wait EX lock 536900749115690,,
