ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt,mthroughput
50000,0,True,WAIT_DIE,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.3,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,848112.0,0.0,0.0,47595.0,0.0,0.0,0.0,0.0,64957.0,0.0,102.63,246451.0,27.3896,2.08301,0.0,0.0,0.0,2.3399099999999997,14.7038,66.0485,0.0,0.0,0.0,0.0,186603709.0,6.311,1580833.0,0.0,463034.0,0.246451
50000,0,True,WAIT_DIE,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,656500.0,0.0,0.0,39112.0,0.0,0.0,0.0,0.0,49718.0,0.0,78.5378,321941.0,16.7296,1.7389700000000001,0.0,0.0,0.0,2.0377400000000003,12.0886,50.9041,0.0,0.0,0.0,0.0,139264262.0,3.7368300000000003,1580283.0,0.0,362034.0,0.321941
50000,0,True,WAIT_DIE,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.7,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,492374.0,0.0,0.0,34411.0,0.0,0.0,0.0,0.0,41257.0,0.0,64.9927,387960.0,10.7625,1.7603799999999998,0.0,0.0,0.0,2.2509799999999998,12.7418,38.2747,0.0,0.0,0.0,0.0,146779939.0,2.94817,1575913.0,0.0,260965.0,0.38796
50000,0,True,WAIT_DIE,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.9,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,238281.0,0.0,0.0,25113.0,0.0,0.0,0.0,0.0,27396.0,0.0,43.0178,584234.0,3.57001,1.81676,0.0,0.0,0.0,2.16962,13.3701,18.7011,0.0,0.0,0.0,0.0,147339761.0,1.45421,1570778.0,0.0,113871.0,0.584234
50000,0,True,NO_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.1,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,1144595.0,0.0,0.0,36758.0,0.0,0.0,0.0,0.0,72913.0,0.0,114.46700000000001,219555.0,56.7282,1.8103599999999997,0.0,0.0,0.0,2.05318,11.9853,88.4137,0.0,0.0,0.0,0.0,0.0,0.0,1570736.0,0.0,0.0,0.219555
50000,0,True,NO_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.3,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,980591.0,0.0,0.0,33290.0,0.0,0.0,0.0,0.0,62185.0,0.0,98.1347,257404.0,45.5774,1.60838,0.0,0.0,0.0,1.7867,11.0306,75.5466,0.0,0.0,0.0,0.0,0.0,0.0,1578765.0,0.0,0.0,0.257404
50000,0,True,NO_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,864226.0,0.0,0.0,31965.0,0.0,0.0,0.0,0.0,56830.0,0.0,89.0543,281670.0,38.941,1.64867,0.0,0.0,0.0,1.85663,11.1079,66.7063,0.0,0.0,0.0,0.0,0.0,0.0,1567747.0,0.0,0.0,0.28167
50000,0,True,NO_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.7,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,676130.0,0.0,0.0,28721.0,0.0,0.0,0.0,0.0,46891.0,0.0,74.1364,341363.0,28.7079,1.6479,0.0,0.0,0.0,1.53483,11.697000000000001,52.2563,0.0,0.0,0.0,0.0,0.0,0.0,1581713.0,0.0,0.0,0.341363
50000,0,True,NO_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.9,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,378086.0,0.0,0.0,24851.0,0.0,0.0,0.0,0.0,35490.0,0.0,54.4048,451009.0,16.2933,1.90724,0.0,0.0,0.0,2.56262,14.5672,29.3144,0.0,0.0,0.0,0.0,0.0,0.0,1533567.0,0.0,0.0,0.451009
50000,0,True,WOUND_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.1,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,321052.0,0.0,0.0,42176.0,0.0,0.0,0.0,0.0,50742.0,0.0,78.6359,315415.0,13.2546,2.46809,0.0,0.0,0.0,2.36701,13.8999,24.8868,0.0,0.0,0.0,0.0,206590193.0,23.8542,1550184.0,0.0,1244537.0,0.315415
