ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,True,WOUND_WAIT,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,,False,10000000,16,True,YCSB,False,0.5,296,0,17464,0,0,0,0,17466,26.5746,916062.0,0.00296139,1.21516,0.0,0,0,2.0462599999999997,14.6087,0.0569031,0,0,0,0,166589257,0.00553712,1521501,0,647
50000,0,True,WOUND_WAIT,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,,False,10000000,16,True,YCSB,False,0.7,11605,0,17513,0,0,0,0,17620,26.7864,908018.0,0.16281099999999998,1.3211600000000001,0.0,0,0,2.21083,14.3014,0.936486,0,0,0,0,159449947,0.47601800000000005,1520156,0,27441
50000,0,True,WOUND_WAIT,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,,False,10000000,16,True,YCSB,False,0.9,250439,0,35521,0,0,0,0,41114,64.1257,389176.0,8.72055,2.32029,0.0,0,0,2.11827,14.9151,19.3499,0,0,0,0,191945287,17.0427,1559761,0,1010517
50000,0,True,WOUND_WAIT,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,,False,10000000,16,True,YCSB,False,1.1,1152113,0,49292,0,0,0,0,84670,134.099,188987.0,56.0234,3.2819300000000005,0.0,0,0,1.5285600000000001,9.78191,88.6787,0,0,0,0,228967907,17.6073,1583934,0,3002682
50000,0,True,BAMBOO,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,,False,10000000,16,True,YCSB,False,0.5,0,0,20907,0,0,0,0,20907,32.6764,765290.0,0.0,1.59197,0.0594075,0,0,2.87282,17.9754,0.0365642,0,0,0,0,0,3.2566e-05,1562934,0,32
50000,0,True,BAMBOO,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,,False,10000000,16,True,YCSB,False,0.5,194,0,20032,0,0,0,0,20034,31.1769,798615.0,0.00282256,1.57281,0.019596799999999998,0,0,2.29351,17.5075,0.051028199999999996,0,0,0,0,0,5.43e-06,1556143,0,8
50000,4,True,BAMBOO,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,,False,10000000,16,True,YCSB,False,0.5,0,0,19166,0,0,0,0,19166,29.5306,834798.0,0.0,1.4744,0.0231768,0,0,2.37355,16.3673,0.0342918,0,0,0,0,0,3.7756e-05,1540754,0,38
50000,4,True,BAMBOO,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,,False,10000000,16,True,YCSB,False,0.5,200,0,19175,0,0,0,0,19176,29.3738,834336.0,0.00240684,1.51188,0.0187953,0,0,2.10445,16.3931,0.04956,0,0,0,0,0,1.0944e-05,1531726,0,15
50000,8,True,BAMBOO,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,,False,10000000,16,True,YCSB,False,0.5,0,0,19472,0,0,0,0,19472,30.3594,821682.0,0.0,1.48605,0.0295387,0,0,2.21441,16.9011,0.0339664,0,0,0,0,0,1.8433e-05,1559110,0,29
50000,8,True,BAMBOO,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,,False,10000000,16,True,YCSB,False,0.5,194,0,18421,0,0,0,0,18423,28.2063,868473.0,0.00220738,1.48479,0.021563,0,0,2.13657,15.5403,0.048828500000000004,0,0,0,0,0,8.496e-06,1531027,0,11
