ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 5, 0, 243682,0,0,0,0, 243683, 389.888,65659.1, 0.00112156, 2.9237, 0, 0.877968, 10.8821, 4.3438, 20.3651, 0.0330187, 0.320357, 1.3865, 0, 0, 176341514, 355.592, 1599980, 0, 1599979
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.5,true,10000000,16,true,YCSB,false,0, 9, 0, 163779,0,0,0,0, 163780, 262.018,97691.5, 0.00198058, 3.29165, 0, 1.23547, 11.2545, 4.13564, 21.5397, 0.0345352, 0.358176, 1.62397, 0, 0, 196800001, 226.717, 1599807, 0, 1599806
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 426, 0, 82082,0,0,0,0, 82109, 131.318,194861, 0.0429376, 3.56809, 0, 1.45402, 11.5039, 4.18585, 21.7368, 0.0697552, 0.368012, 1.83949, 0, 0, 205659810, 94.9987, 1599303, 0, 1599302
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 157320, 0, 24322,0,0,0,0, 26299, 39.2748,608408, 2.95049, 2.54693, 0, 0.375697, 10.4487, 1.87483, 14.7886, 12.1496, 0.266843, 1.32365, 0, 0, 141698303, 0.251723, 1493443, 0, 249245
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 0, 0, 46012,0,0,0,0, 46012, 73.352,347730, 0, 38.6518, 34.2436, 1.34934, 12.1546, 3.35686, 58.0222, 0.0441831, 0.799053, 2.4488, 0.281606, 1.17505, 0, 0.678343, 1594167, 0, 632642
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 0, 0, 39754,0,0,0,0, 39754, 63.4354,402473, 0, 31.7633, 27.5043, 1.15456, 11.3485, 2.86741, 49.1776, 0.0351072, 0.758893, 2.47908, 0.299221, 1.19487, 0, 0.752549, 1595691, 0, 687933
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.5,true,10000000,16,true,YCSB,false,0, 0, 0, 36573,0,0,0,0, 36573, 58.4139,437472, 0, 23.0157, 18.3886, 1.11481, 12.6857, 2.61529, 42.0008, 0.0363414, 0.749444, 2.77388, 0.357606, 1.5116, 0, 2.09616, 1597150, 0, 1085495
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 0, 0, 32402,0,0,0,0, 32402, 50.9633,493794, 0, 11.2944, 6.56923, 0.955865, 12.5013, 2.58615, 28.8058, 0.0349957, 0.640441, 3.04215, 0.401432, 1.74232, 0, 7.8847, 1572837, 0, 1459265
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 0, 0, 26923,0,0,0,0, 26923, 42.3789,594287, 0, 5.08644, 0.754688, 0.86824, 12.4197, 2.07257, 21.8671, 0.0338326, 0.570643, 2.77638, 0.299241, 1.45825, 0, 7.59821, 1574078, 0, 1365240
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 1, 0, 293205,0,0,0,0, 293205, 469.129,54569.3, 9.9176e-05, 3.04064, 0, 0.790148, 10.8005, 3.79424, 19.7493, 0.0387517, 0.35728, 1.43794, 0, 0, 200774661, 436.187, 1600000, 0, 1599999
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 3, 0, 239746,0,0,0,0, 239747, 383.591,66736.9, 0.000860726, 2.90402, 0, 0.906558, 10.9052, 3.93214, 20.2365, 0.0327829, 0.293423, 1.39929, 0, 0, 186531055, 349.776, 1599980, 0, 1599979
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.5,true,10000000,16,true,YCSB,false,0, 11, 0, 163914,0,0,0,0, 163915, 262.241,97611.1, 0.00222592, 3.22731, 0, 1.21951, 11.2087, 4.27784, 21.3063, 0.0333779, 0.351767, 1.60586, 0, 0, 205115711, 226.856, 1599852, 0, 1599851
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 363, 0, 77525,0,0,0,0, 77551, 124.048,206315, 0.0411666, 3.4537, 0, 1.35157, 11.2422, 3.5569, 20.6572, 0.0623578, 0.344527, 1.76765, 0, 0, 206765283, 90.2444, 1599558, 0, 1599557
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 154727, 0, 25121,0,0,0,0, 27190, 39.9921,588460, 3.04144, 2.5764, 0, 0.390809, 10.7552, 2.02594, 15.3282, 11.9699, 0.269809, 1.34419, 0, 0, 142040931, 0.294164, 1470861, 0, 267067
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 0, 0, 45162,0,0,0,0, 45162, 72.1971,354279, 0, 37.5532, 33.0973, 1.29716, 12.3942, 3.51051, 56.9627, 0.0446913, 0.792955, 2.43103, 0.297845, 1.25085, 0, 0.602852, 1598617, 0, 710463
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 0, 0, 41672,0,0,0,0, 41672, 66.3332,383950, 0, 33.3467, 28.9477, 1.21725, 11.6442, 2.7276, 51.9458, 0.0367304, 0.8055, 2.55578, 0.313679, 1.24906, 0, 0.87364, 1591788, 0, 685080
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.5,true,10000000,16,true,YCSB,false,0, 0, 0, 40722,0,0,0,0, 40722, 64.3753,392900, 0, 27.1255, 22.2635, 1.20065, 12.5292, 3.51798, 46.8395, 0.0381655, 0.825247, 2.89616, 0.363957, 1.62679, 0, 2.12436, 1580818, 0, 1053259
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 0, 0, 33075,0,0,0,0, 33075, 51.8235,483738, 0, 12.0619, 7.33384, 0.957404, 12.5496, 2.69552, 29.7815, 0.035021, 0.641955, 3.03619, 0.401979, 1.76159, 0, 7.71522, 1566813, 0, 1446662
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 0, 0, 31974,0,0,0,0, 31974, 50.1021,500399, 0, 5.83104, 0.950903, 1.02339, 12.8896, 2.5523, 23.7233, 0.034483, 0.640517, 3.2341, 0.369415, 1.80721, 0, 12.2285, 1566940, 0, 1440463
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 1, 0, 305409,0,0,0,0, 305409, 488.651,52388.7, 7.1552e-05, 3.02942, 0, 0.796764, 10.8601, 4.47297, 20.3903, 0.0384355, 0.366653, 1.45118, 0, 0, 199317738, 454.449, 1599990, 0, 1599989
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 2, 0, 246996,0,0,0,0, 246996, 395.19,64778.3, 0.000388786, 2.89567, 0, 0.896177, 10.8602, 4.44932, 20.4639, 0.0328499, 0.300111, 1.37476, 0, 0, 170167559, 360.412, 1599985, 0, 1599984
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.5,true,10000000,16,true,YCSB,false,0, 9, 0, 166226,0,0,0,0, 166229, 265.942,96252.5, 0.00445224, 3.2553, 0, 1.28988, 11.2311, 4.4389, 21.4532, 0.033613, 0.383296, 1.60316, 0, 0, 210806120, 229.907, 1599848, 0, 1599847
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 186, 0, 81369,0,0,0,0, 81382, 130.179,196603, 0.0211305, 3.54481, 0, 1.4323, 11.3909, 4.0993, 21.5722, 0.049056, 0.360299, 1.84538, 0, 0, 197473921, 94.7042, 1599595, 0, 1599593
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 159467, 0, 25466,0,0,0,0, 27624, 40.8163,579221, 3.18693, 2.60662, 0, 0.404589, 10.9451, 2.03784, 15.493, 12.306, 0.273015, 1.37068, 0, 0, 150684945, 0.408564, 1477604, 0, 292590
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 0, 0, 45378,0,0,0,0, 45378, 72.4954,352588, 0, 38.8685, 34.5255, 1.33527, 12.0258, 3.30532, 57.8269, 0.0438267, 0.784472, 2.37132, 0.283171, 1.13818, 0, 0.655426, 1597564, 0, 629254
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 0, 0, 41495,0,0,0,0, 41495, 66.107,385580, 0, 32.6093, 28.2359, 1.2162, 11.7809, 3.05714, 51.3155, 0.0363141, 0.797773, 2.53138, 0.302619, 1.21392, 0, 0.766514, 1593095, 0, 682011
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.5,true,10000000,16,true,YCSB,false,0, 0, 0, 36976,0,0,0,0, 36976, 58.5512,432713, 0, 23.9238, 19.3358, 1.0868, 12.0985, 2.9176, 42.1334, 0.0355769, 0.756642, 2.73264, 0.3636, 1.53436, 0, 2.26467, 1583489, 0, 1112579
