ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,false,WOUND_WAIT,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0.75,true,10000000,16,true,YCSB,false,0, 3, 1, 214938,0,0,0,0, 214940, 343.901,74439.3, 0.00300259, 1.99964, 0, 0, 0, 3.91728, 17.9001, 0.0392816, 0, 0, 0, 0, 206755675, 313.049, 1599983, 0, 1599982
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0.75,true,10000000,16,true,YCSB,false,0, 0, 0, 235892,0,0,0,0, 235892, 377.199,67827.5, 0, 2.32744, 0.0160029, 0, 0, 4.55534, 20.2844, 0.0312944, 0, 0, 0, 0, 0, 343.539, 1599030, 0, 1599029
50000,0,false,BAMBOO,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 1893213, 16, 38791,0,0,0,0, 155387, 189.692,102979, 142.332, 12.3181, 6.80863, 0, 0, 2.08627, 11.5881, 146.102, 0, 0, 0, 0, 0, 0.117002, 1220889, 0, 476304
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 1840881, 16, 42397,0,0,0,0, 131958, 185.527,121263, 125.912, 12.1935, 6.49654, 0, 0, 1.60272, 11.6475, 141.792, 0, 0, 0, 0, 0, 0.099041, 1406101, 0, 605134
50000,0,false,WOUND_WAIT,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,1,true,10000000,16,true,YCSB,false,0, 2, 1, 287788,0,0,0,0, 287788, 460.458,55596.3, 3.7667e-05, 2.05088, 0, 0, 0, 3.76886, 17.7502, 0.0324958, 0, 0, 0, 0, 201351735, 430.045, 1599986, 0, 1599985
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,1,true,10000000,16,true,YCSB,false,0, 0, 0, 305688,0,0,0,0, 305688, 489.102,52340.8, 0, 2.18601, 0.0142344, 0, 0, 3.99515, 19.4755, 0.0315582, 0, 0, 0, 0, 0, 457.075, 1600000, 0, 1599999
50000,0,false,BAMBOO,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 3152140, 16, 34612,0,0,0,0, 224313, 322.505,71337.5, 272.735, 37.8819, 27.8099, 0, 0, 3.02986, 15.4237, 242.975, 0, 0, 0, 0, 0, 0.135157, 1437917, 0, 862448
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 3043585, 16, 34057,0,0,0,0, 204347, 307.722,78308.5, 256.429, 32.1952, 23.2, 0, 0, 2.58989, 14.5838, 235.17, 0, 0, 0, 0, 0, 0.150152, 1506079, 0, 769826
50000,0,false,WOUND_WAIT,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0,true,10000000,16,true,YCSB,false,0, 172384, 1, 24004,0,0,0,0, 27360, 41.7065,584815, 5.11381, 1.86701, 0, 0, 0, 1.72387, 12.9866, 13.3173, 0, 0, 0, 0, 146171818, 3.79216, 1524414, 0, 774645
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0,true,10000000,16,true,YCSB,false,0, 0, 0, 29766,0,0,0,0, 29766, 46.8336,537517, 0, 3.12311, 0.0176145, 0, 0, 2.64546, 20.1512, 0.0335895, 0, 0, 0, 0, 0, 15.6326, 1573367, 0, 1517708
50000,0,false,BAMBOO,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 294458, 8, 27621,0,0,0,0, 35575, 54.0369,449774, 12.0787, 3.38356, 0.474968, 0, 0, 1.86551, 15.363, 22.7241, 0, 0, 0, 0, 0, 1.23677, 1519026, 0, 538237
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 2249, 9, 39141,0,0,0,0, 39201, 61.7473,408146, 0.0955032, 24.3435, 19.1304, 0, 0, 2.4435, 42.3456, 0.214735, 0, 0, 0, 0, 0, 4.29643, 1575119, 0, 1510856
50000,0,false,WOUND_WAIT,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0.25,true,10000000,16,true,YCSB,false,0, 1423, 1, 62847,0,0,0,0, 62932, 100.606,254240, 0.135664, 2.5781, 0, 0, 0, 3.25061, 18.3618, 0.154859, 0, 0, 0, 0, 197288619, 69.867, 1598632, 0, 1598619
