ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,IC3_EAGER_EXEC,IC3_MODIFIED_TPCC,IC3_RENDEZVOUS,LATCH,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_WH,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,TERMINATE_BY_COUNT,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,8,true,false,TPCC,false, 67342, 0, 0, 0, 0, 22090,0,0,0,0, 22288, 0, 0, 0, 79.9734,357324, 1.06644, 27.5736, 19.0328, 0, 0, 0, 1.91675, 53.0738, 4.02469, 0, 0, 0, 0, 0, 0, 2.44923, 3572047, 0, 18080, 1445653
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,16,true,false,TPCC,false, 102189, 0, 0, 0, 0, 46677,0,0,0,0, 47233, 0, 0, 0, 159.986,337760, 2.34137, 91.8181, 78.2233, 0, 0, 0, 1.80533, 121.798, 6.88524, 0, 0, 0, 0, 0, 0, 8.4458, 3377311, 0, 17144, 2031735
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,32,true,false,TPCC,false, 66638, 0, 0, 0, 0, 121198,0,0,0,0, 121695, 0, 0, 0, 319.975,262652, 1.66985, 263.943, 250.222, 0, 0, 0, 1.42698, 291.179, 4.35134, 0, 0, 0, 0, 0, 0, 6.43713, 2626314, 0, 13118, 1423318
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,64,true,false,TPCC,false, 40291, 0, 0, 0, 0, 355249,0,0,0,0, 355826, 0, 0, 0, 639.947,179779, 1.33558, 594.842, 580.989, 0, 0, 0, 0.987712, 619.282, 2.56861, 0, 0, 0, 0, 0, 0, 4.71219, 1797642, 0, 9112, 922965
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,96,true,false,TPCC,false, 27221, 0, 0, 0, 0, 777268,0,0,0,0, 778450, 0, 0, 0, 959.852,123289, 1.71497, 918.231, 904.035, 0, 0, 0, 0.652154, 940.954, 1.83209, 0, 0, 0, 0, 0, 0, 5.89928, 1232698, 0, 6158, 637536
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,120,true,false,TPCC,false, 24690, 0, 0, 0, 0, 1214584,0,0,0,0, 1217365, 0, 0, 0, 1199.94,98553.4, 2.98572, 1160.67, 1146.4, 0, 0, 0, 0.50746, 1181.47, 1.77657, 0, 0, 0, 0, 0, 0, 5.58661, 985481, 0, 4927, 510885
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,1,true,false,TPCC,false, 7666, 0, 0, 0, 0, 6486,0,0,0,0, 6486, 0, 0, 0, 10,153127, 0.0667, 0.440382, 0.038011, 0, 0, 0, 0.811941, 3.273, 0.0384146, 0, 0, 0, 0, 0, 0, 0, 1531268, 0, 7666, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,2,true,false,TPCC,false, 9494, 0, 0, 0, 0, 12086,0,0,0,0, 12096, 0, 0, 0, 19.9758,164356, 0.135212, 3.90472, 2.63911, 0, 0, 0, 1.05923, 12.1597, 0.150674, 0, 0, 0, 0, 0, 0, 0.101065, 1641573, 0, 8086, 95261
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,4,true,false,TPCC,false, 25302, 0, 0, 0, 0, 15339,0,0,0,0, 15395, 0, 0, 0, 39.977,258516, 0.344691, 11.1096, 7.43244, 0, 0, 0, 1.35267, 25.7929, 1.05795, 0, 0, 0, 0, 0, 0, 0.651558, 2583674, 0, 12933, 559924
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,8,true,false,TPCC,false, 67526, 0, 0, 0, 0, 22735,0,0,0,0, 22948, 0, 0, 0, 79.9667,347053, 1.09587, 27.5063, 18.9419, 0, 0, 0, 1.85496, 53.0779, 4.07228, 0, 0, 0, 0, 0, 0, 2.47044, 3469087, 0, 17622, 1415178
