ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_PROFILING,DYNAMIC_TS,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,REORDER_WH,RETIRE_ON,RETIRE_READ,SPINLOCK,THREAD_CNT,WORKLOAD,WW_STARV_FREE,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,0,false,true,true,100000,1,0.5,false,true,false,true,1,TPCC,false,0,0,0,0.114547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019859,0.016968,0.001075,-nan,0.000000,0.000000,0.000005,0.512692,195048.885336,0.000000,0.079019,0.042377,0.273101,0.001019,0.000000,0.000000,100000
50000,CLV,0,false,true,true,100000,2,0.5,false,true,false,true,1,TPCC,false,0,0,0,0.116878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019983,0.017011,0.001069,-nan,0.000000,0.000000,0.000005,0.525333,190355.626112,0.000000,0.077453,0.040475,0.274569,0.001020,0.000000,0.000000,100000
50000,CLV,0,false,true,true,100000,4,0.5,false,true,false,true,1,TPCC,false,0,0,0,0.135191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020021,0.017059,0.001075,-nan,0.000000,0.000000,0.000006,0.577725,173092.638557,0.000000,0.079271,0.046668,0.281659,0.001016,0.000000,0.000000,100000
50000,CLV,0,false,true,true,100000,8,0.5,false,true,false,true,1,TPCC,false,0,0,0,0.158905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020117,0.017014,0.001070,-nan,0.000000,0.000000,0.000008,0.821907,121668.283036,0.000000,0.080585,0.082981,0.385746,0.001020,0.000000,0.000000,100000
50000,CLV,0,false,true,true,100000,16,0.5,false,true,false,true,1,TPCC,false,0,0,0,0.114447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019963,0.016935,0.001082,-nan,0.000000,0.000000,0.000007,0.707420,141358.743208,0.000000,0.077528,0.073530,0.291355,0.001026,0.000000,0.000000,100000
50000,CLV,0,false,true,true,100000,1,0.5,false,true,false,true,2,TPCC,false,583,0,0,0.521434,1.000000,1.000000,0.000000,0.075228,0.069582,0.021630,0.122593,0.094340,0.444091,-nan,0.000000,0.000000,0.000012,2.439571,162180.134527,0.003293,0.759674,0.127922,1.654355,0.048218,0.000000,0.002153,197825
50000,CLV,0,false,true,true,100000,2,0.5,false,true,false,true,2,TPCC,false,0,0,0,0.363031,0.000000,0.000000,0.000000,0.000021,0.000241,0.000143,0.065896,0.032008,0.002033,-nan,0.000000,0.000000,0.000007,1.265015,297860.434455,0.000000,0.182938,0.091436,0.701086,0.001741,0.000000,0.000078,188399
50000,CLV,0,false,true,true,100000,4,0.5,false,true,false,true,2,TPCC,false,0,0,0,0.412658,0.000000,0.000000,0.000000,0.000013,0.000076,0.000044,0.069434,0.033863,0.002137,-nan,0.000000,0.000000,0.000007,1.405973,282540.303708,0.000000,0.205041,0.099297,0.749881,0.001833,0.000000,0.000044,198622
50000,CLV,0,false,true,true,100000,8,0.5,false,true,false,true,2,TPCC,false,0,0,0,0.464690,0.000000,0.000000,0.000000,0.000013,0.000088,0.000051,0.068887,0.033155,0.002097,-nan,0.000000,0.000000,0.000008,1.562758,249662.381129,0.000000,0.192692,0.107965,0.788490,0.001801,0.000000,0.000024,195081
50000,CLV,0,false,true,true,100000,16,0.5,false,true,false,true,2,TPCC,false,0,0,0,0.479268,0.000000,0.000000,0.000000,0.000009,0.000043,0.000024,0.071328,0.034477,0.002190,-nan,0.000000,0.000000,0.000010,1.966568,203168.131361,0.000000,0.199272,0.149021,0.929512,0.001915,0.000000,0.000016,199772
