ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_PROFILING,DYNAMIC_TS,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,REORDER_WH,RETIRE_ON,RETIRE_READ,SPINLOCK,THREAD_CNT,WORKLOAD,WW_STARV_FREE,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,true,0,false,true,true,100000,1,0.5,false,true,false,true,16,TPCC,false,24768,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.279178,-nan,0.000000,0.000000,0.000045,72.351657,352510.073321,0.668057,28.729443,1.098170,37.600569,1.933566,0.000000,26.514547,1594043
50000,CLV,true,0,false,true,true,100000,2,0.5,false,true,false,true,16,TPCC,false,13145,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.841486,-nan,0.000000,0.000000,0.000023,34.719864,691353.397718,0.158245,12.774590,1.229980,19.847649,1.035869,0.000000,8.039324,1500231
50000,CLV,true,0,false,true,true,100000,4,0.5,false,true,false,true,16,TPCC,false,10782,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.449941,-nan,0.000000,0.000000,0.000015,22.380719,1098604.908761,0.057834,6.936779,1.281417,12.873934,0.855163,0.000000,2.425472,1536723
50000,CLV,true,0,false,true,true,100000,8,0.5,false,true,false,true,16,TPCC,false,7025,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016823,-nan,0.000000,0.000000,0.000012,18.228879,1304908.746592,0.025117,0.790520,1.379828,6.063122,0.560714,0.000000,5.359553,1486689
50000,CLV,true,0,false,true,true,100000,16,0.5,false,true,false,true,16,TPCC,false,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014516,-nan,0.000000,0.000000,0.000010,12.553542,1664748.981180,0.000000,0.524457,1.766352,5.803892,0.014539,0.000000,0.000117,1306156
50000,CLV,true,0,false,true,true,100000,1,0.5,false,true,false,true,32,TPCC,false,279840,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,116.278729,-nan,0.000000,0.000000,0.000108,359.597783,283951.027563,15.796633,129.109635,2.112593,146.886595,21.726612,0.000000,164.155378,3190880
50000,CLV,true,0,false,true,true,100000,2,0.5,false,true,false,true,32,TPCC,false,43066,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.862547,-nan,0.000000,0.000000,0.000052,159.923210,615305.508668,1.334971,60.657004,2.259252,78.305964,3.484973,0.000000,63.694549,3075051
50000,CLV,true,0,false,true,true,100000,4,0.5,false,true,false,true,32,TPCC,false,23387,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.641217,-nan,0.000000,0.000000,0.000035,88.881477,918192.483593,0.530476,25.514302,2.339216,39.689158,1.901442,0.000000,33.189841,2550322
50000,CLV,true,0,false,true,true,100000,8,0.5,false,true,false,true,32,TPCC,false,26299,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.959824,-nan,0.000000,0.000000,0.000022,61.376677,1451148.748032,0.284250,18.915140,3.577208,35.206122,2.106040,0.000000,6.445824,2783334
50000,CLV,true,0,false,true,true,100000,16,0.5,false,true,false,true,32,TPCC,false,16539,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185274,-nan,0.000000,0.000000,0.000023,63.163825,1403665.714282,0.101783,2.572327,5.930943,22.418565,1.340239,0.000000,19.505455,2770653
50000,CLV,true,0,false,true,true,100000,1,0.5,false,true,false,true,1,TPCC,false,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001082,-nan,0.000000,0.000000,0.000004,0.417948,239264.178049,0.000000,0.028030,0.057711,0.137043,0.001042,0.000000,0.000000,100000
50000,CLV,true,0,false,true,true,100000,2,0.5,false,true,false,true,1,TPCC,false,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001085,-nan,0.000000,0.000000,0.000004,0.449094,222670.682957,0.000000,0.027561,0.059094,0.141077,0.001072,0.000000,0.000000,100000
50000,CLV,true,0,false,true,true,100000,4,0.5,false,true,false,true,1,TPCC,false,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001085,-nan,0.000000,0.000000,0.000005,0.486091,205722.930921,0.000000,0.027412,0.063686,0.151050,0.001074,0.000000,0.000000,100000
