ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,IC3_EAGER_EXEC,IC3_MODIFIED_TPCC,IC3_RENDEZVOUS,LATCH,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_WH,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,TERMINATE_BY_COUNT,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_cnt_long,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,8,true,false,TPCC,false, 6409, 0, 0, 0, 47730,0,0,0,0, 47828, 0, 38.2793,166439, 0.266707, 0.965381, 0, 0, 0, 0, 0.444137, 4.34858, 0.211618, 0, 0, 0, 0, 0, 132024106, 30.014, 796397, 0, 3973, 836787
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,8,true,false,TPCC,false, 15640, 0, 0, 0, 22390,0,0,0,0, 22604, 0, 18.0771,352345, 0.250504, 6.27858, 4.38878, 0, 0, 0, 0.430235, 12.0319, 0.949667, 0, 0, 0, 0, 0, 0, 0.527854, 796170, 0, 3995, 319375
50000,true,false,true,0,true,false,IC3,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,8,true,false,TPCC,false, 13003, 0, 0, 0, 34242,0,0,0,0, 34554, 0, 27.6518,230565, 7.04505, 1.65586, 0.427537, 0, 0, 0, 0.372769, -14.6332, 0.731985, 0, 0, 0, 0, 0, 0, 17.6408, 796943, 0, 4034, 0
50000,true,false,true,0,true,false,SILO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 1044156, 0, 0, 0, 43480,0,0,0,0, 82928, 0, 101.432,193118, 48.2, 2.57257, 0, 0, 0, 0, 0.451516, 3.39777, 82.4542, 0, 0, 0, 0, 0, 0, 0, 1224266, 0, 6222, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 11965, 0, 0, 0, 95511,0,0,0,0, 95718, 0, 153.76,166333, 1.08854, 1.95561, 0, 0, 0, 0, 0.887215, 9.22335, 0.352927, 0, 0, 0, 0, 0, 269684825, 136.107, 1598459, 0, 7961, 1687185
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 49017, 0, 0, 0, 46309,0,0,0,0, 46870, 0, 74.7631,340409, 1.10185, 42.825, 36.4745, 0, 0, 0, 0.841329, 56.9242, 3.30043, 0, 0, 0, 0, 0, 0, 3.85524, 1590627, 0, 8060, 948532
50000,true,false,true,0,true,false,IC3,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 43493, 0, 0, 0, 67902,0,0,0,0, 69202, 0, 110.967,230206, 64.4115, 3.4212, 0.89556, 0, 0, 0, 0.739854, -81.3218, 2.85717, 0, 0, 0, 0, 0, 0, 87.5209, 1596576, 0, 7908, 0
50000,true,false,true,0,true,false,SILO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,32,true,false,TPCC,false, 5039788, 0, 0, 0, 63141,0,0,0,0, 179218, 0, 495.394,178840, 320.577, 12.1344, 0, 0, 0, 0, 1.3801, 11.1971, 410.064, 0, 0, 0, 0, 0, 0, 0, 2768636, 0, 13863, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,32,true,false,TPCC,false, 24304, 0, 0, 0, 194066,0,0,0,0, 194526, 0, 624.856,163674, 4.61406, 4.15361, 0, 0, 0, 0, 1.7831, 20.2333, 0.716965, 0, 0, 0, 0, 0, 524852096, 585.214, 3196021, 0, 16179, 3373519
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,32,true,false,TPCC,false, 83296, 0, 0, 0, 119874,0,0,0,0, 120387, 0, 385.065,265495, 2.09305, 316.475, 299.906, 0, 0, 0, 1.70273, 349.601, 5.39689, 0, 0, 0, 0, 0, 0, 8.15166, 3194774, 0, 16202, 1755474
50000,true,false,true,0,true,false,IC3,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,32,true,false,TPCC,false, 194027, 0, 0, 0, 136542,0,0,0,0, 143028, 0, 458.457,222730, 392.712, 7.20995, 1.79644, 0, 0, 0, 1.51538, -376.269, 14.1149, 0, 0, 0, 0, 0, 0, 388.907, 3191005, 0, 16008, 0
50000,true,false,true,0,true,false,SILO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,64,true,false,TPCC,false, 15429275, 0, 0, 0, 72434,0,0,0,0, 339867, 0, 1515.32,188757, 1191.6, 31.3725, 0, 0, 0, 0, 2.34988, 21.9592, 1278.86, 0, 0, 0, 0, 0, 0, 0, 4469166, 0, 22241, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,64,true,false,TPCC,false, 49703, 0, 0, 0, 409988,0,0,0,0, 411076, 0, 2642.11,154913, 20.1288, 9.68971, 0, 0, 0, 0, 3.53452, 48.3888, 1.5696, 0, 0, 0, 0, 0, 1064960319, 2542.87, 6395252, 0, 32028, 6750103
