ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_PROFILING,DYNAMIC_TS,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,REORDER_WH,RETIRE_ON,RETIRE_READ,SPINLOCK,THREAD_CNT,WORKLOAD,WW_STARV_FREE,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,True,0,False,True,True,100000,4,0.5,False,True,False,True,8,TPCC,False,3940,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009008,,0.0,0.0,1.1e-05,8.313755,737390.997382,0.012126000000000001,0.415641,0.515998,2.824549,0.315251,0.0,2.435889,766311
50000,CLV,True,0,False,True,True,100000,4,0.5,False,True,False,True,16,TPCC,False,16448,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.718926000000001,,0.0,0.0,1.4000000000000001e-05,20.905363,1136048.4087979998,0.082651,6.20268,1.007984,11.774515,1.291398,0.0,2.014559,1484344
50000,CLV,True,0,False,True,True,100000,4,0.5,False,True,False,True,32,TPCC,False,37786,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.497307,,0.0,0.0,2.8999999999999997e-05,86.93050699999999,1105830.7948399999,0.578167,32.987024,2.567198,47.503714,3.051669,0.0,20.121389999999998,3004076
50000,CLV,True,0,False,True,True,100000,8,0.5,False,True,False,True,1,TPCC,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001078,,0.0,0.0,5e-06,0.512549,195103.10901800002,0.0,0.027552999999999998,0.062916,0.151751,0.0011099999999999999,0.0,0.0,100000
50000,CLV,True,0,False,True,True,100000,8,0.5,False,True,False,True,2,TPCC,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002098,,0.0,0.0,6e-06,1.097913,357895.305346,0.0,0.068664,0.111051,0.493903,0.0021079999999999996,0.0,0.0,196469
50000,CLV,True,0,False,True,True,100000,8,0.5,False,True,False,True,4,TPCC,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004069,,0.0,0.0,6e-06,2.341373,651615.817454,0.0,0.134482,0.222315,1.057793,0.004097,0.0,0.0,381419
50000,CLV,True,0,False,True,True,100000,8,0.5,False,True,False,True,8,TPCC,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008028,,0.0,0.0,7.000000000000001e-06,5.264588,1137556.742463,0.0,0.279045,0.529605,2.409277,0.008092,0.0,4e-06,748596
50000,CLV,True,0,False,True,True,100000,8,0.5,False,True,False,True,16,TPCC,False,7791,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018765,,0.0,0.0,1.2e-05,17.581025,1355000.827624,0.026105,0.785428,1.126849,5.842765,0.623522,0.0,5.2935099999999995,1488894
50000,CLV,True,0,False,True,True,100000,8,0.5,False,True,False,True,32,TPCC,False,30604,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.534476,,0.0,0.0,2.1e-05,62.461525,1496969.151144,0.23010799999999998,20.553713000000002,3.301848,36.78614,2.425703,0.0,6.675567999999999,2921968
50000,CLV,True,0,False,True,True,100000,16,0.5,False,True,False,True,1,TPCC,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010789999999999999,,0.0,0.0,6e-06,0.641021,156001.217059,0.0,0.030137,0.083388,0.170165,0.001097,0.0,0.0,100000
50000,CLV,True,0,False,True,True,100000,16,0.5,False,True,False,True,2,TPCC,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019399999999999999,,0.0,0.0,8e-06,1.523397,236093.469776,0.0,0.065165,0.176678,0.7049380000000001,0.001972,0.0,0.0,179832
50000,CLV,True,0,False,True,True,100000,16,0.5,False,True,False,True,4,TPCC,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037649999999999997,,0.0,0.0,7.000000000000001e-06,2.412687,575539.317632,0.0,0.12350599999999999,0.268383,1.0552110000000001,0.003743,0.0,1e-06,347149
50000,CLV,True,0,False,True,True,100000,16,0.5,False,True,False,True,8,TPCC,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007634,,0.0,0.0,7.000000000000001e-06,4.826601,1177956.856601,0.0,0.263789,0.654877,2.230512,0.0076549999999999995,0.0,1.8e-05,710691
50000,CLV,True,0,False,True,True,100000,16,0.5,False,True,False,True,16,TPCC,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014983000000000002,,0.0,0.0,7.000000000000001e-06,10.091421,2215077.468287,0.0,0.536185,1.1392639999999998,4.504718,0.014901,0.0,8.8e-05,1397080
50000,CLV,True,0,False,True,True,100000,16,0.5,False,True,False,True,32,TPCC,False,16259,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062030999999999996,,0.0,0.0,1.7e-05,48.712215,1874721.23967,0.077625,2.40382,4.428082,15.683720999999998,1.320924,0.0,14.516926999999999,2853807
