ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,LATCH,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_WH,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,TERMINATE_BY_COUNT,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_cnt_long,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,NO_WAIT,false,2.8,LH_MCSLOCK,10,100000,true,4,true,false,true,false,true,32,true,false,TPCC,false, 3066962, 0, 0, 0, 20915,0,0,0,0, 97976, 0, 285.635,326549, 224.67, 2.43482, 0, 0, 0, 0, 2.46202, 16.2709, 243.57, 0, 0, 0, 0, 0, 0, 0, 2914809, 0, 14690, 0
50000,true,false,true,0,true,false,WAIT_DIE,false,2.8,LH_MCSLOCK,10,100000,true,8,true,false,true,false,true,32,true,false,TPCC,false, 1142633, 0, 0, 0, 44685,0,0,0,0, 49399, 0, 144.568,645668, 14.2206, 2.47494, 0, 0, 0, 0, 3.05641, 17.8196, 91.7098, 0, 0, 0, 0, 0, 730712566, 8.52234, 2916963, 0, 14752, 701210
50000,true,false,true,0,true,false,SILO,false,2.8,LH_MCSLOCK,10,100000,true,8,true,false,true,false,true,32,true,false,TPCC,false, 772148, 0, 0, 0, 26104,0,0,0,0, 35958, 0, 99.2182,889272, 27.2408, 3.82417, 0, 0, 0, 0, 1.5494, 8.90239, 60.859, 0, 0, 0, 0, 0, 0, 0, 2757250, 0, 13662, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,LH_MCSLOCK,10,100000,true,8,true,false,true,false,true,32,true,false,TPCC,false, 35934, 0, 0, 0, 29133,0,0,0,0, 29225, 0, 88.9731,1.08941e+06, 0.727292, 3.15175, 0, 0, 0, 0, 2.20948, 15.625, 1.72685, 0, 0, 0, 0, 0, 573921464, 52.6373, 3029020, 0, 15114, 2964712
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,8,true,false,true,false,true,32,true,false,TPCC,false, 33562, 0, 0, 0, 20932,0,0,0,0, 21021, 0, 62.8404,1.51452e+06, 0.583976, 17.9629, 13.4111, 0, 0, 0, 2.42823, 38.8315, 1.56241, 0, 0, 0, 0, 0, 0, 0.596762, 2974161, 0, 14939, 573137
50000,true,false,true,0,true,false,NO_WAIT,false,2.8,LH_MCSLOCK,10,100000,true,8,true,false,true,false,true,32,true,false,TPCC,false, 1051865, 0, 0, 0, 14703,0,0,0,0, 46252, 0, 112.32,690859, 76.6647, 1.48237, 0, 0, 0, 0, 2.09973, 11.7343, 82.4296, 0, 0, 0, 0, 0, 0, 0, 2424907, 0, 12276, 0
50000,true,false,true,0,true,false,WAIT_DIE,false,2.8,LH_MCSLOCK,10,100000,true,16,true,false,true,false,true,32,true,false,TPCC,false, 378961, 0, 0, 0, 24256,0,0,0,0, 24439, 0, 68.6605,1.30299e+06, 0.844828, 1.50976, 0, 0, 0, 0, 4.2646, 13.7898, 29.8873, 0, 0, 0, 0, 0, 635144916, 2.20505, 2795742, 0, 13843, 260522
50000,true,false,true,0,true,false,SILO,false,2.8,LH_MCSLOCK,10,100000,true,16,true,false,true,false,true,32,true,false,TPCC,false, 285688, 0, 0, 0, 16934,0,0,0,0, 19971, 0, 53.3657,1.59783e+06, 8.24081, 2.30525, 0, 0, 0, 0, 2.00628, 8.07076, 21.6794, 0, 0, 0, 0, 0, 0, 0, 2664670, 0, 13374, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,LH_MCSLOCK,10,100000,true,16,true,false,true,false,true,32,true,false,TPCC,false, 40348, 0, 0, 0, 17716,0,0,0,0, 17762, 0, 52.3585,1.79187e+06, 0.416494, 2.36687, 0, 0, 0, 0, 3.46143, 13.9475, 2.10291, 0, 0, 0, 0, 0, 565297698, 15.1571, 2931872, 0, 14783, 2084048
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,16,true,false,true,false,true,32,true,false,TPCC,false, 14918, 0, 0, 0, 16841,0,0,0,0, 16857, 0, 41.4498,1.88681e+06, 0.289404, 7.98124, 5.83008, 0, 0, 0, 2.2642, 23.4875, 0.260897, 0, 0, 0, 0, 0, 0, 0.15215, 2443991, 0, 12366, 175953
