ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,LATCH,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_WH,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,TERMINATE_BY_COUNT,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 47452, 0, 0, 0, 0, 46496,0,0,0,0, 47037, 0, 0, 0, 75.2799,339181, 1.07812, 43.4248, 37.0263, 0, 0, 0, 0.84963, 57.5146, 3.16943, 0, 0, 0, 0, 0, 0, 3.88765, 1595843, 0, 8082, 946902
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,8,true,false,TPCC,false, 15286, 0, 0, 0, 0, 22570,0,0,0,0, 22781, 0, 0, 0, 18.203,349689, 0.244091, 6.36261, 4.41255, 0, 0, 0, 0.432638, 12.1032, 0.927404, 0, 0, 0, 0, 0, 0, 0.545917, 795675, 0, 3881, 318705
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,4,true,false,TPCC,false, 4238, 0, 0, 0, 0, 15744,0,0,0,0, 15812, 0, 0, 0, 6.34611,251698, 0.0587773, 1.76894, 1.20011, 0, 0, 0, 0.218691, 4.0508, 0.187861, 0, 0, 0, 0, 0, 0, 0.100468, 399326, 0, 2009, 86145
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,2,true,false,TPCC,false, 1195, 0, 0, 0, 0, 12914,0,0,0,0, 12926, 0, 0, 0, 2.59183,153784, 0.0180089, 0.526922, 0.357128, 0, 0, 0, 0.139679, 1.601, 0.0179864, 0, 0, 0, 0, 0, 0, 0.021202, 199291, 0, 1026, 17254
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,1,true,false,TPCC,false, 501, 0, 0, 0, 0, 6489,0,0,0,0, 6489, 0, 0, 0, 0.653349,153057, 0.00439956, 0.0278315, 0.00250135, 0, 0, 0, 0.0496359, 0.212875, 0.0021629, 0, 0, 0, 0, 0, 0, 0, 100000, 0, 501, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,120,true,false,TPCC,false, 292601, 0, 0, 0, 0, 1236312,0,0,0,0, 1239284, 0, 0, 0, 14870.1,96810.5, 38.6506, 14396.4, 14221.2, 0, 0, 0, 5.9899, 14647.8, 20.5974, 0, 0, 0, 0, 0, 0, 65.0726, 11996555, 0, 60335, 6013653
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,96,true,false,TPCC,false, 216724, 0, 0, 0, 0, 778236,0,0,0,0, 779479, 0, 0, 0, 7476.87,123126, 13.9281, 7164.8, 7054.09, 0, 0, 0, 4.92708, 7340.38, 14.7065, 0, 0, 0, 0, 0, 0, 35.0032, 9589557, 0, 47917, 4961923
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,64,true,false,TPCC,false, 144550, 0, 0, 0, 0, 358129,0,0,0,0, 358703, 0, 0, 0, 2295.26,178339, 4.71793, 2136.3, 2086.63, 0, 0, 0, 3.39288, 2222.81, 9.21126, 0, 0, 0, 0, 0, 0, 16.5461, 6395866, 0, 32006, 3258185
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,32,true,false,TPCC,false, 82798, 0, 0, 0, 0, 122039,0,0,0,0, 122547, 0, 0, 0, 392.086,260820, 2.07994, 323.935, 307.078, 0, 0, 0, 1.69237, 356.951, 5.36863, 0, 0, 0, 0, 0, 0, 7.89307, 3195740, 0, 16137, 1726295
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 48365, 0, 0, 0, 0, 47098,0,0,0,0, 47657, 0, 0, 0, 76.1885,334785, 1.10492, 44.1751, 37.6963, 0, 0, 0, 0.83874, 58.2431, 3.25137, 0, 0, 0, 0, 0, 0, 3.94038, 1594173, 0, 8018, 943984
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,8,true,false,TPCC,false, 15830, 0, 0, 0, 0, 22084,0,0,0,0, 22298, 0, 0, 0, 17.8437,357174, 0.249731, 6.18804, 4.33664, 0, 0, 0, 0.429148, 11.8099, 0.963311, 0, 0, 0, 0, 0, 0, 0.514379, 796663, 0, 3973, 319102
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,4,true,false,TPCC,false, 4208, 0, 0, 0, 0, 15588,0,0,0,0, 15651, 0, 0, 0, 6.27891,254236, 0.0577184, 1.73531, 1.1599, 0, 0, 0, 0.209649, 4.00048, 0.183443, 0, 0, 0, 0, 0, 0, 0.106428, 399082, 0, 2022, 89840
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,2,true,false,TPCC,false, 1190, 0, 0, 0, 0, 12763,0,0,0,0, 12772, 0, 0, 0, 2.51074,155620, 0.0173465, 0.505222, 0.334989, 0, 0, 0, 0.139887, 1.54785, 0.0163018, 0, 0, 0, 0, 0, 0, 0.0164986, 195361, 0, 1039, 13621
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,1,true,false,TPCC,false, 501, 0, 0, 0, 0, 6439,0,0,0,0, 6439, 0, 0, 0, 0.64828,154254, 0.00430673, 0.0283403, 0.00248197, 0, 0, 0, 0.0503128, 0.21446, 0.00219368, 0, 0, 0, 0, 0, 0, 0, 100000, 0, 501, 0
