ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt,RETIRE_READ
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.5,True,True,1024*1024*20,32,YCSB,False,0,14,0,0,20.769998,1.0,1.0,0.0,0.0,0.0,0.0,2.796823,0.0,0.0,,0.0,0.0,0.00031600000000000004,1012.41544,101138.02296900001,0.009937,4.551405,9.464603,42.802473,0.028865,0.35497399999999996,941.0596210000001,3199803,
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.75,True,True,1024*1024*20,16,YCSB,False,0,7,0,0,10.508982000000001,1.0,1.0,0.0,0.0,0.0,0.0,1.218232,0.0,0.0,,0.0,0.0,0.00028199999999999997,451.441829,56705.494167,0.0060539999999999995,2.078636,6.901382000000001,22.534753,0.015211,0.198654,411.906594,1599952,
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.75,True,True,1024*1024*20,32,YCSB,False,0,8,0,0,20.406187,1.0,1.0,0.0,0.0,0.0,0.0,2.3057119999999998,0.0,0.0,,0.0,0.0,0.0005059999999999999,1619.3982839999999,63231.09084,0.003334,3.9590199999999998,11.04616,42.901052,0.027519,0.367183,1546.4576279999999,3199885,
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,1.0,True,True,1024*1024*20,16,YCSB,False,0,3,0,0,10.450575,1.0,1.0,0.0,0.0,0.0,0.0,0.781033,0.0,0.0,,0.0,0.0,0.000361,577.8313929999999,44303.387271,6.8e-05,1.6506060000000002,6.439362,20.774599,0.017834,0.188889,541.072708,1599993,
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.0,True,True,1024*1024*20,16,YCSB,False,0,263717,0,0,10.399722,1.0,1.0,0.0,0.0,0.0,0.0,1.5469950000000001,0.0,0.0,,0.0,0.0,3.3e-05,58.823365,413154.467174,9.325598,2.5058759999999998,3.4725589999999995,16.688549,20.398996,0.205981,4.581519999999999,1518946,
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.0,True,True,1024*1024*20,32,YCSB,False,0,23126,0,0,29.622120000000002,1.0,1.0,0.0,0.0,0.0,0.0,6.994314999999999,0.0,0.0,,0.0,0.0,9.300000000000001e-05,293.621596,339056.04103200004,3.024099,9.069349,8.49018,56.14954300000001,1.8960439999999998,0.410096,205.29128,3111068,
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.25,True,True,1024*1024*20,16,YCSB,False,0,2832,0,0,10.979158,1.0,1.0,0.0,0.0,0.0,0.0,1.654406,0.0,0.0,,0.0,0.0,7.5e-05,120.33283899999999,212392.895296,0.305925,2.587354,5.96272,22.816311,0.23959899999999998,0.188675,81.385992,1597365,
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.25,True,True,1024*1024*20,32,YCSB,False,0,77,0,0,21.498718,1.0,1.0,0.0,0.0,0.0,0.0,4.0578330000000005,0.0,0.0,,0.0,0.0,0.000154,491.62424599999997,208249.45233,0.024543000000000002,6.033874,9.884508,46.841658,0.036522000000000006,0.376008,415.62273,3199390,
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.5,True,True,1024*1024*20,16,YCSB,False,0,6,0,0,10.686926,1.0,1.0,0.0,0.0,0.0,0.0,1.322084,0.0,0.0,,0.0,0.0,0.000177,282.401707,90645.967817,0.007736,2.203262,6.650755,22.714795000000002,0.015481,0.211405,243.396955,1599911,
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.5,True,True,1024*1024*20,32,YCSB,False,0,9,0,0,20.782420000000002,1.0,1.0,0.0,0.0,0.0,0.0,2.848111,0.0,0.0,,0.0,0.0,0.000354,1132.377101,90424.944071,0.006690000000000001,4.682764,13.241399,46.88674,0.030352999999999998,0.361664,1052.5615480000001,3199848,
