ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,NUM_WH,PERC_PAYMENT,POS_HS,READ_PERC,REORDER_WH,REQ_PER_QUERY,RETIRE_ON,RETIRE_READ,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,true,0,false,true,,true,,,,,100000,,16,0.5,,,false,,true,false,,true,,,4,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003992,-nan,0.000000,0.000000,0.000008,2.955465,487908.276895,0.000000,0.133545,0.306717,1.428674,0.003986,0.000000,0.000000,360499
50000,CLV,true,0,false,true,,true,,,,,100000,,1,0.5,,,false,,true,false,,true,,,8,TPCC,false,,6673,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.225591,-nan,0.000000,0.000000,0.000024,19.383308,328792.591731,0.085869,7.513204,0.565217,11.610328,0.528848,0.000000,4.251207,796636
50000,CLV,true,0,false,true,,true,,,,,100000,,2,0.5,,,false,,true,false,,true,,,8,TPCC,false,,8354,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.838856,-nan,0.000000,0.000000,0.000015,11.931628,528765.383405,0.049999,3.654722,0.565038,7.095684,0.653189,0.000000,1.183576,788629
50000,CLV,true,0,false,true,,true,,,,,100000,,4,0.5,,,false,,true,false,,true,,,8,TPCC,false,,3985,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008831,-nan,0.000000,0.000000,0.000011,8.240832,721769.820833,0.013384,0.407265,0.508173,2.788155,0.317765,0.000000,2.414719,743498
50000,CLV,true,0,false,true,,true,,,,,100000,,8,0.5,,,false,,true,false,,true,,,8,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007909,-nan,0.000000,0.000000,0.000007,5.324976,1108612.730655,0.000000,0.280962,0.481658,2.634539,0.007982,0.000000,0.000090,737917
50000,CLV,true,0,false,true,,true,,,,,100000,,16,0.5,,,false,,true,false,,true,,,8,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007547,-nan,0.000000,0.000000,0.000007,4.770588,1176158.510063,0.000000,0.266609,0.546560,2.197247,0.007540,0.000000,0.000017,701371
50000,CLV,true,0,false,true,,true,,,,,100000,,1,0.5,,,false,,true,false,,true,,,16,TPCC,false,,32032,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.484665,-nan,0.000000,0.000000,0.000043,69.828229,365404.083954,0.801276,29.850550,0.983209,38.188639,2.501375,0.000000,22.610057,1594720
50000,CLV,true,0,false,true,,true,,,,,100000,,2,0.5,,,false,,true,false,,true,,,16,TPCC,false,,14505,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.180566,-nan,0.000000,0.000000,0.000021,32.220812,750321.507287,0.148851,12.132633,0.953513,18.553427,1.141258,0.000000,7.124962,1510998
50000,CLV,true,0,false,true,,true,,,,,100000,,4,0.5,,,false,,true,false,,true,,,16,TPCC,false,,16448,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.718926,-nan,0.000000,0.000000,0.000014,20.905363,1136048.408798,0.082651,6.202680,1.007984,11.774515,1.291398,0.000000,2.014559,1484344
50000,CLV,true,0,false,true,,true,,,,,100000,,8,0.5,,,false,,true,false,,true,,,16,TPCC,false,,6867,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016195,-nan,0.000000,0.000000,0.000012,16.407632,1295773.567744,0.025464,0.815555,1.051746,5.713779,0.548447,0.000000,4.792261,1328786
