ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,16,0,false,100000,1,true,8,TPCC,40599,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,23.975769,265872.427461,0.724577,11.330700,0.401502,17.148355,0.026858,0.000000,0.615351,796812
1,CLV,16,0,false,100000,1,true,4,TPCC,6979,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,8.589953,184896.464434,0.070310,3.371208,0.210842,5.879669,0.012351,0.000000,0.072924,397063
1,CLV,16,0,false,100000,1,true,2,TPCC,1183,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,3.009127,131416.169284,0.008270,0.800008,0.095491,1.914191,0.007259,0.000000,0.006416,197724
1,CLV,16,0,false,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.558347,179100.189900,0.000000,0.034364,0.064410,0.183509,0.002582,0.000000,0.000000,100000
1,CLV,16,0,false,100000,16,true,16,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,22.155296,1034112.672461,0.000000,0.989502,3.660015,11.349563,0.046499,0.000000,0.001035,1431942
1,CLV,16,0,false,100000,16,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,10.318959,585634.276352,0.000000,0.455010,1.582727,5.224156,0.023620,0.000000,0.000160,755392
1,CLV,16,0,false,100000,16,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.433376,334372.702820,0.000000,0.197642,0.634890,2.096181,0.010539,0.000000,0.000014,370600
1,CLV,16,0,false,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,2.397014,166659.884060,0.000000,0.099944,0.385905,1.090833,0.005378,0.000000,0.000048,199743
1,CLV,16,0,false,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,0.972766,102799.683591,0.000000,0.035779,0.145640,0.271121,0.002658,0.000000,0.000000,100000
1,CLV,16,0,false,100000,8,true,16,TPCC,11043,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,29.885248,776663.051614,0.091225,7.835923,1.486209,18.320763,0.048314,0.000000,0.062400,1450673
1,CLV,16,0,false,100000,8,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,7.513743,784550.701570,0.000000,0.406447,0.745396,3.652109,0.019580,0.000000,0.000422,736864
1,CLV,16,0,false,100000,8,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.584488,335698.111489,0.000000,0.213440,0.580076,2.438802,0.011219,0.000000,0.000106,384751
1,CLV,16,0,false,100000,8,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.850448,197678.642271,0.000000,0.094900,0.222829,0.941118,0.005172,0.000000,0.000007,182897
1,CLV,16,0,false,100000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.938381,106566.472585,0.000000,0.035471,0.135254,0.318027,0.007569,0.000000,0.000000,100000
1,CLV,16,0,false,100000,4,true,16,TPCC,34470,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000027,41.317822,602774.072964,0.381959,16.214430,1.211218,28.150715,0.052365,0.000000,0.250393,1556582
