ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_PROFILING,DEBUG_TMP,DELAY_ACQUIRE,DELAY_THRESHOLD,DYNAMIC_TS,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,REORDER_WH,RETIRE_ON,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,1,false,true,false,0,4,true,100000,1,0.5,false,true,true,8,TPCC,18186,0,0,2.757994,0.000000,0.000000,0.626354,1.050982,0.254675,0.884474,0.629825,8.245596,0.000000,0.000000,0.000000,0.000026,21.083434,302318.111209,0.282588,10.238420,0.359727,15.098757,1.417895,0.000000,0.114822,796738
50000,CLV,1,false,true,false,0,4,true,100000,2,0.5,false,true,true,8,TPCC,10159,0,0,2.248617,0.000000,0.000000,0.357904,0.730644,0.209825,0.596287,0.409245,4.423033,0.000000,0.000000,0.000000,0.000019,14.616543,416859.722407,0.081971,5.846640,0.395767,9.834770,0.795770,0.000000,0.036857,761631
50000,CLV,1,false,true,false,0,4,true,100000,4,0.5,false,true,true,8,TPCC,4907,0,0,1.964304,0.000000,0.000000,0.224366,0.567598,0.158102,0.425618,0.278960,1.642118,0.000000,0.000000,0.000000,0.000013,9.828992,610920.034274,0.020483,2.707614,0.331209,5.743206,0.390222,0.000000,0.008462,750591
50000,CLV,1,false,true,false,0,4,true,100000,8,0.5,false,true,true,8,TPCC,0,0,0,1.884389,0.000000,0.000000,0.000058,0.009039,0.002327,0.286412,0.134593,0.008174,0.000000,0.000000,0.000000,0.000008,6.423229,943900.306760,0.000000,0.784930,0.371850,3.204772,0.007196,0.000000,0.000371,757861
50000,CLV,1,false,true,false,0,4,true,100000,16,0.5,false,true,true,8,TPCC,0,0,0,2.007863,0.000000,0.000000,0.000032,0.003094,0.000801,0.279887,0.139190,0.008257,0.000000,0.000000,0.000000,0.000012,8.068942,659923.966961,0.000000,0.806007,0.789688,4.135917,0.007702,0.000000,0.000208,665611
50000,CLV,1,false,true,false,0,4,true,100000,1,0.5,false,true,true,16,TPCC,76284,0,0,6.463470,0.000000,0.000000,1.929369,2.985147,0.626310,3.396083,1.490887,34.508457,0.000000,0.000000,0.000000,0.000043,69.546159,363044.519397,1.756874,40.361626,0.709835,51.011401,5.933744,0.000000,1.857993,1578022
50000,CLV,1,false,true,false,0,4,true,100000,2,0.5,false,true,true,16,TPCC,41363,0,0,5.360948,0.000000,0.000000,1.189459,1.910131,0.493971,1.627552,1.168431,16.612827,0.000000,0.000000,0.000000,0.000027,42.612257,582583.920510,0.577253,20.314325,0.848794,29.967376,3.215560,0.000000,0.215973,1551576
50000,CLV,1,false,true,false,0,4,true,100000,4,0.5,false,true,true,16,TPCC,21967,0,0,5.014723,0.000000,0.000000,0.734279,1.728879,0.434035,1.244178,0.809255,10.059164,0.000000,0.000000,0.000000,0.000021,32.878037,746332.640500,0.190789,12.935740,0.891996,21.592152,1.718512,0.000000,0.107387,1533622
50000,CLV,1,false,true,false,0,4,true,100000,8,0.5,false,true,true,16,TPCC,8963,0,0,4.452372,0.000000,0.000000,0.481456,1.202044,0.318533,0.878174,0.565639,4.295829,0.000000,0.000000,0.000000,0.000015,22.884095,1040757.781180,0.044179,6.461675,0.990653,13.720726,0.713749,0.000000,0.017895,1488550
50000,CLV,1,false,true,false,0,4,true,100000,16,0.5,false,true,true,16,TPCC,0,0,0,3.596079,0.000000,0.000000,0.000108,0.026697,0.006271,0.549296,0.262911,0.015723,0.000000,0.000000,0.000000,0.000009,13.014239,1741890.194253,0.000000,1.657593,1.000813,6.450324,0.013816,0.000000,0.000669,1416836
50000,CLV,1,false,true,false,0,4,true,100000,1,0.5,false,true,true,1,TPCC,0,0,0,0.111527,0.000000,0.000000,0.000000,0.000000,0.000000,0.020232,0.017041,0.001082,0.000000,0.000000,0.000000,0.000005,0.521917,191601.514711,0.000000,0.079825,0.024671,0.270293,0.000966,0.000000,0.000000,100000
