ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_PROFILING,DEBUG_TMP,DELAY_ACQUIRE,DELAY_THRESHOLD,DYNAMIC_TS,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,REORDER_WH,RETIRE_ON,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
100000,CLV,1,FALSE,TRUE,FALSE,0,4,TRUE,100000,1,0.5,FALSE,TRUE,TRUE,8,TPCC,257806,0,0,1.732646,0,0,0.254505,0.69153,0.213944,0.547415,0.325239,1.226004,0,0,0,0.000036,35.424643,179264.3624,6.549965,2.519405,0.270307,4.46489,26.267429,0,0.034675,793797
100000,CLV,1,FALSE,TRUE,FALSE,0,4,TRUE,100000,2,0.5,FALSE,TRUE,TRUE,8,TPCC,86138,0,0,1.837583,0,0,0.21103,0.573736,0.180836,0.450865,0.279319,1.736696,0,0,0,0.000022,18.208048,330275.9291,1.858569,2.813048,0.286873,5.391005,8.79508,0,0.012966,751710
100000,CLV,1,FALSE,TRUE,FALSE,0,4,TRUE,100000,4,0.5,FALSE,TRUE,TRUE,8,TPCC,10017,0,0,2.213068,0,0,0.236501,0.638397,0.167897,0.470671,0.294365,1.711218,0,0,0,0.000014,11.33845,550205.6987,0.150147,2.835373,0.340484,6.169903,1.031703,0,0.009094,779810
100000,CLV,1,FALSE,TRUE,FALSE,0,4,TRUE,100000,8,0.5,FALSE,TRUE,TRUE,8,TPCC,0,0,0,2.032256,0,0,0.000069,0.010384,0.002547,0.277819,0.135728,0.008203,0,0,0,0.000009,6.517517,925000.1193,0,0.789339,0.463587,3.36252,0.007226,0,0.000498,753588
100000,CLV,1,FALSE,TRUE,FALSE,0,4,TRUE,100000,16,0.5,FALSE,TRUE,TRUE,8,TPCC,0,0,0,2.197757,0,0,0.000049,0.005319,0.001397,0.298442,0.154298,0.009175,0,0,0,0.000012,8.639675,671292.8268,0,0.881744,0.80273,4.530953,0.008345,0,0.000453,724969
100000,CLV,1,FALSE,TRUE,FALSE,0,4,TRUE,100000,1,0.5,FALSE,TRUE,TRUE,16,TPCC,1139483,0,0,3.961984,0,0,0.824523,1.754099,0.516745,1.543332,0.842818,2.578537,0,0,0,0.000064,138.789413,181486.0042,38.320468,6.018098,0.478397,8.843021,116.583785,0,0.030872,1574271
100000,CLV,1,FALSE,TRUE,FALSE,0,4,TRUE,100000,2,0.5,FALSE,TRUE,TRUE,16,TPCC,590595,0,0,4.254047,0,0,0.572736,1.517607,0.424533,1.121673,0.660368,2.798258,0,0,0,0.000044,81.876691,294297.1889,15.31993,5.434263,0.520793,9.818536,60.396138,0,0.019236,1506005
100000,CLV,1,FALSE,TRUE,FALSE,0,4,TRUE,100000,4,0.5,FALSE,TRUE,TRUE,16,TPCC,214432,0,0,4.028829,0,0,0.489491,1.345115,0.396318,0.97574,0.627909,3.661197,0,0,0,0.000025,43.923561,565495.4974,4.73388,6.035381,0.683012,11.736691,21.956162,0,0.031976,1552411
100000,CLV,1,FALSE,TRUE,FALSE,0,4,TRUE,100000,8,0.5,FALSE,TRUE,TRUE,16,TPCC,20329,0,0,4.838358,0,0,0.484309,1.206143,0.335826,0.913694,0.562856,4.130287,0,0,0,0.000016,25.052925,970780.6856,0.308002,6.319563,0.982272,13.871216,2.104391,0,0.01946,1520056
100000,CLV,1,FALSE,TRUE,FALSE,0,4,TRUE,100000,16,0.5,FALSE,TRUE,TRUE,16,TPCC,0,0,0,3.516878,0,0,0.000108,0.032591,0.007205,0.547325,0.265443,0.015842,0,0,0,0.000009,12.920186,1764907.11,0,1.513767,1.065296,6.199594,0.013862,0,0.000733,1425183
