ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,1,0.5,true,1,true,true,TPCC,false, 503, 0, 4880,0,0,0,0, 4880, 0.491856,203312, 0, 0.0600663, 0.00106027, 0.0189224, 0.106289, 0.0501285, 0.276378, 0.00195698, 0.0164523, 0.0151986, 0, 0, 0, 0, 100000, 503, 0
50000,0,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,1,0.5,true,2,true,true,TPCC,false, 1368, 2, 9634,0,0,0,0, 9650, 1.9144,205722, 0.0031708, 0.350353, 0.0601706, 0.0683832, 0.525437, 0.11078, 1.21438, 0.0342831, 0.0371949, 0.143143, 0.0240386, 0.0768372, 0, 0.00412652, 196917, 975, 5888
50000,0,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,1,0.5,true,4,true,true,TPCC,false, 5038, 4, 11797,0,0,0,0, 11879, 4.66697,334574, 0.0318748, 1.12046, 0.404398, 0.185402, 1.1321, 0.238672, 2.91046, 0.250673, 0.110335, 0.362278, 0.0651171, 0.192589, 0, 0.031416, 390362, 1910, 42009
50000,0,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,1,0.5,true,8,true,true,TPCC,false, 19775, 8, 16350,0,0,0,0, 16613, 13.1291,478873, 0.207364, 4.1741, 2.2713, 0.451389, 2.53415, 0.459994, 8.28686, 1.24467, 0.302491, 1.08989, 0.176732, 0.53576, 0, 0.272411, 785898, 3913, 228723
50000,0,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,true,TPCC,false, 79955, 16, 30459,0,0,0,0, 31456, 50.3112,506383, 1.59393, 20.0309, 13.7383, 1.33482, 7.5527, 1.02967, 31.1001, 5.60637, 0.858988, 4.30239, 0.515375, 1.8295, 0, 4.01438, 1592298, 8089, 1009955
50000,4,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,true,TPCC,false, 107432, 16, 28705,0,0,0,0, 29718, 47.3196,536118, 1.61114, 17.5831, 11.6621, 1.25367, 7.13857, 0.988586, 27.8932, 7.7412, 0.83697, 3.9836, 0.491975, 1.72306, 0, 2.89728, 1585556, 7878, 967306
50000,12,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,true,TPCC,false, 78548, 16, 26051,0,0,0,0, 26893, 42.9146,592226, 1.34222, 16.8355, 11.4526, 1.15883, 6.27438, 0.90516, 26.0664, 5.49853, 0.749121, 3.57465, 0.45194, 1.53229, 0, 2.90734, 1588446, 7963, 966661
50000,0,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,1,0.5,true,32,true,true,TPCC,false, 196034, 31, 66452,0,0,0,0, 68524, 218.678,465709, 6.61612, 128.143, 111.149, 3.78269, 18.285, 1.96187, 153.614, 14.123, 2.27443, 12.4179, 1.3126, 4.89111, 0, 27.4866, 3182515, 15861, 2768006
50000,4,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,1,0.5,true,32,true,true,TPCC,false, 576227, 29, 58226,0,0,0,0, 63198, 200.117,505046, 15.7166, 97.6487, 82.0705, 3.16509, 18.0684, 2.02465, 121.664, 43.7271, 2.14736, 11.1549, 1.26843, 4.29397, 0, 11.8143, 3158383, 16041, 2629049
50000,16,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,1,0.5,true,32,true,true,TPCC,false, 268641, 32, 61344,0,0,0,0, 64029, 203.244,498325, 8.51698, 112.195, 96.5077, 3.3783, 16.7539, 2.23433, 136.104, 19.8733, 2.13108, 11.3306, 1.30092, 4.34132, 0, 22.8442, 3165045, 15774, 2751807
