MAX_RUNTIME,TERMINIATE_BY_COUNT,cycle_detect,cascading_abort_times,WW_STARV_FREE,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,max_abort_length,time_index,ZIPF_THETA,LATCH,SYNTH_TABLE_SIZE,CC_ALG,latency,time_cleanup,LONG_TXN_RATIO,txn_cnt,READ_PERC,ABORT_PENALTY,LAST_RETIRE,time_man,BB_OPT_MAX_WAITER,time_wait,MAX_ROW_PER_TXN,UNSET_NUMA,NUM_HS,DEBUG_PROFILING,REQ_PER_QUERY,SPECIFIED_RATIO,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,FIXED_HS,time_get_latch,KEY_ORDER,WORKLOAD,run_time,SECOND_HS,deadlock_cnt,dl_detect_time,time_release_latch,time_query,wait_cnt,time_retire_latch,DEBUG_ABORT_LENGTH,FIRST_HS,abort_cnt,time_commit,POS_HS,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,FLIP_RATIO,SYNTHETIC_YCSB,commit_latency,time_ts_alloc
10,false,0, 0,false, 99.3696, 0,1000000,false, 0, 0, 3.61509,0.9,LH_MCSLOCK,100000000,WOUND_WAIT, 3862507, 1.14772,1, 41426,0.5,50000,0.15, 8.37664,0, 45.2848,100,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 160.005,WR,0,0, 0, 12.9971, 374095, 0,false,WR, 167850, 0,TOP, 0,true,true,4142.48, 0,0,false, 1463695, 36952189
10,false,0, 0,false, 15.4998, 0,1000000,false, 0, 0, 14.5386,0.9,LH_MCSLOCK,100000000,SILO, 22461, 5.00323,1, 7125438,0.5,50000,0.15, 40.1399,0, 0,10,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.978,WR,0,0, 0, 61.8059, 0, 0,false,WR, 794351, 0,TOP, 0,true,true,712643, 0,0,false, 20276, 0
10,false,0, 0,false, 117.689, 0,1000000,false, 0, 0, 1.19589,0.9,LH_MCSLOCK,100000000,SILO, 400578, 10.2733,1, 399657,0.5,50000,0.15, 6.66059,0, 0,100,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.968,WR,0,0, 0, 63.4182, 0, 0,false,WR, 817127, 0,TOP, 0,true,true,39973.7, 0,0,false, 105788, 0
10,false,0, 0,false, 14.0276, 0,1000000,false, 0, 0, 11.2635,0.9,LH_MCSLOCK,100000000,SILO, 19149, 5.06595,1, 8357740,0.5,50000,0.15, 34.0093,0, 0,10,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.982,WR,0,0, 0, 69.2085, 0, 0,false,WR, 891634, 0,TOP, 0,true,true,835870, 0,0,false, 17463, 0
10,false,0, 0,false, 107.316, 0,1000000,false, 0, 0, 0.982239,0.9,LH_MCSLOCK,100000000,SILO, 294908, 10.2714,1, 542789,0.5,50000,0.15, 6.45438,0, 0,100,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.979,WR,0,0, 0, 83.2437, 0, 0,false,WR, 1075920, 0,TOP, 0,true,true,54286.1, 0,0,false, 97022, 0
10,false,0, 0,false, 15.9207, 0,1000000,false, 0, 0, 14.938,0.9,LH_MCSLOCK,100000000,SILO, 23124, 5.09676,1, 6921057,0.5,50000,0.15, 41.1259,0, 0,10,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.98,WR,0,0, 0, 60.7825, 0, 0,false,WR, 780203, 0,TOP, 0,true,true,692190, 0,0,false, 20814, 0
10,false,0, 0,false, 117.21, 0,1000000,false, 0, 0, 1.18565,0.9,LH_MCSLOCK,100000000,SILO, 395871, 10.3335,1, 404400,0.5,50000,0.15, 6.7195,0, 0,100,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.96,WR,0,0, 0, 64.4942, 0, 0,false,WR, 831082, 0,TOP, 0,true,true,40450.2, 0,0,false, 105711, 0
10,false,0, 0,false, 17.7743, 0,1000000,false, 0, 0, 14.0851,0.9,LH_MCSLOCK,100000000,WAIT_DIE, 33226, 3.99376,1, 4816569,0.5,50000,0.15, 49.1581,0, 5.59596,10,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.977,WR,0,0, 0, 66.5866, 434786, 0,false,WR, 842969, 0,TOP, 0,true,true,481725, 0,0,false, 29523, 949640208
10,false,0, 0,false, 133.084, 0,1000000,false, 0, 0, 2.15397,0.9,LH_MCSLOCK,100000000,WAIT_DIE, 4515564, 1.90853,1, 35444,0.5,50000,0.15, 4.89051,0, 16.3869,100,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.992,WR,0,0, 0, 94.611, 179187, 0,false,WR, 1221605, 0,TOP, 0,true,true,3544.58, 0,0,false, 759169, 6936584
10,false,0, 0,false, 17.1625, 0,1000000,false, 0, 0, 15.3059,0.9,LH_MCSLOCK,100000000,WAIT_DIE, 34663, 3.85025,1, 4617115,0.5,50000,0.15, 51.5923,0, 5.84012,10,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.985,WR,0,0, 0, 63.6876, 417717, 0,false,WR, 808415, 0,TOP, 0,true,true,461753, 0,0,false, 30933, 785948502
10,false,0, 0,false, 133.316, 0,1000000,false, 0, 0, 2.17321,0.9,LH_MCSLOCK,100000000,WAIT_DIE, 4652545, 1.91005,1, 34402,0.5,50000,0.15, 4.84287,0, 16.2804,100,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.99,WR,0,0, 0, 94.527, 173835, 0,false,WR, 1219772, 0,TOP, 0,true,true,3440.42, 0,0,false, 775346, 7177094
10,false,0, 0,false, 19.3785, 0,1000000,false, 0, 0, 20.2938,0.9,LH_MCSLOCK,100000000,WAIT_DIE, 44352, 3.55148,1, 3608519,0.5,50000,0.15, 54.4433,0, 7.31804,10,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.988,WR,0,0, 0, 56.1342, 346965, 0,false,WR, 711170, 0,TOP, 0,true,true,360879, 0,0,false, 38965, 730099045
10,false,0, 0,false, 133.244, 0,1000000,false, 0, 0, 2.13805,0.9,LH_MCSLOCK,100000000,WAIT_DIE, 4472822, 1.91304,1, 35780,0.5,50000,0.15, 4.84563,0, 16.2368,100,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.982,WR,0,0, 0, 94.9053, 180124, 0,false,WR, 1225186, 0,TOP, 0,true,true,3578.39, 0,0,false, 747286, 7512098
10,false,0, 0,false, 41.7313, 0,1000000,false, 0, 0, 9.34989,0.9,LH_MCSLOCK,100000000,NO_WAIT, 29618, 3.41009,1, 5403632,0.5,50000,0.15, 36.9962,0, 0,10,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.983,WR,0,0, 0, 89.6001, 0, 0,false,WR, 1156711, 0,TOP, 0,true,true,540421, 0,0,false, 21883, 0
10,false,0, 0,false, 146.214, 0,1000000,false, 0, 0, 2.85462,0.9,LH_MCSLOCK,100000000,NO_WAIT, 3354948, 2.82196,1, 47707,0.5,50000,0.15, 6.41293,0, 0,100,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.961,WR,0,0, 0, 129.139, 0, 0,false,WR, 1664201, 0,TOP, 0,true,true,4771.88, 0,0,false, 288142, 0
10,false,0, 0,false, 43.0187, 0,1000000,false, 0, 0, 10.7946,0.9,LH_MCSLOCK,100000000,NO_WAIT, 32538, 3.43307,1, 4918790,0.5,50000,0.15, 39.1602,0, 0,10,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.982,WR,0,0, 0, 86.6071, 0, 0,false,WR, 1118286, 0,TOP, 0,true,true,491935, 0,0,false, 23778, 0
10,false,0, 0,false, 146.135, 0,1000000,false, 0, 0, 2.90335,0.9,LH_MCSLOCK,100000000,NO_WAIT, 3372315, 2.82196,1, 47464,0.5,50000,0.15, 6.46335,0, 0,100,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.968,WR,0,0, 0, 128.959, 0, 0,false,WR, 1660943, 0,TOP, 0,true,true,4747.35, 0,0,false, 291442, 0
10,false,0, 0,false, 43.2579, 0,1000000,false, 0, 0, 12.7778,0.9,LH_MCSLOCK,100000000,NO_WAIT, 36891, 3.33074,1, 4338340,0.5,50000,0.15, 41.5882,0, 0,10,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.973,WR,0,0, 0, 83.1646, 0, 0,false,WR, 1071860, 0,TOP, 0,true,true,433907, 0,0,false, 26903, 0
10,false,0, 0,false, 146.245, 0,1000000,false, 0, 0, 2.88004,0.9,LH_MCSLOCK,100000000,NO_WAIT, 3405509, 2.81759,1, 47008,0.5,50000,0.15, 6.42398,0, 0,100,true,0,true,16,0,16,true,0, 0,1, 0,false,YCSB, 159.967,WR,0,0, 0, 128.998, 0, 0,false,WR, 1662442, 0,TOP, 0,true,true,4701.76, 0,0,false, 291915, 0
