ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,1,true,true,TPCC,false, 503, 0, 3892,0,0,0,0, 3892, 0.392151,255004, 0, 0.0261632, 0.00106864, 0, 0, 0.0362874, 0.139271, 0.00205206, 0, 0, 0, 0, 0, 0, 100000, 503, 0
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,2,true,true,TPCC,false, 1553, 0, 8379,0,0,0,0, 8397, 1.67895,236320, 0.00345407, 0.259482, 0.0512935, 0, 0, 0.113124, 1.00988, 0.04346, 0, 0, 0, 0, 0, 0.00294803, 198385, 1053, 5244
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,4,true,true,TPCC,false, 5043, 0, 10058,0,0,0,0, 10126, 3.94357,392472, 0.0264091, 0.869183, 0.326069, 0, 0, 0.228509, 2.36189, 0.247961, 0, 0, 0, 0, 0, 0.0300926, 386935, 1947, 45751
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,8,true,true,TPCC,false, 22056, 0, 16932,0,0,0,0, 17235, 13.7023,461615, 0.240242, 3.94299, 2.21508, 0, 0, 0.511639, 8.37649, 1.41799, 0, 0, 0, 0, 0, 0.322102, 790649, 3985, 241630
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,true,TPCC,false, 75501, 0, 26509,0,0,0,0, 27349, 43.6678,582448, 1.33959, 16.3173, 11.0531, 0, 0, 0.895097, 25.8656, 5.2706, 0, 0, 0, 0, 0, 4.02048, 1589639, 7895, 1074632
50000,4,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,true,TPCC,false, 110181, 0, 24965,0,0,0,0, 25930, 41.16,614350, 1.52825, 13.8283, 9.18604, 0, 0, 0.870355, 22.5588, 7.95376, 0, 0, 0, 0, 0, 2.56385, 1580414, 8005, 965442
50000,12,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,true,TPCC,false, 73262, 0, 28240,0,0,0,0, 29100, 46.3743,547399, 1.37064, 17.4292, 11.712, 0, 0, 0.918836, 27.6374, 5.09983, 0, 0, 0, 0, 0, 4.80137, 1586580, 7942, 1099562
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,32,true,true,TPCC,false, 205038, 0, 64043,0,0,0,0, 66142, 210.31,482352, 6.6804, 113.046, 97.1514, 0, 0, 1.94267, 138.105, 14.8773, 0, 0, 0, 0, 0, 33.9606, 3170112, 15914, 2918403
50000,4,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,32,true,true,TPCC,false, 616230, 0, 50161,0,0,0,0, 55485, 175.801,575203, 16.8361, 73.8153, 60.4866, 0, 0, 1.91189, 95.6599, 46.8763, 0, 0, 0, 0, 0, 11.378, 3160038, 15833, 2702483
50000,16,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,32,true,true,TPCC,false, 240145, 0, 67439,0,0,0,0, 70171, 223.594,454726, 8.70528, 121.532, 104.773, 0, 0, 2.09157, 147.362, 17.5473, 0, 0, 0, 0, 0, 33.9387, 3177319, 15929, 2950977
