ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,32,0.25,True,True,1024*1024*20,16,YCSB,False,0,1217567,0,0,19.098123,16,15,60016,2.360292,0.8367290000000001,0.310674,2.880301,1.799252,6.214079,2.167855,0,0,5.9e-05,161.09426200000001,152281.8241,70.689842,12.740927000000001,2.883987,37.756345,93.49821800000001,0.0,0.080545,1533233,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,32,0.25,True,True,1024*1024*20,32,YCSB,False,0,5518217,0,0,52.503308999999994,32,30,513120,9.991163,9.278588000000001,1.61847,23.871368,6.039729,54.447767000000006,2.355695,0,0,9.9e-05,704.040253,138860.742,401.81429199999997,89.631538,6.790350999999999,127.34679299999999,425.23405,0.0,9.758947000000001,3055111,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,32,0.5,True,True,1024*1024*20,16,YCSB,False,0,2460876,0,0,19.365937,16,15,170357,2.871793,0.959592,0.362363,4.351245,2.405907,6.4079440000000005,2.31535,0,0,6.7e-05,266.145668,94468.62762,160.54386100000002,15.966585,2.86835,31.249205,189.12191299999998,0.0,0.053399,1571401,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,32,0.5,True,True,1024*1024*20,32,YCSB,False,0,9567532,0,0,54.102957999999994,32,31,927245,10.767011,7.992592,1.674764,28.217453999999996,7.498785000000001,26.504872,2.544416,0,0,8.8e-05,987.711654,102251.5423,710.413549,70.85799399999999,4.381643,74.944224,733.754068,0.0,2.723362,3156095,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,32,0.75,True,True,1024*1024*20,16,YCSB,False,0,3514018,0,0,23.414714,16,15,451337,3.7336620000000003,1.2381229999999999,0.43019799999999997,6.8414649999999995,3.0802389999999997,20.806395000000002,2.831611,0,0,6.3e-05,380.468583,65810.51133,281.666252,34.853659,2.8258240000000003,29.221828000000002,269.614479,0.0,0.051437000000000004,1564927,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,32,0.75,True,True,1024*1024*20,32,YCSB,False,0,12170726,0,0,58.09806999999999,32,30,1257945,12.828014999999999,8.088469,1.7601380000000002,33.480239000000005,9.145188000000001,39.999367,2.809414,0,0,8e-05,1231.90379,82056.77162999999,978.4861189999999,94.95936400000001,3.804922,54.914312,933.344877,0.0,2.091661,3158939,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,32,1.0,True,True,1024*1024*20,16,YCSB,False,0,5578338,0,0,25.41079,16,15,908271,5.373284,2.560763,0.5632689999999999,16.291667999999998,4.093436,76.544753,2.823218,0,0,5.2000000000000004e-05,620.241434,40037.44128,539.665475,103.44279300000001,4.250344999999999,30.119358000000002,428.05459800000006,0.0,0.137623,1552055,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.0,True,True,1024*1024*20,16,YCSB,False,0,155930,0,0,13.472024,13,9,16571,0.9953069999999999,2.0107619999999997,0.389377,3.1166,1.098753,5.771422,2.3415,0,0,3.8e-05,66.070803,379286.9322,6.0966949999999995,11.531611,3.574796,29.607157,12.044667,0.0,3.984979,1566237,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.0,True,True,1024*1024*20,32,YCSB,False,0,994530,0,0,44.160090999999994,32,23,115205,8.073751,12.72208,1.647825,20.737177,4.497171,170.762575,2.511532,0,0,0.000126,480.009372,211711.2665,80.619713,199.25711,6.028404,239.11671099999998,77.005976,0.0,68.621581,3175731,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.25,True,True,1024*1024*20,16,YCSB,False,0,525443,0,0,9.957467999999999,15,13,33264,0.771932,0.9164399999999999,0.188709,2.2282189999999997,0.8683569999999999,1.626898,2.506975,0,0,3.2e-05,78.255549,309310.1051,29.75372,6.245133999999999,1.851473,16.25111,40.474996999999995,0.0,0.37159699999999996,1512827,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.25,True,True,1024*1024*20,32,YCSB,False,0,1953432,0,0,35.700265,32,23,201971,5.731033999999999,10.505975999999999,1.376998,19.965783,3.8250830000000002,63.67926,2.534126,0,0,8.499999999999999e-05,416.21754,236572.6731,156.180905,91.211086,3.24074,106.47918600000001,151.660832,0.0,47.1575,3077053,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.5,True,True,1024*1024*20,16,YCSB,False,0,1543974,0,0,11.113793,16,15,92944,1.2500879999999999,1.031988,0.21584899999999999,3.4278779999999998,1.217949,4.545198,2.251517,0,0,4.3e-05,165.217124,151983.4715,98.47454,11.029542999999999,1.825834,14.627792999999999,118.472826,0.0,0.10215700000000001,1569392,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.5,True,True,1024*1024*20,32,YCSB,False,0,5738191,0,0,30.572167999999998,32,27,538815,4.8902790000000005,6.894153,1.1244020000000001,19.204655,4.2117629999999995,12.097619,2.398925,0,0,5.9e-05,599.703199,167280.6684,414.654298,41.022457,2.8027490000000004,30.855528000000003,444.223829,0.0,4.323705,3134961,,,,,,,,,,,,,,,,,
