ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 8, 0, 19948,0,0,0,0, 19948, 30.6314,802077, 9.6937e-05, 1.54231, 0.023113, 0, 0, 2.35992, 17.6051, 0.0353285, 0, 0, 0, 0, 0, 0.000117522, 1535549, 0, 146
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.7, 360, 0, 25385,0,0,0,0, 25405, 37.6433,629775, 0.0307109, 2.32522, 0.527085, 0, 0, 4.09332, 22.5134, 0.0667729, 0, 0, 0, 0, 0, 0.203959, 1481674, 0, 1202
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.7, 353, 0, 25530,0,0,0,0, 25535, 37.8043,626572, 0.00709168, 2.67262, 0.825834, 0, 0, 4.1282, 22.9547, 0.0665505, 0, 0, 0, 0, 0, 0.00163246, 1480447, 0, 1176
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 15204, 0, 18035,0,0,0,0, 18187, 27.5697,879814, 0.227177, 2.2345, 0.419929, 0, 0, 2.05915, 15.336, 1.21499, 0, 0, 0, 0, 0, 0.014743, 1516011, 0, 13019
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 15090, 0, 20477,0,0,0,0, 20650, 31.3893,774860, 0.260388, 2.65008, 0.6981, 0, 0, 2.48393, 18.4877, 1.21082, 0, 0, 0, 0, 0, 0.028052, 1520145, 0, 12792
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.9, 174502, 0, 27237,0,0,0,0, 30137, 46.3733,531077, 4.4488, 5.37225, 2.53565, 0, 0, 2.36575, 19.742, 13.531, 0, 0, 0, 0, 0, 0.137604, 1539237, 0, 73271
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.9, 171371, 0, 24195,0,0,0,0, 26727, 41.678,598831, 3.93549, 4.69536, 2.00668, 0, 0, 1.65676, 16.833, 13.2825, 0, 0, 0, 0, 0, 0.203844, 1559881, 0, 73864
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 548274, 0, 36578,0,0,0,0, 49489, 77.9255,323473, 20.2994, 8.68176, 4.92459, 0, 0, 2.11846, 18.9097, 42.3245, 0, 0, 0, 0, 0, 0.530999, 1575423, 0, 165280
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 509624, 0, 33154,0,0,0,0, 43830, 68.4258,365289, 16.6314, 6.91427, 3.1494, 0, 0, 1.563, 15.6214, 39.4733, 0, 0, 0, 0, 0, 0.306629, 1562199, 0, 177259
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.5, 0, 0, 19369,0,0,0,0, 19369, 30.3345,826032, 0, 1.51262, 0.0175914, 0, 0, 2.25402, 16.8941, 0.0334444, 0, 0, 0, 0, 0, 2.5481e-05, 1566078, 0, 33
