ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,4,true,WAIT_DIE,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 3261, 0, 18607,0,0,0,0, 18623, 29.2736,859165, 0.0247001, 1.04104, 0, 0, 0, 2.04339, 16.624, 0.47978, 0, 0, 0, 0, 173858521, 0.0146544, 1571928, 0, 1657
50000,4,true,WAIT_DIE,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 173437, 0, 23417,0,0,0,0, 24988, 39.1385,640513, 2.44772, 1.33146, 0, 0, 0, 2.31148, 13.6145, 13.6026, 0, 0, 0, 0, 147930530, 0.8267, 1566796, 0, 93135
50000,4,true,WAIT_DIE,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 1278216, 0, 54066,0,0,0,0, 80463, 127.666,198939, 41.8427, 2.24169, 0, 0, 0, 1.69459, 10.2727, 98.7117, 0, 0, 0, 0, 139664283, 5.98005, 1587368, 0, 756040
50000,4,true,NO_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 4931, 0, 20901,0,0,0,0, 20944, 32.3599,763939, 0.0661939, 1.09801, 0, 0, 0, 3.47186, 18.1832, 0.423612, 0, 0, 0, 0, 0, 0, 1545062, 0, 0
50000,4,true,NO_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 268103, 0, 25377,0,0,0,0, 31423, 48.9034,509344, 9.39616, 1.37048, 0, 0, 0, 2.24769, 15.8893, 20.7302, 0, 0, 0, 0, 0, 0, 1556789, 0, 0
50000,4,true,NO_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 1711292, 0, 41157,0,0,0,0, 98415, 155.602,162661, 90.4955, 2.1315, 0, 0, 0, 1.84876, 10.8783, 132.104, 0, 0, 0, 0, 0, 0, 1581895, 0, 0
50000,4,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 1497, 0, 21394,0,0,0,0, 21407, 31.972,747404, 0.0190703, 1.36676, 0, 0, 0, 3.14855, 18.6055, 0.153399, 0, 0, 0, 0, 189425293, 0.0603147, 1493501, 0, 3175
50000,4,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 69258, 0, 21713,0,0,0,0, 22677, 35.3889,705644, 1.50037, 1.68803, 0, 0, 0, 2.37351, 15.3894, 5.3951, 0, 0, 0, 0, 190150275, 3.11239, 1560750, 0, 232385
50000,4,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 669919, 0, 46384,0,0,0,0, 65686, 103.55,243662, 30.4034, 2.92079, 0, 0, 0, 1.8445, 11.7948, 51.6324, 0, 0, 0, 0, 204922320, 22.4724, 1576957, 0, 2081639
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 7, 0, 22888,0,0,0,0, 22888, 35.0861,699033, 0.000115785, 1.70005, 0.0496695, 0, 0, 3.4823, 20.1938, 0.0392726, 0, 0, 0, 0, 0, 0.000109088, 1532894, 0, 117
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 6, 0, 20692,0,0,0,0, 20692, 32.083,773228, 9.0212e-05, 1.66148, 0.107261, 0, 0, 2.5442, 18.7542, 0.0372957, 0, 0, 0, 0, 0, 6.8036e-05, 1550467, 0, 103
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 15221, 0, 20520,0,0,0,0, 20721, 31.5384,772221, 0.303602, 2.78322, 0.849487, 0, 0, 2.48876, 17.9125, 1.22441, 0, 0, 0, 0, 0, 0.00879595, 1522163, 0, 10461
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 15318, 0, 20038,0,0,0,0, 20205, 30.9621,791923, 0.25389, 2.47438, 0.635218, 0, 0, 2.34519, 18.0097, 1.23144, 0, 0, 0, 0, 0, 0.00668862, 1532476, 0, 9129
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 560926, 0, 38368,0,0,0,0, 51863, 80.4716,308680, 20.9052, 9.97656, 5.70811, 0, 0, 1.97133, 20.491, 43.4347, 0, 0, 0, 0, 0, 0.0790763, 1552496, 0, 139571
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 523186, 0, 34098,0,0,0,0, 45325, 71.5675,353177, 17.7005, 8.01696, 4.50687, 0, 0, 1.9144, 17.0419, 40.3704, 0, 0, 0, 0, 0, 0.0837392, 1579747, 0, 115949
50000,4,true,SILO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 3079, 0, 18752,0,0,0,0, 18806, 28.8879,850777, 0.0825709, 1.47231, 0, 0, 0, 3.28664, 12.1417, 0.282557, 0, 0, 0, 0, 0, 0, 1536074, 0, 0
50000,4,true,SILO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 138846, 0, 20352,0,0,0,0, 22121, 34.3612,723359, 2.74403, 1.65807, 0, 0, 0, 2.24092, 9.36872, 10.7616, 0, 0, 0, 0, 0, 0, 1553469, 0, 0
50000,4,true,SILO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 763130, 0, 36833,0,0,0,0, 49591, 77.2608,322841, 19.8398, 2.05969, 0, 0, 0, 1.2328, 4.86596, 59.1439, 0, 0, 0, 0, 0, 0, 1558935, 0, 0
50000,4,true,WAIT_DIE,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 3399, 0, 20753,0,0,0,0, 20780, 31.6833,769979, 0.0397409, 1.08452, 0, 0, 0, 3.10772, 17.8191, 0.506762, 0, 0, 0, 0, 186724258, 0.0157208, 1524720, 0, 1534
50000,4,true,WAIT_DIE,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 178863, 0, 24982,0,0,0,0, 26734, 41.5334,598675, 2.70891, 1.39006, 0, 0, 0, 2.23421, 14.7715, 14.095, 0, 0, 0, 0, 185940896, 0.899827, 1554064, 0, 95671
50000,4,true,WAIT_DIE,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 1244788, 0, 52738,0,0,0,0, 78212, 124.65,204654, 40.5647, 2.06992, 0, 0, 0, 1.53302, 10.054, 95.9664, 0, 0, 0, 0, 121805330, 6.11773, 1594383, 0, 736314
50000,4,true,NO_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 4950, 0, 16846,0,0,0,0, 16883, 26.4856,947691, 0.0576353, 0.992347, 0, 0, 0, 1.74272, 14.9624, 0.420472, 0, 0, 0, 0, 0, 0, 1568763, 0, 0
50000,4,true,NO_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 266966, 0, 24947,0,0,0,0, 30867, 48.4738,518509, 9.28463, 1.3358, 0, 0, 0, 2.40651, 15.5245, 20.6691, 0, 0, 0, 0, 0, 0, 1570883, 0, 0
50000,4,true,NO_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 1571314, 0, 38776,0,0,0,0, 89359, 141.193,179133, 79.8964, 1.96956, 0, 0, 0, 1.61512, 9.26747, 120.931, 0, 0, 0, 0, 0, 0, 1580780, 0, 0
50000,4,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 1556, 0, 17490,0,0,0,0, 17502, 26.6485,914146, 0.0178304, 1.25887, 0, 0, 0, 1.93263, 14.8227, 0.156791, 0, 0, 0, 0, 172101391, 0.0171442, 1522538, 0, 3270
50000,4,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 68217, 0, 22542,0,0,0,0, 23489, 36.3161,681246, 1.45905, 1.7519, 0, 0, 0, 2.63299, 16.2973, 5.314, 0, 0, 0, 0, 212187083, 2.85668, 1546262, 0, 230585
50000,4,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 654943, 0, 43830,0,0,0,0, 61697, 97.4937,259412, 28.2108, 2.73983, 0, 0, 0, 1.65792, 11.0674, 50.4032, 0, 0, 0, 0, 183208618, 20.0572, 1580691, 0, 2036620
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 7, 0, 18737,0,0,0,0, 18737, 28.5258,853896, 0.000119145, 1.48815, 0.0255731, 0, 0, 2.04004, 15.71, 0.035289, 0, 0, 0, 0, 0, 8.9627e-05, 1522379, 0, 112
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 8, 0, 20628,0,0,0,0, 20630, 31.3773,775566, 0.00177637, 1.5444, 0.0300284, 0, 0, 2.51544, 17.664, 0.0368925, 0, 0, 0, 0, 0, 0.000108709, 1520951, 0, 118
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 15362, 0, 17763,0,0,0,0, 17914, 27.3149,893200, 0.228423, 2.14681, 0.416942, 0, 0, 1.81563, 15.2375, 1.22872, 0, 0, 0, 0, 0, 0.00815183, 1524856, 0, 10964
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 14890, 0, 24852,0,0,0,0, 25093, 37.5991,637675, 0.357568, 3.44889, 1.3787, 0, 0, 3.57394, 22.5325, 1.20731, 0, 0, 0, 0, 0, 0.00867509, 1498500, 0, 9419
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 539244, 0, 35434,0,0,0,0, 47135, 74.3455,339611, 18.4285, 8.68552, 4.92962, 0, 0, 1.89261, 18.1352, 41.6423, 0, 0, 0, 0, 0, 0.0605757, 1578036, 0, 123888
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 529662, 0, 33912,0,0,0,0, 45047, 71.334,355343, 17.6088, 7.65283, 4.2336, 0, 0, 1.74169, 16.4744, 40.846, 0, 0, 0, 0, 0, 0.0522761, 1584252, 0, 113982
50000,4,true,SILO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 3112, 0, 19087,0,0,0,0, 19129, 29.1554,836410, 0.0637691, 1.49381, 0, 0, 0, 3.28124, 12.9924, 0.285592, 0, 0, 0, 0, 0, 0, 1524118, 0, 0
