IC3_EAGER_EXEC,cycle_detect,cascading_abort_times,IC3_FIELD_LOCKING,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,IC3_RENDEZVOUS,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
true,0, 0,false, 0.39687, 0,100000,false, 3953,0.5, 0, 0.146934,0,LH_MCSLOCK,50000,IC3,2, 7742, 0.649211,TPCC, 785637, 1.16969,false, 0.115626,true,0,true,true,true,8,true,0, 0, 0, 6.10291,0, 0, 0.0469127, 0, 0, 7736, 4361, 0.00797494, 0,true,true,1.02985e+06, 0, 0
true,0, 0,false, 0.122497, 0,100000,false, 3778,0.5, 0, 0.140267,0,LH_MCSLOCK,50000,IC3,4, 6844, 0.51874,TPCC, 743111, 0.876947,false, 0.0494842,true,0,true,true,true,8,true,0, 0, 0, 5.10241,0, 0, 0.0224034, 0, 0, 6842, 3888, 0.00665704, 0,true,true,1.16511e+06, 0, 0
true,0, 0,false, 0.0201193, 0,100000,false, 3461,0.5, 0, 0.300406,0,LH_MCSLOCK,50000,IC3,8, 7883, 0.41466,TPCC, 703071, 1.05934,false, 0.0255402,true,0,true,true,true,8,true,0, 0, 0, 5.55916,0, 0, 0.0134423, 0, 0, 7883, 3461, 0.00572809, 0,true,true,1.01177e+06, 0, 0
true,0, 0,false, 0.0184237, 0,100000,false, 3582,0.5, 0, 0.48894,0,LH_MCSLOCK,50000,IC3,16, 8566, 0.443824,TPCC, 721648, 1.29641,false, 0.0278529,true,0,true,true,true,8,true,0, 0, 0, 6.19852,0, 0, 0.0141786, 0, 0, 8566, 3582, 0.00594347, 0,true,true,931382, 0, 0
true,0, 0,false, 3.86404, 0,100000,false, 7515,0.5, 0, 0.448247,0,LH_MCSLOCK,50000,IC3,1, 9770, 1.90496,TPCC, 1521330, 2.74776,false, 1.04636,true,0,true,true,true,16,true,0, 0, 0, 14.9099,0, 0, 0.593308, 0, 0, 9699, 14689, 0.0344822, 0,true,true,1.63256e+06, 0, 0
true,0, 0,false, 1.70919, 0,100000,false, 7241,0.5, 0, 0.385221,0,LH_MCSLOCK,50000,IC3,2, 8927, 1.48275,TPCC, 1441418, 2.38561,false, 0.506063,true,0,true,true,true,16,true,0, 0, 0, 12.9112,0, 0, 0.217609, 0, 0, 8902, 9633, 0.0218002, 0,true,true,1.78625e+06, 0, 0
true,0, 0,false, 0.722706, 0,100000,false, 7359,0.5, 0, 0.356142,0,LH_MCSLOCK,50000,IC3,4, 7732, 1.21707,TPCC, 1463369, 1.96519,false, 0.231224,true,0,true,true,true,16,true,0, 0, 0, 11.3519,0, 0, 0.0896134, 0, 0, 7725, 8128, 0.0161186, 0,true,true,2.06255e+06, 0, 0
true,0, 0,false, 0.321886, 0,100000,false, 7261,0.5, 0, 0.657568,0,LH_MCSLOCK,50000,IC3,8, 8036, 1.06965,TPCC, 1421143, 2.02403,false, 0.108402,true,0,true,true,true,16,true,0, 0, 0, 11.4552,0, 0, 0.0442825, 0, 0, 8034, 7468, 0.0134436, 0,true,true,1.98497e+06, 0, 0
true,0, 0,false, 0.0457945, 0,100000,false, 6413,0.5, 0, 1.12836,0,LH_MCSLOCK,50000,IC3,16, 10124, 0.918584,TPCC, 1277833, 3.42658,false, 0.0535318,true,0,true,true,true,16,true,0, 0, 0, 12.9721,0, 0, 0.0283415, 0, 0, 10124, 6413, 0.0111308, 0,true,true,1.5761e+06, 0, 0
true,0, 0,false, 18.9933, 0,100000,false, 15651,0.5, 0, 0.970713,0,LH_MCSLOCK,50000,IC3,1, 13947, 6.72788,TPCC, 3075227, 6.66058,false, 5.49503,true,0,true,true,true,32,true,0, 0, 0, 43.0138,0, 0, 3.90537, 0, 0, 13640, 65042, 0.123081, 0,true,true,2.28781e+06, 0, 0
true,0, 0,false, 10.3504, 0,100000,false, 15094,0.5, 0, 1.12234,0,LH_MCSLOCK,50000,IC3,2, 11521, 4.47823,TPCC, 3017398, 6.47764,false, 2.75336,true,0,true,true,true,32,true,0, 0, 0, 34.8694,0, 0, 1.12478, 0, 0, 11443, 28523, 0.0690715, 0,true,true,2.7691e+06, 0, 0
true,0, 0,false, 4.47679, 0,100000,false, 14352,0.5, 0, 1.05414,0,LH_MCSLOCK,50000,IC3,4, 10173, 3.22866,TPCC, 2836533, 5.95599,false, 1.2509,true,0,true,true,true,32,true,0, 0, 0, 28.9491,0, 0, 0.398807, 0, 0, 10149, 18620, 0.041246, 0,true,true,3.13547e+06, 0, 0
true,0, 0,false, 2.64879, 0,100000,false, 13575,0.5, 0, 2.0878,0,LH_MCSLOCK,50000,IC3,8, 12332, 3.26765,TPCC, 2726184, 7.61382,false, 0.895116,true,0,true,true,true,32,true,0, 0, 0, 33.722,0, 0, 0.170475, 0, 0, 12322, 14819, 0.0308506, 0,true,true,2.58697e+06, 0, 0
true,0, 0,false, 0.805398, 0,100000,false, 12686,0.5, 0, 2.01858,0,LH_MCSLOCK,50000,IC3,16, 9774, 1.99239,TPCC, 2512031, 4.49393,false, 0.222801,true,0,true,true,true,32,true,0, 0, 0, 24.6203,0, 0, 0.0718517, 0, 0, 9772, 12963, 0.0225078, 0,true,true,3.26499e+06, 0, 0
true,0, 0,false, 0.00315536, 0,100000,false, 503,0.5, 0, 0.0549479,0,LH_MCSLOCK,50000,BAMBOO,1, 4514, 0.0244629,TPCC, 100000, 0.135582,false, 0,true,0,true,true,true,1,true,0, 0, 0, 0.45464,0, 0, 0.00182781, 0, 0, 4514, 503, 0.00089878, 0,true,true,219954, 0, 0
true,0, 0,false, 0.00308173, 0,100000,false, 485,0.5, 0, 0.0546182,0,LH_MCSLOCK,50000,BAMBOO,2, 4574, 0.0241994,TPCC, 100000, 0.136623,false, 0,true,0,true,true,true,1,true,0, 0, 0, 0.460578,0, 0, 0.00178404, 0, 0, 4574, 485, 0.00088011, 0,true,true,217119, 0, 0
true,0, 0,false, 0.00449961, 0,100000,false, 514,0.5, 0, 0.0791383,0,LH_MCSLOCK,50000,BAMBOO,4, 6104, 0.0261787,TPCC, 100000, 0.198131,false, 0,true,0,true,true,true,1,true,0, 0, 0, 0.614902,0, 0, 0.00186971, 0, 0, 6104, 514, 0.000875131, 0,true,true,162628, 0, 0
true,0, 0,false, 0.00547697, 0,100000,false, 524,0.5, 0, 0.0906096,0,LH_MCSLOCK,50000,BAMBOO,8, 6851, 0.027152,TPCC, 100000, 0.22192,false, 0,true,0,true,true,true,1,true,0, 0, 0, 0.690623,0, 0, 0.00179217, 0, 0, 6851, 524, 0.000869037, 0,true,true,144797, 0, 0
true,0, 0,false, 0.0060833, 0,100000,false, 522,0.5, 0, 0.108522,0,LH_MCSLOCK,50000,BAMBOO,16, 8032, 0.028737,TPCC, 100000, 0.225847,false, 0,true,0,true,true,true,1,true,0, 0, 0, 0.809378,0, 0, 0.00196628, 0, 0, 8032, 522, 0.0009612, 0,true,true,123552, 0, 0
true,0, 0,false, 0.0150034, 0,100000,false, 944,0.5, 0, 0.121383,0,LH_MCSLOCK,50000,BAMBOO,1, 9428, 0.285867,TPCC, 195015, 1.11937,false, 9.8854e-05,true,0,true,true,true,2,true,0, 0, 0, 1.85166,0, 0, 0.0168794, 121, 0, 9418, 1117, 0.0542461, 0,true,true,210638, 0, 0
true,0, 0,false, 0.0119184, 0,100000,false, 1003,0.5, 0, 0.118688,0,LH_MCSLOCK,50000,BAMBOO,2, 7764, 0.137768,TPCC, 193767, 0.821053,false, 9.32e-07,true,0,true,true,true,2,true,0, 0, 0, 1.51633,0, 0, 0.00326859, 1, 0, 7764, 1003, 0.00171861, 0,true,true,255573, 0, 0
true,0, 0,false, 0.0114698, 0,100000,false, 1049,0.5, 0, 0.116567,0,LH_MCSLOCK,50000,BAMBOO,4, 7224, 0.148009,TPCC, 196316, 0.742799,false, 0,true,0,true,true,true,2,true,0, 0, 0, 1.42965,0, 0, 0.00338978, 0, 0, 7223, 1050, 0.00169487, 0,true,true,274636, 0, 0
true,0, 0,false, 0.0121412, 0,100000,false, 979,0.5, 0, 0.128493,0,LH_MCSLOCK,50000,BAMBOO,8, 8329, 0.139951,TPCC, 193943, 0.836085,false, 0,true,0,true,true,true,2,true,0, 0, 0, 1.62769,0, 0, 0.0033297, 0, 0, 8329, 979, 0.00168957, 0,true,true,238305, 0, 0
true,0, 0,false, 0.0145287, 0,100000,false, 921,0.5, 0, 0.220916,0,LH_MCSLOCK,50000,BAMBOO,16, 10017, 0.134695,TPCC, 179718, 0.854467,false, 0,true,0,true,true,true,2,true,0, 0, 0, 1.81485,0, 0, 0.0032483, 0, 0, 10017, 921, 0.00164064, 0,true,true,198053, 0, 0
true,0, 0,false, 0.049648, 0,100000,false, 2015,0.5, 0, 0.238143,0,LH_MCSLOCK,50000,BAMBOO,1, 10454, 0.794659,TPCC, 390236, 2.48419,false, 0.00073308,true,0,true,true,true,4,true,0, 0, 0, 4.1086,0, 0, 0.138568, 1293, 0, 10401, 3700, 0.267224, 0,true,true,379921, 0, 0
true,0, 0,false, 0.0313762, 0,100000,false, 1912,0.5, 0, 0.240207,0,LH_MCSLOCK,50000,BAMBOO,2, 9774, 0.567919,TPCC, 382577, 2.20931,false, 0.000233815,true,0,true,true,true,4,true,0, 0, 0, 3.76702,0, 0, 0.0333511, 277, 0, 9764, 2253, 0.106289, 0,true,true,406238, 0, 0
true,0, 0,false, 0.0219057, 0,100000,false, 1809,0.5, 0, 0.223072,0,LH_MCSLOCK,50000,BAMBOO,4, 8034, 0.269172,TPCC, 365370, 1.5549,false, 1.876e-06,true,0,true,true,true,4,true,0, 0, 0, 2.95747,0, 0, 0.00658025, 2, 0, 8034, 1810, 0.00337165, 0,true,true,494165, 0, 0
true,0, 0,false, 0.0244728, 0,100000,false, 1879,0.5, 0, 0.256112,0,LH_MCSLOCK,50000,BAMBOO,8, 8805, 0.287276,TPCC, 386379, 1.71345,false, 0,true,0,true,true,true,4,true,0, 0, 0, 3.42665,0, 0, 0.00686138, 0, 0, 8805, 1879, 0.00352864, 0,true,true,451028, 0, 0
true,0, 0,false, 0.0279195, 0,100000,false, 1812,0.5, 0, 0.441002,0,LH_MCSLOCK,50000,BAMBOO,16, 9749, 0.275766,TPCC, 357683, 1.74527,false, 0,true,0,true,true,true,4,true,0, 0, 0, 3.51507,0, 0, 0.00660177, 0, 0, 9749, 1812, 0.00335189, 0,true,true,407028, 0, 0
true,0, 0,false, 0.206331, 0,100000,false, 4043,0.5, 0, 0.498672,0,LH_MCSLOCK,50000,BAMBOO,1, 13699, 2.63979,TPCC, 786028, 6.86373,false, 0.00433269,true,0,true,true,true,8,true,0, 0, 0, 10.8363,0, 0, 0.744951, 6872, 0, 13523, 13443, 1.09461, 0,true,true,580290, 0, 0
true,0, 0,false, 0.105339, 0,100000,false, 3881,0.5, 0, 0.478265,0,LH_MCSLOCK,50000,BAMBOO,2, 11389, 1.62404,TPCC, 759524, 5.33174,false, 0.00142422,true,0,true,true,true,8,true,0, 0, 0, 8.71081,0, 0, 0.276083, 2512, 0, 11330, 7245, 0.576851, 0,true,true,697546, 0, 0
true,0, 0,false, 0.0571884, 0,100000,false, 3578,0.5, 0, 0.434305,0,LH_MCSLOCK,50000,BAMBOO,4, 9672, 0.963258,TPCC, 698790, 3.81872,false, 0.000221653,true,0,true,true,true,8,true,0, 0, 0, 6.80932,0, 0, 0.0625087, 342, 0, 9662, 4209, 0.183821, 0,true,true,820981, 0, 0
true,0, 0,false, 0.0558185, 0,100000,false, 3729,0.5, 0, 0.530334,0,LH_MCSLOCK,50000,BAMBOO,8, 9968, 0.631167,TPCC, 735126, 3.78449,false, 1.2397e-05,true,0,true,true,true,8,true,0, 0, 0, 7.3838,0, 0, 0.0139876, 7, 0, 9968, 3729, 0.00713821, 0,true,true,796474, 0, 0
true,0, 0,false, 0.0573041, 0,100000,false, 3505,0.5, 0, 0.857364,0,LH_MCSLOCK,50000,BAMBOO,16, 10969, 0.592846,TPCC, 697440, 3.89477,false, 1.347e-06,true,0,true,true,true,8,true,0, 0, 0, 7.7082,0, 0, 0.0141385, 2, 0, 10969, 3505, 0.00690856, 0,true,true,723842, 0, 0
true,0, 0,false, 0.900026, 0,100000,false, 7852,0.5, 0, 1.01394,0,LH_MCSLOCK,50000,BAMBOO,1, 18578, 8.58896,TPCC, 1550567, 18.4125,false, 0.0234996,true,0,true,true,true,16,true,0, 0, 0, 28.9694,0, 0, 3.15164, 32753, 0, 18102, 48156, 3.89465, 0,true,true,856388, 0, 0
true,0, 0,false, 0.385605, 0,100000,false, 7499,0.5, 0, 0.924119,0,LH_MCSLOCK,50000,BAMBOO,2, 13371, 4.68772,TPCC, 1483203, 11.9281,false, 0.00748047,true,0,true,true,true,16,true,0, 0, 0, 19.9579,0, 0, 1.4544, 12231, 0, 13195, 25840, 2.14406, 0,true,true,1.18907e+06, 0, 0
true,0, 0,false, 0.21337, 0,100000,false, 7387,0.5, 0, 0.904021,0,LH_MCSLOCK,50000,BAMBOO,4, 12025, 3.19911,TPCC, 1435128, 10.3427,false, 0.00275536,true,0,true,true,true,16,true,0, 0, 0, 17.3794,0, 0, 0.540985, 4500, 0, 11961, 13945, 1.14451, 0,true,true,1.32122e+06, 0, 0
