ABORT_PENALTY,BB_OPT_RAW,CC_ALG,COMMUTATIVE_OPS,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,4,0.5,true,8,true,TPCC,false, 3936, 8888,0,0,0,0, 8891, 6.78824,892546, 0.00212869, 0.75732, 0.0144365, 0.159509, 2.30408, 0.492702, 3.9272, 0.0295019, 0.114806, 0.393869, 0.0801687, 0.115761, 0, 2.074e-05, 757352, 3787, 38
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,8,0.5,true,8,true,TPCC,false, 3873, 8589,0,0,0,0, 8589, 6.60416,923765, 5.3517e-05, 0.605323, 0.00828713, 0.148737, 2.19875, 0.522703, 3.58821, 0.0155013, 0.0976715, 0.285402, 0.0750625, 0.110412, 0, 4.298e-06, 762586, 3869, 6
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,1,0.5,true,16,true,TPCC,false, 7936, 22356,0,0,0,0, 22391, 28.6284,710311, 0.0443884, 9.97191, 0.0765856, 0.326039, 11.1119, 0.647952, 23.5072, 0.17203, 0.256281, 9.12923, 0.147795, 0.207266, 0, 0.000258183, 1270943, 6158, 346
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,2,0.5,true,16,true,TPCC,false, 10335, 8929,0,0,0,0, 8956, 13.3689,1.77242e+06, 0.0411683, 2.09602, 0.0738729, 0.334448, 4.21092, 0.816475, 8.27761, 0.261342, 0.246234, 1.26563, 0.151379, 0.2238, 0, 0.000246397, 1480958, 7440, 373
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,4,0.5,true,16,true,TPCC,false, 9079, 9016,0,0,0,0, 9030, 13.8449,1.75762e+06, 0.0217437, 1.62665, 0.0459564, 0.312137, 4.60907, 0.93602, 7.90896, 0.15047, 0.232031, 0.887706, 0.146579, 0.219328, 0, 0.000132552, 1520878, 7605, 231
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,8,0.5,true,16,true,TPCC,false, 8036, 9663,0,0,0,0, 9668, 14.5613,1.64157e+06, 0.00799776, 1.51607, 0.0292141, 0.315341, 4.80123, 1.16359, 8.0451, 0.0759986, 0.225739, 0.792351, 0.158072, 0.229035, 0, 7.4765e-05, 1493963, 7506, 107
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,1,0.5,true,32,true,TPCC,false, 9761, 80447,0,0,0,0, 80548, 138.597,395096, 0.173758, 63.7574, 0.320792, 0.429349, 60.133, 1.42901, 128.399, 0.384087, 0.338851, 62.307, 0.235166, 0.316056, 0, 0.00157798, 1711227, 8683, 547
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,2,0.5,true,32,true,TPCC,false, 24260, 16904,0,0,0,0, 17018, 43.0151,1.86714e+06, 0.285098, 10.6231, 0.562355, 0.740246, 13.3237, 2.08339, 30.0779, 1.03408, 0.721271, 8.16854, 0.497661, 0.474914, 0, 0.00208069, 2509855, 12879, 1920
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,4,0.5,true,32,true,TPCC,false, 24387, 14173,0,0,0,0, 14398, 40.3279,2.20491e+06, 0.626549, 5.95674, 0.754246, 0.76805, 10.0987, 3.01416, 22.7286, 0.924711, 0.727819, 3.26927, 0.502741, 0.481337, 0, 0.0011676, 2778735, 14041, 1547
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,8,0.5,true,32,true,TPCC,false, 19391, 13590,0,0,0,0, 13629, 39.0024,2.32994e+06, 0.112457, 4.44455, 0.191544, 0.725378, 10.2238, 4.16517, 21.9639, 0.523418, 0.667452, 2.45177, 0.485635, 0.483951, 0, 0.000776843, 2839789, 14164, 707
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,1,0.5,true,1,true,TPCC,false, 503, 5025,0,0,0,0, 5025, 0.506503,197432, 0, 0.0587853, 0.00106861, 0.0191409, 0.114238, 0.0580905, 0.28282, 0.00196366, 0.0174736, 0.0145453, 0, 0, 0, 0, 100000, 503, 0
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,2,0.5,true,1,true,TPCC,false, 524, 5422,0,0,0,0, 5422, 0.546561,182962, 0, 0.0624227, 0.00106068, 0.0192483, 0.119949, 0.0600901, 0.303615, 0.00195766, 0.0210025, 0.0144894, 0, 0, 0, 0, 100000, 524, 0
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,4,0.5,true,1,true,TPCC,false, 485, 5779,0,0,0,0, 5779, 0.582183,171767, 0, 0.0590272, 0.00107527, 0.0192128, 0.147481, 0.0710141, 0.303386, 0.00195834, 0.0175226, 0.0145992, 0, 0, 0, 0, 100000, 485, 0
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,8,0.5,true,1,true,TPCC,false, 499, 7004,0,0,0,0, 7004, 0.705394,141765, 0, 0.0623557, 0.00109532, 0.0202787, 0.135676, 0.0841754, 0.35006, 0.00200787, 0.0197086, 0.0151192, 0, 0, 0, 0, 100000, 499, 0
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,1,0.5,true,2,true,TPCC,false, 1402, 8366,0,0,0,0, 8381, 1.67452,236823, 0.00290679, 0.253527, 0.0529978, 0.0648266, 0.485823, 0.109716, 1.01635, 0.0360268, 0.0380619, 0.105189, 0.0249467, 0.0482569, 0, 0.00274333, 198283, 1000, 4052
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,2,0.5,true,2,true,TPCC,false, 930, 6991,0,0,0,0, 6991, 1.38174,283921, 0, 0.146154, 0.00209821, 0.0383753, 0.390086, 0.104963, 0.754783, 0.00434867, 0.0269392, 0.0664123, 0.0224534, 0.0386044, 0, 0, 196152, 930, 0
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,4,0.5,true,2,true,TPCC,false, 930, 7319,0,0,0,0, 7319, 1.43404,271179, 0, 0.150874, 0.00207652, 0.0374483, 0.429493, 0.107717, 0.778509, 0.00428271, 0.0267319, 0.0717767, 0.0222066, 0.0387669, 0, 0, 194441, 930, 0
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,8,0.5,true,2,true,TPCC,false, 947, 7266,0,0,0,0, 7266, 1.3733,273099, 0, 0.141387, 0.00201419, 0.0362837, 0.39142, 0.11154, 0.711857, 0.0041827, 0.0261362, 0.0640997, 0.0220013, 0.0371595, 0, 6.43e-07, 187524, 947, 1
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,1,0.5,true,4,true,TPCC,false, 5285, 10278,0,0,0,0, 10346, 4.09736,383929, 0.0268302, 0.874706, 0.33231, 0.17266, 1.07756, 0.223478, 2.46934, 0.262829, 0.112045, 0.311172, 0.0623041, 0.144744, 0, 0.0304958, 393274, 2009, 30173
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,2,0.5,true,4,true,TPCC,false, 3275, 8431,0,0,0,0, 8460, 3.14061,469184, 0.0109123, 0.452795, 0.0902353, 0.113358, 0.903099, 0.209473, 1.76477, 0.116513, 0.0700617, 0.187916, 0.0459213, 0.0841335, 0, 0.00347257, 368381, 1884, 5632
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,4,0.5,true,4,true,TPCC,false, 1920, 7758,0,0,0,0, 7758, 3.09839,511681, 0, 0.310233, 0.00427094, 0.0758357, 0.965117, 0.219839, 1.648, 0.00872983, 0.0547095, 0.148466, 0.0454719, 0.0802227, 0, 1.237e-06, 396347, 1920, 2
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,8,0.5,true,4,true,TPCC,false, 1915, 8231,0,0,0,0, 8231, 3.17637,482087, 0, 0.288748, 0.00410388, 0.0735947, 1.05547, 0.2518, 1.72408, 0.00847541, 0.0531364, 0.131927, 0.0445431, 0.0755069, 0, 0, 382821, 1915, 0
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,1,0.5,true,8,true,TPCC,false, 20217, 18536,0,0,0,0, 18824, 14.8261,422540, 0.2304, 4.33587, 2.19001, 0.628541, 3.22649, 0.509016, 9.261, 1.28757, 0.390249, 1.48552, 0.191386, 0.646751, 0, 0.698006, 783079, 3869, 243811
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,2,0.5,true,8,true,TPCC,false, 13346, 11219,0,0,0,0, 11321, 8.84917,701859, 0.0790943, 1.73297, 0.714642, 0.328395, 2.22517, 0.467543, 5.17316, 0.746664, 0.211658, 0.567273, 0.119724, 0.23972, 0, 0.045272, 776359, 3994, 50059
