ABORT_PENALTY,ASYNC_RETIRE,CC_ALG,CLV_RETIRE_ON,CPU_FREQ,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,MAX_SERVER_THDS,MAX_TXN_PER_PART,MODE,NUM_HS,POS_HS,PRIORITIZE_HS,READ_PERC,REQ_PER_QUERY,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THINKING_TIME,THREAD_CNT,WORKLOAD,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,finish_server,finish_t,getrow_cnt,getrow_server,getrow_t,latency,run_time,setrow_cnt,setrow_server,setrow_t,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,true,NO_WAIT,1,2.6,true,false,true,WR,0,200,CLIENT,1,TOP,false,1.0,16,true,true,1024*5,0,4,YCSB,0,16601,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.004108,4.206280,28185,0.032589,6.697021,0.017074,12.361514,724,0.000168,0.175022,234.275513,9.151507,0.000000,0.000000,0.000000,1.280986,0.000000,0.000000,724
50000,true,CLV,1,2.6,true,false,true,WR,0,200,CLIENT,1,TOP,false,1.0,16,true,true,1024*5,0,4,YCSB,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003164,-nan,0.000000,0.000000,0.007051,0.209459,12800,0.031656,3.364693,0.004721,3.776874,800,0.000472,0.202207,847.261627,0.000000,0.000000,0.000000,-0.013138,0.000010,0.000000,0.013138,800
50000,true,SILO,1,2.6,true,false,true,WR,0,200,CLIENT,1,TOP,false,1.0,16,true,true,1024*5,0,4,YCSB,0,1688,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.006242,0.619422,36176,0.048980,9.233087,0.017425,9.984746,0,0.000000,0.000000,229.550163,7.488262,0.000000,0.000000,0.000000,0.130535,0.000000,0.000000,573
50000,true,WOUND_WAIT,1,2.6,true,false,true,WR,0,200,CLIENT,1,TOP,false,1.0,16,true,true,1024*5,0,4,YCSB,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.002885,0.106819,12800,5.394257,7.052452,0.009218,7.374050,800,0.000149,0.214464,433.954210,0.000000,0.000000,0.000000,-5.382619,0.000010,0.000000,5.382619,800
50000,true,WAIT_DIE,1,2.6,true,false,true,WR,0,200,CLIENT,1,TOP,false,1.0,16,true,true,1024*5,0,4,YCSB,0,11746,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.003703,2.852133,23842,2.403530,7.529873,0.015246,11.525785,756,0.000175,0.236978,262.368245,6.086456,0.000000,0.000000,-2.368494,0.905117,0.000000,2.368494,756
50000,true,NO_WAIT,1,2.6,true,false,true,WR,0,200,CLIENT,1,TOP,false,1.0,16,true,true,1024*5,0,8,YCSB,0,79193,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.017687,23.639375,102873,0.088104,29.134945,0.040056,59.282443,1480,0.000358,0.416207,199.721863,51.491623,0.000000,0.000000,0.000000,6.084889,0.000000,0.000000,1480
50000,true,CLV,1,2.6,true,false,true,WR,0,200,CLIENT,1,TOP,false,1.0,16,true,true,1024*5,0,8,YCSB,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006227,-nan,0.000000,0.000000,0.019084,0.491876,25568,0.143602,8.440618,0.005893,9.417522,1598,0.001374,0.483997,1357.469599,0.000000,0.000000,0.000000,-0.080378,0.000018,0.000000,0.080378,1598
50000,true,SILO,1,2.6,true,false,true,WR,0,200,CLIENT,1,TOP,false,1.0,16,true,true,1024*5,0,8,YCSB,0,7266,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.031210,2.748417,133168,0.177657,42.832037,0.043658,46.146546,0,0.000000,0.000000,183.242316,40.365048,0.000000,0.000000,0.000000,0.562073,0.000000,0.000000,1057
50000,true,WOUND_WAIT,1,2.6,true,false,true,WR,0,200,CLIENT,1,TOP,false,1.0,16,true,true,1024*5,0,8,YCSB,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.006020,0.212833,25600,26.268012,29.546205,0.018940,30.303961,1600,0.000265,0.544262,422.387030,0.000000,0.000000,0.000000,-26.244116,0.000018,0.000000,26.244116,1600
50000,true,WAIT_DIE,1,2.6,true,false,true,WR,0,200,CLIENT,1,TOP,false,1.0,16,true,true,1024*5,0,8,YCSB,0,55708,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.013583,16.091207,80076,14.540179,36.683670,0.037820,57.600535,1523,0.000375,0.531121,211.525811,34.893241,0.000000,0.000000,-14.430220,4.289094,0.000000,14.430220,1523
