ABORT_PENALTY,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,16,0.5,true,4,true,TPCC,false, 1771,0,0,0,0, 6879, 2.48167,577000, 0, 0.106564, 0.00396035, 0, 0, 0.262781, 1.10371, 0.00360993, 0, 0, 0, 0, 0, 0, 357981, 1771, 0
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,32,0.5,true,4,true,TPCC,false, 1854,0,0,0,0, 10759, 3.98124,368982, 0, 0.126931, 0.00457042, 0, 0, 0.749895, 1.80241, 0.00434117, 0, 0, 0, 0, 0, 0, 367252, 1854, 0
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,1,0.5,true,8,true,TPCC,false, 20307,0,0,0,0, 17554, 13.9668,446150, 0.220521, 3.57508, 1.71775, 0, 0, 0.54134, 8.47186, 1.2806, 0, 0, 0, 0, 0, 0.757505, 778913, 3853, 242121
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,2,0.5,true,8,true,TPCC,false, 13425,0,0,0,0, 10242, 7.89305,768682, 0.0721078, 1.20308, 0.617786, 0, 0, 0.506544, 4.45655, 0.746262, 0, 0, 0, 0, 0, 0.035828, 758405, 3877, 40657
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,4,0.5,true,8,true,TPCC,false, 10275,0,0,0,0, 8032, 6.26859,981198, 0.0458264, 0.504099, 0.156645, 0, 0, 0.463326, 2.9764, 0.484181, 0, 0, 0, 0, 0, 0.00346183, 768841, 4101, 7246
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,8,0.5,true,8,true,TPCC,false, 3539,0,0,0,0, 6872, 5.05388,1.15535e+06, 2.7635e-05, 0.244545, 0.00796425, 0, 0, 0.456592, 2.43096, 0.00741637, 0, 0, 0, 0, 0, 2.252e-06, 729876, 3537, 2
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,16,0.5,true,8,true,TPCC,false, 3586,0,0,0,0, 7507, 5.43718,1.05759e+06, 1.1658e-05, 0.215359, 0.00783305, 0, 0, 0.624845, 2.34577, 0.00709611, 0, 0, 0, 0, 0, 0, 718786, 3585, 0
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,32,0.5,true,8,true,TPCC,false, 3344,0,0,0,0, 13647, 9.12394,581683, 0, 0.257557, 0.00886063, 0, 0, 2.20161, 4.04839, 0.00869068, 0, 0, 0, 0, 0, 0, 663405, 3344, 0
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,1,0.5,true,16,true,TPCC,false, 61027,0,0,0,0, 42919, 66.9308,361267, 1.76944, 20.2579, 12.1028, 0, 0, 1.09879, 35.2259, 4.16386, 0, 0, 0, 0, 0, 17.448, 1511241, 7582, 1249838
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,2,0.5,true,16,true,TPCC,false, 41713,0,0,0,0, 13851, 19.9669,1.12834e+06, 0.350772, 4.78484, 2.694, 0, 0, 0.858107, 11.3024, 2.6769, 0, 0, 0, 0, 0, 0.682761, 1408093, 7136, 322997
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,4,0.5,true,16,true,TPCC,false, 31836,0,0,0,0, 10800, 16.516,1.45343e+06, 0.201257, 2.32748, 1.29384, 0, 0, 1.00658, 8.30541, 1.88974, 0, 0, 0, 0, 0, 0.0552088, 1500305, 7584, 71200
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,8,0.5,true,16,true,TPCC,false, 26493,0,0,0,0, 9339, 14.2473,1.67608e+06, 0.201687, 1.05499, 0.387436, 0, 0, 1.06213, 6.51133, 1.47677, 0, 0, 0, 0, 0, 0.00530261, 1492474, 7518, 11984
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,16,0.5,true,16,true,TPCC,false, 6955,0,0,0,0, 10052, 13.7418,1.57859e+06, 6.6478e-05, 0.499956, 0.0169517, 0, 0, 1.58167, 6.73327, 0.0161199, 0, 0, 0, 0, 0, 2.892e-06, 1355792, 6951, 3
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,32,0.5,true,16,true,TPCC,false, 6492,0,0,0,0, 12232, 16.0541,1.29806e+06, 9.2112e-05, 0.514775, 0.0174249, 0, 0, 3.62094, 7.31769, 0.0172218, 0, 0, 0, 0, 0, 5.12e-06, 1302447, 6487, 4
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,1,0.5,true,32,true,TPCC,false, 128799,0,0,0,0, 116236, 377.517,266557, 10.4127, 84.2591, 59.3783, 0, 0, 2.23175, 127.562, 8.86623, 0, 0, 0, 0, 0, 208.951, 3144676, 15718, 3307184
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,2,0.5,true,32,true,TPCC,false, 137996,0,0,0,0, 39909, 124.349,774222, 3.7166, 38.4487, 25.5632, 0, 0, 2.51427, 66.6386, 9.80536, 0, 0, 0, 0, 0, 25.807, 3008553, 15130, 2275575
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,4,0.5,true,32,true,TPCC,false, 104937,0,0,0,0, 20730, 62.9353,1.50105e+06, 1.38457, 15.7022, 10.6337, 0, 0, 3.27957, 33.7987, 7.16716, 0, 0, 0, 0, 0, 1.66237, 2952164, 14911, 596207
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,8,0.5,true,32,true,TPCC,false, 78898,0,0,0,0, 16638, 49.5975,1.87575e+06, 0.897554, 7.30036, 4.40507, 0, 0, 4.76288, 25.2007, 5.11124, 0, 0, 0, 0, 0, 0.268475, 2907269, 14486, 161990
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,16,0.5,true,32,true,TPCC,false, 74901,0,0,0,0, 18310, 50.3076,1.68437e+06, 1.45609, 3.75541, 1.62798, 0, 0, 6.20437, 24.1967, 4.97397, 0, 0, 0, 0, 0, 0.0642843, 2648016, 13353, 29214
50000,false,BAMBOO,false,true,true,LH_SPINLOCK,100000,32,0.5,true,32,true,TPCC,false, 12629,0,0,0,0, 17998, 44.8409,1.76419e+06, 0.00107841, 1.40788, 0.0356563, 0, 0, 10.1145, 22.8933, 0.0405868, 0, 0, 0, 0, 0, 6.3327e-05, 2472125, 12587, 6
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,1,0.5,true,1,true,TPCC,false, 503,0,0,0,0, 4601, 0.463369,215811, 0, 0.05837, 0, 0, 0, 0.0277015, 0.160773, 0.0011735, 0, 0, 0, 0, 0, 0, 100000, 503, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,2,0.5,true,1,true,TPCC,false, 524,0,0,0,0, 4715, 0.47507,210496, 0, 0.0580792, 0, 0, 0, 0.0279465, 0.168621, 0.00118496, 0, 0, 0, 0, 0, 0, 100000, 524, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,4,0.5,true,1,true,TPCC,false, 514,0,0,0,0, 5927, 0.596664,167598, 0, 0.0663336, 0, 0, 0, 0.043729, 0.217998, 0.00117588, 0, 0, 0, 0, 0, 0, 100000, 514, 0
