cycle_detect,cascading_abort_times,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
0, 0, 0, 0,100000,false, 0,1, 0, 0.0195199,0,LH_MCSLOCK,50000,IC3,16, 4427, 0.0310147,TPCC, 100000, 0.0398812,false, 0.00327967,0,false,true,true,1,true,0, 0, 0, 0.442759,0, 0, 0.00177561, 0, 0, 4427, 0, 0.000749241, 0,true,true,225856, 0, 0
0, 0, 0.163342, 0,100000,false, 1885,0, 0, 0.356507,0,LH_MCSLOCK,50000,IC3,1, 17349, 0.363846,TPCC, 191914, 0.459148,false, 0.0842747,0,false,true,true,2,true,0, 0, 0, 3.34181,0, 0, 0.00815917, 0, 0, 17343, 1945, 0.0014278, 0,true,true,114856, 0, 0
0, 0, 0.0596919, 0,100000,false, 1015,0.5, 0, 0.186803,0,LH_MCSLOCK,50000,IC3,1, 10629, 0.232819,TPCC, 192843, 0.284323,false, 0.04337,0,false,true,true,2,true,0, 0, 0, 2.05621,0, 0, 0.00542043, 0, 0, 10626, 1040, 0.00689221, 0,true,true,187571, 0, 0
0, 0, 0.0186818, 0,100000,false, 0,1, 0, 0.0105194,0,LH_MCSLOCK,50000,IC3,1, 5504, 0.247903,TPCC, 199946, 0.149048,false, 0.10948,0,false,true,true,2,true,0, 0, 0, 1.1007,0, 0, 0.00339947, 0, 0, 5504, 0, 0.0322654, 0,true,true,363307, 0, 0
0, 0, 0.0182252, 0,100000,false, 1935,0, 0, 0.318461,0,LH_MCSLOCK,50000,IC3,2, 13640, 0.299334,TPCC, 194791, 0.411943,false, 0.0121958,0,false,true,true,2,true,0, 0, 0, 2.66695,0, 0, 0.00332371, 0, 0, 13640, 1935, 0.00131841, 0,true,true,146078, 0, 0
0, 0, 0.0100579, 0,100000,false, 979,0.5, 0, 0.192064,0,LH_MCSLOCK,50000,IC3,2, 9862, 0.17805,TPCC, 194688, 0.251388,false, 0.00949334,0,false,true,true,2,true,0, 0, 0, 1.92587,0, 0, 0.00332126, 0, 0, 9862, 979, 0.00149447, 0,true,true,202182, 0, 0
0, 0, 1.4457e-05, 0,100000,false, 0,1, 0, 0.0101153,0,LH_MCSLOCK,50000,IC3,2, 3592, 0.0630773,TPCC, 199682, 0.0661374,false, 0.00609415,0,false,true,true,2,true,0, 0, 0, 0.717272,0, 0, 0.00339897, 0, 0, 3592, 0, 0.00185955, 0,true,true,556782, 0, 0
0, 0, 0.0172979, 0,100000,false, 1946,0, 0, 0.327017,0,LH_MCSLOCK,50000,IC3,4, 13621, 0.297056,TPCC, 192396, 0.406428,false, 0.0120459,0,false,true,true,2,true,0, 0, 0, 2.6309,0, 0, 0.0033116, 0, 0, 13621, 1946, 0.00131149, 0,true,true,146259, 0, 0
0, 0, 0.00928378, 0,100000,false, 984,0.5, 0, 0.197024,0,LH_MCSLOCK,50000,IC3,4, 10259, 0.177687,TPCC, 192833, 0.255343,false, 0.00928827,0,false,true,true,2,true,0, 0, 0, 1.98438,0, 0, 0.00329649, 0, 0, 10259, 984, 0.00148693, 0,true,true,194351, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0117425,0,LH_MCSLOCK,50000,IC3,4, 3618, 0.0574416,TPCC, 190927, 0.062944,false, 0.00590262,0,false,true,true,2,true,0, 0, 0, 0.69091,0, 0, 0.00325468, 0, 0, 3618, 0, 0.00179505, 0,true,true,552683, 0, 0
0, 0, 0.0195581, 0,100000,false, 1898,0, 0, 0.425174,0,LH_MCSLOCK,50000,IC3,8, 17206, 0.305684,TPCC, 187403, 0.393418,false, 0.012406,0,false,true,true,2,true,0, 0, 0, 3.23579,0, 0, 0.00338358, 0, 0, 17206, 1898, 0.00136955, 0,true,true,115831, 0, 0
0, 0, 0.00848199, 0,100000,false, 1009,0.5, 0, 0.25159,0,LH_MCSLOCK,50000,IC3,8, 11049, 0.186542,TPCC, 192058, 0.226106,false, 0.0096877,0,false,true,true,2,true,0, 0, 0, 2.12846,0, 0, 0.00343377, 0, 0, 11049, 1009, 0.00152838, 0,true,true,180466, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.024998,0,LH_MCSLOCK,50000,IC3,8, 4667, 0.0647075,TPCC, 198543, 0.0832433,false, 0.00636904,0,false,true,true,2,true,0, 0, 0, 0.926648,0, 0, 0.0035044, 0, 0, 4667, 0, 0.00185222, 0,true,true,428519, 0, 0
0, 0, 0.0215098, 0,100000,false, 1979,0, 0, 0.569978,0,LH_MCSLOCK,50000,IC3,16, 18201, 0.326936,TPCC, 198916, 0.42514,false, 0.0130709,0,false,true,true,2,true,0, 0, 0, 3.63322,0, 0, 0.00348374, 0, 0, 18201, 1979, 0.00140491, 0,true,true,109498, 0, 0
0, 0, 0.0103806, 0,100000,false, 950,0.5, 0, 0.335829,0,LH_MCSLOCK,50000,IC3,16, 13200, 0.196702,TPCC, 198406, 0.276428,false, 0.0109327,0,false,true,true,2,true,0, 0, 0, 2.62585,0, 0, 0.00354577, 0, 0, 13200, 950, 0.00161625, 0,true,true,151118, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0319746,0,LH_MCSLOCK,50000,IC3,16, 4071, 0.0619628,TPCC, 194084, 0.0688162,false, 0.0061539,0,false,true,true,2,true,0, 0, 0, 0.790182,0, 0, 0.00339402, 0, 0, 4071, 0, 0.00172996, 0,true,true,491239, 0, 0
0, 0, 0.777713, 0,100000,false, 3994,0, 0, 0.704655,0,LH_MCSLOCK,50000,IC3,1, 18227, 0.851749,TPCC, 389912, 0.557696,false, 0.418667,0,false,true,true,4,true,0, 0, 0, 7.13442,0, 0, 0.0533836, 0, 0, 18197, 4571, 0.00353316, 0,true,true,218609, 0, 0
0, 0, 0.264446, 0,100000,false, 1906,0.5, 0, 0.343374,0,LH_MCSLOCK,50000,IC3,1, 10760, 0.549051,TPCC, 391030, 0.36626,false, 0.233554,0,false,true,true,4,true,0, 0, 0, 4.21916,0, 0, 0.0225898, 0, 0, 10751, 2100, 0.0193015, 0,true,true,370719, 0, 0
0, 0, 0.100647, 0,100000,false, 0,1, 0, 0.0248554,0,LH_MCSLOCK,50000,IC3,1, 8679, 0.602723,TPCC, 399951, -0.538796,false, 1.16455,0,false,true,true,4,true,0, 0, 0, 3.47136,0, 0, 0.00743814, 0, 0, 8679, 0, 0.128058, 0,true,true,460857, 0, 0
0, 0, 0.319528, 0,100000,false, 3772,0, 0, 0.73108,0,LH_MCSLOCK,50000,IC3,2, 17949, 0.778317,TPCC, 387104, 0.727672,false, 0.173344,0,false,true,true,4,true,0, 0, 0, 6.97229,0, 0, 0.0186578, 0, 0, 17941, 3916, 0.00303896, 0,true,true,222082, 0, 0
0, 0, 0.128402, 0,100000,false, 2030,0.5, 0, 0.3902,0,LH_MCSLOCK,50000,IC3,2, 11181, 0.491324,TPCC, 389631, 0.449123,false, 0.0979881,0,false,true,true,4,true,0, 0, 0, 4.36971,0, 0, 0.0120667, 0, 0, 11178, 2093, 0.00878179, 0,true,true,356666, 0, 0
0, 0, 0.0166345, 0,100000,false, 0,1, 0, 0.0212528,0,LH_MCSLOCK,50000,IC3,2, 4979, 0.321211,TPCC, 373174, 0.115321,false, 0.222573,0,false,true,true,4,true,0, 0, 0, 1.85835,0, 0, 0.00727121, 0, 0, 4979, 0, 0.0486142, 0,true,true,803238, 0, 0
0, 0, 0.0636313, 0,100000,false, 3640,0, 0, 0.757722,0,LH_MCSLOCK,50000,IC3,4, 17467, 0.606664,TPCC, 359900, 0.757953,false, 0.0253711,0,false,true,true,4,true,0, 0, 0, 6.30931,0, 0, 0.00689897, 0, 0, 17467, 3640, 0.0025523, 0,true,true,228171, 0, 0
0, 0, 0.0292281, 0,100000,false, 2026,0.5, 0, 0.390924,0,LH_MCSLOCK,50000,IC3,4, 9501, 0.377601,TPCC, 395971, 0.419635,false, 0.0199219,0,false,true,true,4,true,0, 0, 0, 3.77371,0, 0, 0.0069161, 0, 0, 9501, 2026, 0.00293299, 0,true,true,419715, 0, 0
0, 0, 4.8016e-05, 0,100000,false, 0,1, 0, 0.0267459,0,LH_MCSLOCK,50000,IC3,4, 3911, 0.151029,TPCC, 388974, 0.160045,false, 0.0124912,0,false,true,true,4,true,0, 0, 0, 1.52129,0, 0, 0.00776679, 0, 0, 3911, 0, 0.00364275, 0,true,true,1.02275e+06, 0, 0
