ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,TOP,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 1, 0, 0, 317051,0,0,0,0, 317051, 0, 507.282,50465, 3.4101e-05, 2.02703, 0, 0, 0, 4.72481, 19.0225, 0.0322357, 0, 0, 0, 0, 180898123, 474.095, 1600000, 0, 1599999
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,TOP,1,64,true,WR,0,true,10000000,16,true,YCSB,false,0, 0, 0, 0, 1042809,0,0,0,0, 1042809, 0, 1668.5,15343.2, 0, 5.46433, 0, 0, 0, 7.16125, 60.4033, 0.0313852, 0, 0, 0, 0, 160306493, 1562.8, 1600000, 0, 1599999
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,TOP,1,4,true,WR,0,true,10000000,32,true,YCSB,false,0, 0, 0, 0, 231142,0,0,0,0, 231142, 0, 739.638,138443, 0, 2.63468, 0, 0, 0, 6.31068, 17.0325, 0.0635661, 0, 0, 0, 0, 370536363, 711.786, 3199931, 0, 3199930
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,TOP,1,16,true,WR,0,true,10000000,32,true,YCSB,false,0, 2, 0, 0, 611243,0,0,0,0, 611243, 0, 1955.96,52352.3, 0.000526062, 3.97976, 0, 0, 0, 8.56162, 38.2293, 0.0639565, 0, 0, 0, 0, 348614129, 1890.47, 3199963, 0, 3199962
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,TOP,1,64,true,WR,0,true,10000000,32,true,YCSB,false,0, 1, 0, 0, 2180202,0,0,0,0, 2180202, 0, 6976.65,14677.5, 1.5143e-05, 11.1529, 0, 0, 0, 18.376, 127.357, 0.0654861, 0, 0, 0, 0, 387149568, 6754.35, 3200000, 0, 3199999
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,TOP,1,4,true,WR,0,true,10000000,1,true,YCSB,false,0, 0, 0, 0, 6027,0,0,0,0, 6027, 0, 0.602719,165915, 0, 0.00947271, 0.0015239, 0, 0, 0.204243, 0.277742, 0.00309884, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,TOP,1,16,true,WR,0,true,10000000,1,true,YCSB,false,0, 0, 0, 0, 15660,0,0,0,0, 15660, 0, 1.56602,63856.2, 0, 0.0276475, 0.00155101, 0, 0, 0.30565, 0.569567, 0.00309609, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,TOP,1,64,true,WR,0,true,10000000,1,true,YCSB,false,0, 0, 0, 0, 49225,0,0,0,0, 49225, 0, 4.92255,20314.7, 0, 0.108206, 0.00154511, 0, 0, 0.558484, 1.35047, 0.0033336, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,TOP,1,4,true,WR,0,true,10000000,2,true,YCSB,false,0, 0, 0, 0, 17882,0,0,0,0, 17882, 0, 3.57077,111844, 0, 0.669669, 0.450992, 0, 0, 0.88451, 2.31361, 0.00594865, 0, 0, 0, 0, 0, 0.00859433, 199684, 0, 13136
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,TOP,1,16,true,WR,0,true,10000000,2,true,YCSB,false,0, 0, 0, 0, 34208,0,0,0,0, 34208, 0, 6.81632,58464.9, 0, 0.759456, 0.420615, 0, 0, 1.27282, 4.29744, 0.00549735, 0, 0, 0, 0, 0, 0.000480495, 199258, 0, 677
