workload,cc_alg,txn_cnt,abort_cnt,run_time,time_wait,time_ts_alloc,time_man,time_index,time_abort,time_cleanup,latency,deadlock_cnt,cycle_detect,dl_detect_time,dl_wait_time,time_query,debug1,debug2,debug3,debug4,debug5,throughput
TPCC,WOUND WAIT,20018,0,4.020092,3.792505,0.000928,0.133943,0.020200,0.000000,0.033858,0.000201,0,0,0.000000,0.000000,0.001978,0.000000,0.000000,0.000000,0.000000,0.000000,99589.759592
TPCC,NO WAIT,10320,38,2.384621,0.000000,0.000000,0.049460,0.009178,0.703082,0.007462,0.000231,0,0,0.000000,0.000000,2.294462,0.000000,0.000000,0.000000,0.000000,0.000000,86554.653036
TPCC,WAIT DIE,136590,623,36.309253,0.003927,0.009938,0.974974,0.179239,0.033874,0.160206,0.000266,0,0,0.000000,0.000000,34.546920,0.000000,0.000000,0.000000,0.000000,0.000000,75237.021189
TPCC,WOUND WAIT,41287,12,9.824938,8.439743,0.007320,0.317557,0.046701,0.205320,0.067443,0.000238,0,0,0.000000,0.000000,0.677767,0.000000,0.000000,0.000000,0.000000,0.000000,84045.314017
TPCC,NO WAIT,23524,103,6.012160,0.000000,0.000000,0.147362,0.026958,3.725449,0.020265,0.000256,0,0,0.000000,0.000000,5.743397,0.000000,0.000000,0.000000,0.000000,0.000000,78254.731639
TPCC,WAIT DIE,149475,599,33.843968,0.003527,0.010606,0.908809,0.168532,0.001014,0.173901,0.000226,0,0,0.000000,0.000000,32.209069,0.000000,0.000000,0.000000,0.000000,0.000000,88331.842187
TPCC,WOUND WAIT,20026,0,4.033725,3.817029,0.001957,0.123598,0.021650,0.000000,0.034936,0.000201,0,0,0.000000,0.000000,0.002922,0.000000,0.000000,0.000000,0.000000,0.000000,99292.842361
TPCC,NO WAIT,18832,80,4.035203,0.000000,0.000000,0.095545,0.017943,2.320802,0.016124,0.000214,0,0,0.000000,0.000000,3.861197,0.000000,0.000000,0.000000,0.000000,0.000000,93338.540988
TPCC,WAIT DIE,132508,522,30.387003,0.003401,0.009594,0.812697,0.151397,0.068494,0.155729,0.000229,0,0,0.000000,0.000000,28.924723,0.000000,0.000000,0.000000,0.000000,0.000000,87213.603656
TPCC,WOUND WAIT,28266,5,5.399519,4.790088,0.002852,0.158085,0.030899,0.000440,0.036754,0.000191,0,0,0.000000,0.000000,0.326511,0.000000,0.000000,0.000000,0.000000,0.000000,104698.206991
TPCC,NO WAIT,40888,143,7.864771,0.000000,0.000000,0.195790,0.037723,5.318365,0.033714,0.000192,0,0,0.000000,0.000000,7.508590,0.000000,0.000000,0.000000,0.000000,0.000000,103977.595911
TPCC,WAIT DIE,148609,568,33.852055,0.003363,0.010626,0.907510,0.167995,0.001481,0.174770,0.000228,0,0,0.000000,0.000000,32.218740,0.000000,0.000000,0.000000,0.000000,0.000000,87799.100392
TPCC,WOUND WAIT,24876,7,5.489097,4.916185,0.002444,0.142276,0.027248,0.031848,0.050034,0.000221,0,0,0.000000,0.000000,0.287104,0.000000,0.000000,0.000000,0.000000,0.000000,90637.862366
TPCC,NO WAIT,25403,86,5.193546,0.000000,0.000000,0.122125,0.022108,2.931296,0.020168,0.000204,0,0,0.000000,0.000000,4.973362,0.000000,0.000000,0.000000,0.000000,0.000000,97825.269474
TPCC,WAIT DIE,141740,565,32.000832,0.003239,0.010169,0.866079,0.154571,0.001127,0.166098,0.000226,0,0,0.000000,0.000000,30.449845,0.000000,0.000000,0.000000,0.000000,0.000000,88585.197339
TPCC,WOUND WAIT,20019,1,5.363526,4.993818,0.004307,0.208740,0.023344,0.013169,0.056902,0.000268,0,0,0.000000,0.000000,0.048725,0.000000,0.000000,0.000000,0.000000,0.000000,74648.650418
TPCC,NO WAIT,19481,92,5.144807,0.000000,0.000000,0.122790,0.022313,3.153246,0.016201,0.000264,0,0,0.000000,0.000000,4.920880,0.000000,0.000000,0.000000,0.000000,0.000000,75730.728431
TPCC,WAIT DIE,150130,670,39.527966,0.004711,0.010831,1.066591,0.195290,0.032705,0.175856,0.000263,0,0,0.000000,0.000000,37.601469,0.000000,0.000000,0.000000,0.000000,0.000000,75961.409230
TPCC,WOUND WAIT,30740,10,7.605952,6.350604,0.004987,0.225397,0.034771,0.378492,0.040083,0.000247,0,0,0.000000,0.000000,0.497082,0.000000,0.000000,0.000000,0.000000,0.000000,80831.428721
TPCC,NO WAIT,28895,90,5.754066,0.000000,0.000000,0.136680,0.026273,3.131478,0.022368,0.000199,0,0,0.000000,0.000000,5.505535,0.000000,0.000000,0.000000,0.000000,0.000000,100433.323109
TPCC,WAIT DIE,155004,626,35.185047,0.004180,0.011169,0.951240,0.176539,0.001339,0.182937,0.000227,0,0,0.000000,0.000000,33.475818,0.000000,0.000000,0.000000,0.000000,0.000000,88107.883227
TPCC,WOUND WAIT,28128,7,6.245847,5.529755,0.003016,0.222133,0.030853,0.014160,0.050994,0.000222,0,0,0.000000,0.000000,0.350990,0.000000,0.000000,0.000000,0.000000,0.000000,90069.444200
