ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,LONG_TXN_RATIO,MAX_ROW_PER_TXN,MAX_RUNTIME,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,TERMINIATE_BY_COUNT,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,64,true,YCSB,false,0.9, 1007989, 0, 0, 239193,0,0,0,0, 333132, 0, 639.882,192213, 180.204, 146.89, 129.417, 0, 0, 59.4277, 270.355, 89.0013, 0, 0, 0, 0, 0, 57.1938, 1921780, 0, 864638
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,96,true,YCSB,false,0.9, 2137320, 0, 0, 222251,0,0,0,0, 384622, 0, 959.87,249756, 404.859, 232.134, 205.124, 0, 0, 52.1014, 270.896, 195.989, 0, 0, 0, 0, 0, 127.54, 2497220, 0, 2028131
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,128,true,YCSB,false,0.9, 720891, 0, 0, 1443417,0,0,0,0, 3328059, 0, 1280.19,38417.8, 725.579, 460.149, 440.859, 0, 0, 31.0776, 251.9, 125.926, 0, 0, 0, 0, 0, 234.233, 384235, 0, 570216
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,1,true,YCSB,false,0.9, 0, 0, 0, 15953,0,0,0,0, 15953, 0, 10,62682.3, 0, 0.490805, 0, 0, 0, 0.354472, 5.45919, 0.0167239, 0, 0, 0, 0, 17143908, 0, 626823, 0, 0
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,32,true,YCSB,false,0.9, 204367, 0, 0, 212646,0,0,0,0, 240045, 0, 319.994,133325, 36.488, 4.07525, 0, 0, 0, 22.5015, 53.8516, 17.6072, 0, 0, 0, 0, 263784789, 182.023, 1333224, 0, 1055730
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,64,true,YCSB,false,0.9, 278180, 0, 0, 460670,0,0,0,0, 557934, 0, 639.991,114717, 111.53, 3.72047, 0, 0, 0, 21.6307, 52.4653, 23.9983, 0, 0, 0, 0, 241432312, 429.236, 1147156, 0, 1305568
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,96,true,YCSB,false,0.9, 529277, 0, 0, 440185,0,0,0,0, 561365, 0, 959.997,171025, 207.171, 5.1622, 0, 0, 0, 18.3649, 49.9181, 46.004, 0, 0, 0, 0, 379494836, 644.038, 1710247, 0, 2303263
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,128,true,YCSB,false,0.9, 14662, 0, 0, 24396714,0,0,0,0, 32202297, 0, 1280.46,3968.66, 311.889, 0.20624, 0, 0, 0, 11.5825, 8.13832, 23.0765, 0, 0, 0, 0, 10087046, 936.298, 39701, 0, 61496
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,1,true,YCSB,false,0.9, 0, 0, 0, 16054,0,0,0,0, 16054, 0, 10,62286.7, 0, 0.507284, 0, 0, 0, 0.290617, 5.54453, 0.0166634, 0, 0, 0, 0, 17178576, 0, 622868, 0, 0
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,32,true,YCSB,false,0.9, 160536, 0, 0, 275125,0,0,0,0, 310343, 0, 320.001,103123, 36.2827, 3.5757, 0, 0, 0, 24.2381, 53.3345, 13.8507, 0, 0, 0, 0, 207471409, 185.9, 1031234, 0, 828579
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,64,true,YCSB,false,0.9, 225348, 0, 0, 571355,0,0,0,0, 690649, 0, 640.029,92671.6, 110.521, 3.31532, 0, 0, 0, 22.2746, 52.0957, 19.3976, 0, 0, 0, 0, 199654331, 434.406, 926758, 0, 1060591
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,96,true,YCSB,false,0.9, 375009, 0, 0, 633554,0,0,0,0, 803349, 0, 959.982,119503, 202.88, 3.97507, 0, 0, 0, 20.9003, 51.6526, 32.8978, 0, 0, 0, 0, 268450337, 655.357, 1195007, 0, 1631108
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,0,64,10,1000000,0,TOP,0.5,16,true,WR,0,false,200000000,false,128,true,YCSB,false,0.9, 9151, 0, 0, 39266560,0,0,0,0, 51849557, 0, 1280.71,2464.83, 312.317, 0.19768, 0, 0, 0, 16.0912, 10.4182, 25.1311, 0, 0, 0, 0, 6639650, 928.4, 24662, 0, 38563
