ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.5,true,true,1024*1024*20,32,YCSB,false,0,6037558,0,0,32.547479,32.000000,30.000000,541627.000000,5.768334,8.820971,2.119718,20.878273,5.002332,15.479829,2.374354,0.000000,0.000000,0.000061,632.880895,156902.773953,445.125215,46.323385,2.715086,32.032725,463.608492,0.000000,5.827664,3103149
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.75,true,true,1024*1024*20,16,YCSB,false,0,2567295,0,0,12.013951,16.000000,15.000000,223622.000000,2.713289,2.209678,0.860771,4.998526,1.873810,12.615600,2.379775,0.000000,0.000000,0.000049,266.017915,93801.261391,189.046680,21.730125,2.512049,15.695652,197.493857,0.000000,0.062230,1559551
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.75,true,true,1024*1024*20,32,YCSB,false,0,8553536,0,0,32.318921,32.000000,31.000000,799056.000000,8.126975,10.167728,3.084748,24.456569,6.602225,25.871092,2.497094,0.000000,0.000000,0.000066,858.031068,117437.873412,651.234078,63.151890,2.870734,29.865306,658.929805,0.000000,2.832903,3148917
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,1,true,true,1024*1024*20,16,YCSB,false,0,4009883,0,0,13.102273,16.000000,15.000000,564734.000000,3.727081,3.609715,1.414074,9.083522,2.485060,30.873569,2.596564,0.000000,0.000000,0.000041,408.639506,60043.377259,345.030411,45.654006,3.547006,18.718512,308.569695,0.000000,0.122179,1533506
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,1,true,true,1024*1024*20,32,YCSB,false,0,12018597,0,0,36.387643,32.000000,31.000000,1413398.000000,10.679171,13.852653,4.332632,35.765014,8.097098,46.539296,2.679719,0.000000,0.000000,0.000059,1170.970453,84194.288358,988.587191,97.879229,3.472486,32.638586,924.231773,0.000000,2.610031,3080907
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0,true,true,1024*1024*20,16,YCSB,false,0,245675,0,0,10.303445,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.080902,0.000000,0.000000,-nan,0.000000,0.000000,0.000027,49.539188,497279.363605,7.443019,1.859038,2.741755,15.115144,18.918046,0.141113,0.647932,1539676
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0,true,true,1024*1024*20,32,YCSB,false,0,36863,0,0,28.642823,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,6.806373,0.000000,0.000000,-nan,0.000000,0.000000,0.000090,288.992713,352377.383813,3.150387,9.026475,9.013682,53.599584,2.957724,0.384446,201.457533,3182328
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.25,true,true,1024*1024*20,16,YCSB,false,0,2342,0,0,10.681534,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.553890,0.000000,0.000000,-nan,0.000000,0.000000,0.000069,110.988955,230398.422009,0.219480,2.441156,5.145499,20.795191,0.198950,0.171087,74.650280,1598230
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.25,true,true,1024*1024*20,32,YCSB,false,0,71,0,0,21.400450,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.170348,0.000000,0.000000,-nan,0.000000,0.000000,0.000161,514.204968,199098.006220,0.054808,6.276016,11.434625,48.123850,0.038973,0.371548,433.200005,3199287
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.5,true,true,1024*1024*20,16,YCSB,false,0,10,0,0,10.685920,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.319252,0.000000,0.000000,-nan,0.000000,0.000000,0.000184,294.323016,86970.133472,0.004931,2.214799,7.343103,23.720829,0.015513,0.195178,253.676824,1599832
