ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,2,YCSB,false,0.99, 10159, 30543,0,0,0,0, 31898, 6.3552,62700.8, 0.269813, 0.361324, 0.106933, 0, 0, 1.05432, 3.38161, 0.798168, 0, 0, 0, 0, 0, 0.000140883, 199238, 0, 267
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,4,YCSB,false,0.5, 0, 32528,0,0,0,0, 32528, 12.7503,122971, 0, 0.479041, 0.0054475, 0, 0, 1.82989, 7.58778, 0.00973112, 0, 0, 0, 0, 0, 2.426e-06, 391980, 0, 2
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,4,YCSB,false,0.7, 3, 31221,0,0,0,0, 31221, 12.1847,128117, 6.607e-05, 0.466881, 0.0111521, 0, 0, 1.66727, 7.52483, 0.0107247, 0, 0, 0, 0, 0, 2.465e-05, 390266, 0, 28
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,4,YCSB,false,0.9, 5700, 28966,0,0,0,0, 29356, 10.9714,136258, 0.145635, 0.863833, 0.323668, 0, 0, 1.66091, 6.56673, 0.456659, 0, 0, 0, 0, 0, 0.00560391, 373733, 0, 1837
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,4,YCSB,false,0.99, 30040, 24178,0,0,0,0, 25930, 10.1688,154265, 0.6866, 1.10177, 0.45984, 0, 0, 0.864642, 4.77974, 2.32905, 0, 0, 0, 0, 0, 0.00347715, 392175, 0, 5950
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,4,YCSB,false,0.5, 8, 37827,0,0,0,0, 37828, 14.6516,105741, 0.00020055, 0.460013, 0.00526737, 0, 0, 2.39327, 9.09083, 0.0112017, 0, 0, 0, 0, 0, 0, 387321, 0, 0
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,4,YCSB,false,0.7, 387, 30781,0,0,0,0, 30801, 11.7114,129862, 0.00793548, 0.453054, 0.0159491, 0, 0, 1.80585, 6.99496, 0.0459667, 0, 0, 0, 0, 0, 1.1291e-05, 380218, 0, 17
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,4,YCSB,false,0.9, 18255, 28010,0,0,0,0, 29119, 11.2139,137369, 0.426655, 0.662421, 0.144196, 0, 0, 1.46758, 5.93037, 1.42339, 0, 0, 0, 0, 0, 0.000743492, 385112, 0, 1108
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,4,YCSB,false,0.99, 46458, 27465,0,0,0,0, 30727, 11.7498,130185, 1.24679, 0.980321, 0.32212, 0, 0, 1.0542, 4.83246, 3.61602, 0, 0, 0, 0, 0, 0.0023507, 382413, 0, 3809
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,8,YCSB,false,0.5, 0, 26566,0,0,0,0, 26566, 20.6931,301131, 0, 0.856752, 0.0107988, 0, 0, 2.12448, 12.2363, 0.0191568, 0, 0, 0, 0, 0, 8.702e-06, 778917, 0, 8
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,8,YCSB,false,0.7, 46, 24669,0,0,0,0, 24671, 18.0454,324265, 0.000968206, 1.03233, 0.21705, 0, 0, 2.26057, 10.5335, 0.0225523, 0, 0, 0, 0, 0, 0.000163329, 731438, 0, 206
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,8,YCSB,false,0.9, 39193, 27473,0,0,0,0, 28680, 22.396,278938, 0.942434, 2.39036, 1.0728, 0, 0, 2.00948, 12.1588, 3.06451, 0, 0, 0, 0, 0, 0.00915496, 780886, 0, 12114
