ABORT_PENALTY,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,SPINLOCK,THREAD_CNT,WORKLOAD,WW_STARV_FREE,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,32,TPCC,false,45142,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000092,287.535498,342241.207909,3.590367,2.963932,2.346046,17.335252,3.598025,0.409282,251.053597,3075203
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,1,TPCC,false,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000005,0.512640,195068.704885,0.000000,0.033985,0.056246,0.243883,0.001230,0.002531,0.000000,100000
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,2,TPCC,false,7,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000006,1.238279,311306.225584,0.000065,0.079249,0.120906,0.644506,0.002881,0.013602,0.000037,192742
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,4,TPCC,false,1962,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000012,4.596232,339505.049315,0.008303,0.249336,0.311772,1.630325,0.157782,0.043012,1.325268,390111
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,8,TPCC,false,10932,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000022,17.322679,354483.272217,0.121920,0.588292,0.640267,3.699462,0.858306,0.082652,9.766757,767575
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,16,TPCC,false,25860,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000045,71.125240,353979.317550,0.831302,1.265876,1.261675,8.137689,2.020866,0.200410,54.294483,1573554
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,32,TPCC,false,43164,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000093,289.922035,340444.961196,3.463358,3.005768,2.311459,17.712830,3.462551,0.417100,253.234676,3084453
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,1,TPCC,false,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000005,0.505237,197926.904106,0.000000,0.033994,0.055745,0.236877,0.001245,0.002617,0.000000,100000
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,2,TPCC,false,3,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000007,1.322873,297086.608197,0.000025,0.079819,0.125256,0.699961,0.002620,0.015101,0.000077,196504
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,4,TPCC,false,1647,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000011,4.433353,347932.574612,0.007412,0.246248,0.311187,1.573946,0.132619,0.038404,1.280401,385627
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,8,TPCC,false,11310,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000024,19.209514,326567.340439,0.132094,0.625709,0.696932,4.100757,0.886872,0.086178,10.893530,784150
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,16,TPCC,false,24485,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000044,69.853394,358080.467269,0.765419,1.253725,1.214237,7.831913,1.913786,0.200785,53.418219,1563321
50000,WOUND_WAIT,false,true,true,100000,2,0.5,true,true,32,TPCC,false,40997,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,0.000100,316.465773,315821.680203,3.557097,3.250618,2.499355,19.244780,3.340057,0.403352,276.927446,3123336
