BB_ALWAYS_RETIRE_READ,cycle_detect,cascading_abort_times,time_abort,time_get_cs,PF_CS,MAX_TXN_PER_PART,MAX_RUNTIME,deadlock_cnt,user_abort_cnt,BB_PRECOMMIT,max_abort_length,COMPILE_ONLY,txn_cnt_long,time_index,ZIPF_THETA,LATCH,time_semaphore_cs,ABORT_PENALTY,CC_ALG,OUTPUT_TO_FILE,latency,time_cleanup,LONG_TXN_RATIO,TERMINATE_BY_COUNT,BB_AUTORETIRE,txn_cnt,READ_PERC,time_man,SYNTH_TABLE_SIZE,BB_LAST_RETIRE,time_release_cs,WW_STARV_FREE,time_wait,EXEC_ONLY,MAX_ROW_PER_TXN,UNSET_NUMA,time_copy,PF_BASIC,REQ_PER_QUERY,PF_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,NDEBUG,time_get_latch,WORKLOAD,run_time,dl_detect_time,time_release_latch,time_query,wait_cnt,time_retire_latch,BB_DYNAMIC_TS,abort_cnt_long,commit_latency,abort_cnt,time_commit,abort_length,throughput,time_retire_cs,SYNTHETIC_YCSB,time_ts_alloc
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.34071,0.9,LH_MCSLOCK, 0,50000,WOUND_WAIT,true, 8080, 0.213052,0,true,false, 1000000,0.5, 2.58028,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 8.08054,0, 0, 0.0194303, 0, 0,true, 0, 8080, 0, 0, 0,123754, 0,false, 23800156
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.329096,0.9,LH_MCSLOCK, 0,50000,WOUND_WAIT,true, 7955, 0.201383,0,true,false, 1000000,0.5, 2.50036,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.95568,0, 0, 0.0182645, 0, 0,true, 0, 7955, 0, 0, 0,125696, 0,false, 22592742
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.281396,0.9,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 7852, 0.09732,0,true,false, 1000000,0.5, 2.39547,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.85258,0, 0, 0.0496235, 0, 0,true, 0, 7852, 0, 0, 0,127347, 0,false, 23708606
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.269812,0.9,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 7763, 0.0935595,0,true,false, 1000000,0.5, 2.38201,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.76301,0, 0, 0.0477607, 0, 0,true, 0, 7763, 0, 0, 0,128816, 0,false, 22773364
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.271558,0.9,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 7749, 0.0940502,0,true,false, 1000000,0.5, 2.3867,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.74977,0, 0, 0.0476542, 0, 0,true, 0, 7749, 0, 0, 0,129036, 0,false, 22730982
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.275171,0.9,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 7761, 0.0935142,0,true,false, 1000000,0.5, 2.37091,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.76131,0, 0, 0.0476906, 0, 0,true, 0, 7761, 0, 0, 0,128844, 0,false, 22765906
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.273634,0.9,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 7833, 0.09333,0,true,false, 1000000,0.5, 2.38533,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.83359,0, 0, 0.0476894, 0, 0,true, 0, 7833, 0, 0, 0,127655, 0,false, 22719136
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.282436,0.9,LH_MCSLOCK, 0,50000,NO_WAIT,true, 7721, 0.0903372,0,true,false, 1000000,0.5, 2.37266,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.72192,0, 0, 0.0176428, 0, 0,true, 0, 7721, 0, 0, 0,129502, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.278831,0.9,LH_MCSLOCK, 0,50000,NO_WAIT,true, 7721, 0.0902049,0,true,false, 1000000,0.5, 2.34985,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.72196,0, 0, 0.0176193, 0, 0,true, 0, 7721, 0, 0, 0,129501, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.273162,0.9,LH_MCSLOCK, 0,50000,NO_WAIT,true, 7821, 0.099045,0,true,false, 1000000,0.5, 2.39587,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.82112,0, 0, 0.017571, 0, 0,true, 0, 7821, 0, 0, 0,127859, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.278287,0.9,LH_MCSLOCK, 0,50000,NO_WAIT,true, 7866, 0.0926428,0,true,false, 1000000,0.5, 2.40248,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.86602,0, 0, 0.0180278, 0, 0,true, 0, 7866, 0, 0, 0,127129, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.275137,0.9,LH_MCSLOCK, 0,50000,NO_WAIT,true, 7691, 0.0903028,0,true,false, 1000000,0.5, 2.33752,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.69185,0, 0, 0.0176145, 0, 0,true, 0, 7691, 0, 0, 0,130008, 0,false, 0
true,0, 0, 0.0399316, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.825711,0.9,LH_MCSLOCK, 0,50000,BAMBOO,true, 12646, 1.28261,0,true,false, 1997327,0.5, 15.0635,10000000,0, 0,false, 0.00272474,true,1000,false, 0,true,16,false,2,true,0,true, 0,YCSB, 25.2582,0, 0, 0.327007, 3299, 0,true, 0, 12626, 3682, 0.146994, 0,158153, 0,false, 0
true,0, 0, 0.0389267, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.819835,0.9,LH_MCSLOCK, 0,50000,BAMBOO,true, 12619, 1.26782,0,true,false, 1996056,0.5, 15.0474,10000000,0, 0,false, 0.00281722,true,1000,false, 0,true,16,false,2,true,0,true, 0,YCSB, 25.189,0, 0, 0.322446, 3202, 0,true, 0, 12599, 3652, 0.148257, 0,158486, 0,false, 0
true,0, 0, 0.0393035, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.829359,0.9,LH_MCSLOCK, 0,50000,BAMBOO,true, 12646, 1.27825,0,true,false, 1996911,0.5, 15.0834,10000000,0, 0,false, 0.00280559,true,1000,false, 0,true,16,false,2,true,0,true, 0,YCSB, 25.2544,0, 0, 0.321238, 3305, 0,true, 0, 12627, 3631, 0.147849, 0,158144, 0,false, 0
true,0, 0, 0.0390047, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.797363,0.9,LH_MCSLOCK, 0,50000,BAMBOO,true, 12803, 1.26677,0,true,false, 1976778,0.5, 14.9793,10000000,0, 0,false, 0.00281605,true,1000,false, 0,true,16,false,2,true,0,true, 0,YCSB, 25.3086,0, 0, 0.320483, 3235, 0,true, 0, 12783, 3630, 0.147714, 0,156214, 0,false, 0
true,0, 0, 0.0403592, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.832869,0.9,LH_MCSLOCK, 0,50000,BAMBOO,true, 12650, 1.28817,0,true,false, 1998958,0.5, 15.0907,10000000,0, 0,false, 0.00277193,true,1000,false, 0,true,16,false,2,true,0,true, 0,YCSB, 25.2872,0, 0, 0.327892, 3340, 0,true, 0, 12630, 3736, 0.147448, 0,158100, 0,false, 0
true,0, 0, 1.0709, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.693414,0.9,LH_MCSLOCK, 0,50000,SILO,true, 14261, 1.60729,0,true,false, 1996018,0.5, 8.79167,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,2,true,0,true, 0,YCSB, 28.462,0, 0, 6.59834, 0, 0,true, 0, 13722, 84449, 0, 0,140259, 0,false, 0
true,0, 0, 1.03825, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.686761,0.9,LH_MCSLOCK, 0,50000,SILO,true, 14069, 1.54541,0,true,false, 1967329,0.5, 8.48237,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,2,true,0,true, 0,YCSB, 27.6765,0, 0, 6.45017, 0, 0,true, 0, 13540, 82475, 0, 0,142166, 0,false, 0
true,0, 0, 0.891787, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.646554,0.9,LH_MCSLOCK, 0,50000,SILO,true, 12941, 1.31819,0,true,false, 1997484,0.5, 7.54161,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,2,true,0,true, 0,YCSB, 25.8474,0, 0, 6.35542, 0, 0,true, 0, 12493, 82148, 0, 0,154560, 0,false, 0
true,0, 0, 1.09267, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.710009,0.9,LH_MCSLOCK, 0,50000,SILO,true, 14354, 1.63583,0,true,false, 1978275,0.5, 8.78188,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,2,true,0,true, 0,YCSB, 28.3929,0, 0, 6.56302, 0, 0,true, 0, 13800, 83627, 0, 0,139350, 0,false, 0
true,0, 0, 1.08746, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.713684,0.9,LH_MCSLOCK, 0,50000,SILO,true, 14373, 1.63672,0,true,false, 1986525,0.5, 8.82334,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,2,true,0,true, 0,YCSB, 28.5495,0, 0, 6.60998, 0, 0,true, 0, 13824, 84158, 0, 0,139164, 0,false, 0
