ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,8,0.5,true,16,true,TPCC,false, 12778, 2, 9449,0,0,0,0, 9470, 14.3341,1.67717e+06, 0.0316207, 1.89149, 0.408436, 0, 0, 1.41796, 7.41575, 0.447931, 0, 0, 0, 0, 0, 0.0146695, 1502554, 7397, 36441
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,8,0.5,true,16,true,TPCC,false, 13574, 2, 10391,0,0,0,0, 10416, 15.7526,1.52483e+06, 0.0370011, 2.04557, 0.436738, 0, 0, 0.991911, 8.3746, 0.494184, 0, 0, 0, 0, 0, 0.0160139, 1501259, 7617, 39563
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,TPCC,false, 6997, 2, 9068,0,0,0,0, 9068, 13.0265,1.75106e+06, 3.2988e-05, 1.15341, 0.0154495, 0, 0, 1.27163, 6.41741, 0.0289879, 0, 0, 0, 0, 0, 7.16e-06, 1425637, 6995, 11
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,TPCC,false, 6924, 2, 9172,0,0,0,0, 9172, 13.0793,1.73099e+06, 7.1896e-05, 1.1692, 0.0154628, 0, 0, 1.24405, 6.41299, 0.0287586, 0, 0, 0, 0, 0, 3.562e-06, 1415010, 6921, 6
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,TPCC,false, 74002, 16, 26853,0,0,0,0, 27681, 44.0318,575523, 1.31578, 16.6996, 11.3134, 0, 0, 0.963422, 26.3421, 5.15763, 0, 0, 0, 0, 0, 4.09294, 1583833, 7811, 1074462
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,TPCC,false, 72900, 16, 27185,0,0,0,0, 28009, 44.5602,568705, 1.30907, 16.8247, 11.3195, 0, 0, 0.884648, 26.7155, 5.05258, 0, 0, 0, 0, 0, 4.36372, 1583851, 7986, 1080773
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,TPCC,false, 43831, 8, 15967,0,0,0,0, 16258, 24.6989,978538, 0.44069, 7.00272, 4.17697, 0, 0, 1.15003, 14.7002, 2.82093, 0, 0, 0, 0, 0, 0.421029, 1510548, 7750, 406054
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,TPCC,false, 44209, 8, 15126,0,0,0,0, 15402, 23.614,1.0329e+06, 0.421889, 6.5143, 3.70218, 0, 0, 0.911195, 13.8304, 2.84104, 0, 0, 0, 0, 0, 0.448612, 1524427, 7906, 425361
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,4,0.5,true,16,true,TPCC,false, 23846, 4, 12676,0,0,0,0, 12775, 19.124,1.24424e+06, 0.147819, 3.68904, 1.62683, 0, 0, 1.25451, 10.7258, 1.31276, 0, 0, 0, 0, 0, 0.0874112, 1487176, 7333, 147007
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,4,0.5,true,16,true,TPCC,false, 24188, 4, 11436,0,0,0,0, 11527, 17.1013,1.37875e+06, 0.134665, 3.26953, 1.32772, 0, 0, 0.906968, 9.30899, 1.31455, 0, 0, 0, 0, 0, 0.0864296, 1473654, 7579, 149665
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,8,0.5,true,16,true,TPCC,false, 13628, 2, 10521,0,0,0,0, 10547, 15.9312,1.50573e+06, 0.0388707, 2.07532, 0.483964, 0, 0, 1.22102, 8.6879, 0.498791, 0, 0, 0, 0, 0, 0.0151532, 1499250, 7649, 36692
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,8,0.5,true,16,true,TPCC,false, 12963, 2, 9427,0,0,0,0, 9447, 14.2695,1.68102e+06, 0.0305471, 1.89691, 0.399898, 0, 0, 0.951628, 7.46326, 0.448929, 0, 0, 0, 0, 0, 0.0153725, 1499210, 7563, 39301
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,TPCC,false, 6997, 1, 13397,0,0,0,0, 13397, 18.7056,1.18464e+06, 0, 1.47573, 0.0177525, 0, 0, 2.26049, 10.0265, 0.0341431, 0, 0, 0, 0, 0, 7.918e-06, 1384963, 6997, 12
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,TPCC,false, 6902, 2, 13151,0,0,0,0, 13151, 18.1078,1.20654e+06, 2.9794e-05, 1.42333, 0.0173925, 0, 0, 2.03619, 9.59037, 0.0328607, 0, 0, 0, 0, 0, 7.991e-06, 1365488, 6901, 7
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,TPCC,false, 77654, 16, 23476,0,0,0,0, 24238, 38.6121,657043, 1.21224, 14.0724, 9.59086, 0, 0, 0.926068, 22.4379, 5.41914, 0, 0, 0, 0, 0, 2.93156, 1585616, 8113, 1004329
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,TPCC,false, 79346, 16, 26824,0,0,0,0, 27759, 44.1026,573769, 1.48377, 16.5136, 11.3651, 0, 0, 0.991805, 26.2813, 5.56289, 0, 0, 0, 0, 0, 3.61373, 1581546, 7916, 1025713
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,TPCC,false, 45127, 8, 14997,0,0,0,0, 15272, 24.1388,1.04192e+06, 0.4346, 6.64169, 3.77585, 0, 0, 1.11778, 13.9373, 2.91926, 0, 0, 0, 0, 0, 0.450018, 1571921, 7747, 445091
