ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,WOUND_WAIT,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 312, 0, 19979,0,0,0,0, 19981, 30.8795,800749, 0.0035021, 2.18882, 0, 0.287473, 10.9955, 2.27614, 18.387, 0.0583515, 0.240439, 1.03004, 0, 0, 163154056, 0.0215658, 1545420, 0, 612
50000,0,true,WOUND_WAIT,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 11328, 0, 17967,0,0,0,0, 18074, 27.8332,885231, 0.165186, 2.19415, 0, 0.282155, 9.98295, 1.68684, 16.2388, 0.915812, 0.2408, 1.05212, 0, 0, 151609797, 0.159389, 1539925, 0, 28185
50000,0,true,WOUND_WAIT,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 257801, 0, 40572,0,0,0,0, 47010, 72.9211,340364, 9.98439, 3.34031, 0, 0.749283, 8.61699, 2.66915, 17.1789, 19.9393, 0.405187, 1.74139, 0, 0, 212863459, 21.2174, 1551233, 0, 1059950
50000,0,true,WOUND_WAIT,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 1281865, 0, 57463,0,0,0,0, 101403, 160.863,157798, 69.6975, 4.44369, 0, 1.34009, 6.05917, 1.87304, 12.0867, 98.7566, 0.586262, 2.40859, 0, 0, 256746464, 24.7947, 1586488, 0, 3340827
50000,0,true,BAMBOO,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.3, 0, 0, 23106,0,0,0,0, 23106, 36.1223,692456, 0, 2.44649, 0.0222026, 0.54255, 11.7501, 2.90964, 21.0851, 0.0357572, 0.310216, 1.20201, 0.233645, 0.609752, 0, 1.0854e-05, 1563319, 0, 12
50000,0,true,BAMBOO,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.3, 52, 0, 19774,0,0,0,0, 19775, 30.1626,809092, 0.000826117, 2.22813, 0.0184898, 0.658362, 10.2771, 1.88643, 17.2299, 0.0370938, 0.281688, 1.06886, 0.189544, 0.57103, 0, 2.38e-06, 1525267, 0, 4
50000,0,true,BAMBOO,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 0, 0, 21706,0,0,0,0, 21706, 32.9196,737118, 0, 2.33458, 0.0402629, 0.511474, 8.80979, 3.03604, 18.8187, 0.0336644, 0.29735, 1.13516, 0.197027, 0.565976, 0, 1.4192e-05, 1516602, 0, 21
50000,0,true,BAMBOO,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 192, 0, 22944,0,0,0,0, 22947, 35.4306,697258, 0.00317201, 2.44353, 0.0204481, 0.728974, 11.2084, 3.22728, 20.5648, 0.0518096, 0.322355, 1.18128, 0.230466, 0.626263, 0, 2.3052e-05, 1544019, 0, 23
50000,0,true,BAMBOO,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 352, 0, 25801,0,0,0,0, 25806, 39.6693,619998, 0.00701939, 2.77994, 0.211154, 0.673046, 11.1123, 4.61919, 23.9096, 0.0657782, 0.340952, 1.27875, 0.303772, 0.648674, 0, 0.000976637, 1537180, 0, 1116
50000,0,true,BAMBOO,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 7601, 0, 23194,0,0,0,0, 23286, 34.2882,687091, 0.135527, 2.61555, 0.168475, 0.755143, 9.96118, 3.07835, 19.767, 0.631337, 0.33376, 1.19197, 0.237542, 0.661791, 0, 0.000503947, 1472443, 0, 563
