ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 24, 0, 18999,0,0,0,0, 19005, 27.9997,841846, 0.00909313, 1.60019, 0.0318394, 0, 0, 2.50893, 17.1726, 0.0385554, 0, 0, 0, 0, 0, 0.000299705, 1473213, 0, 250
50000,4,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 1569, 0, 20281,0,0,0,0, 20296, 30.9993,788296, 0.0235421, 1.73214, 0.0271015, 0, 0, 2.88797, 19.2233, 0.163618, 0, 0, 0, 0, 0, 0.00011104, 1527289, 0, 117
50000,8,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 23, 0, 16810,0,0,0,0, 16811, 25.4778,951756, 0.000460128, 1.75842, 0.27112, 0, 0, 2.34401, 15.1836, 0.0374629, 0, 0, 0, 0, 0, 0.000180227, 1515539, 0, 226
50000,8,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 1614, 0, 19103,0,0,0,0, 19118, 29.665,836890, 0.0231571, 1.72049, 0.041763, 0, 0, 2.77576, 17.7231, 0.166283, 0, 0, 0, 0, 0, 0.000122715, 1551646, 0, 130
50000,12,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 28, 0, 20141,0,0,0,0, 20141, 31.5967,794379, 0.000491357, 1.77235, 0.0548496, 0, 0, 2.99668, 19.664, 0.0426627, 0, 0, 0, 0, 0, 0.000226991, 1568733, 0, 236
50000,12,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 1576, 0, 20737,0,0,0,0, 20753, 31.5708,770954, 0.0239445, 1.75507, 0.0274447, 0, 0, 3.00453, 19.5375, 0.163546, 0, 0, 0, 0, 0, 0.000132039, 1521225, 0, 112
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 23543, 0, 16591,0,0,0,0, 16825, 25.3562,950937, 0.35293, 3.18522, 0.621846, 0, 0, 1.89161, 15.3818, 1.86447, 0, 0, 0, 0, 0, 0.0208522, 1507010, 0, 22329
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 67673, 0, 18831,0,0,0,0, 19582, 30.2183,817081, 1.15837, 2.85044, 0.368172, 0, 0, 2.30485, 15.7903, 5.28498, 0, 0, 0, 0, 0, 0.00822746, 1543177, 0, 10255
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 24206, 0, 17992,0,0,0,0, 18256, 27.6352,876422, 0.399572, 3.51412, 0.735759, 0, 0, 2.32799, 16.8951, 1.92459, 0, 0, 0, 0, 0, 0.0219995, 1513755, 0, 22153
50000,4,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 66907, 0, 19415,0,0,0,0, 20186, 30.8972,792647, 1.17929, 3.2077, 0.470505, 0, 0, 2.24137, 16.607, 5.22283, 0, 0, 0, 0, 0, 0.0115414, 1530659, 0, 12129
50000,8,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 24076, 0, 20990,0,0,0,0, 21329, 32.0552,750161, 0.508623, 3.85594, 0.931423, 0, 0, 2.96248, 20.2914, 1.90951, 0, 0, 0, 0, 0, 0.0225209, 1502911, 0, 20483
50000,8,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 67968, 0, 20520,0,0,0,0, 21394, 32.8637,747862, 1.3422, 3.00731, 0.392915, 0, 0, 2.47244, 17.8527, 5.30584, 0, 0, 0, 0, 0, 0.00920364, 1536093, 0, 10247
50000,12,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 24095, 0, 18703,0,0,0,0, 18966, 28.8731,843596, 0.400629, 3.582, 0.798778, 0, 0, 2.46074, 17.7857, 1.91218, 0, 0, 0, 0, 0, 0.0221941, 1522329, 0, 21937
50000,12,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 67763, 0, 21822,0,0,0,0, 22690, 34.5723,705169, 1.32084, 3.648, 0.908391, 0, 0, 2.7068, 19.3493, 5.28301, 0, 0, 0, 0, 0, 0.010312, 1523707, 0, 10946
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 265649, 0, 26368,0,0,0,0, 30480, 47.5301,524969, 6.4093, 8.50025, 3.15488, 0, 0, 1.89747, 18.2236, 20.5764, 0, 0, 0, 0, 0, 0.104189, 1559491, 0, 128970
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 313962, 0, 28951,0,0,0,0, 34449, 53.5039,464477, 8.53566, 9.1191, 2.93052, 0, 0, 2.01357, 19.8296, 24.3077, 0, 0, 0, 0, 0, 0.0912765, 1553208, 0, 97922
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 273644, 0, 28051,0,0,0,0, 32580, 50.7406,491126, 7.05081, 9.23631, 3.62748, 0, 0, 1.99515, 20.233, 21.1519, 0, 0, 0, 0, 0, 0.107634, 1557501, 0, 127950
50000,4,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 307983, 0, 28176,0,0,0,0, 33651, 52.381,475495, 8.51928, 9.57386, 3.42535, 0, 0, 1.80335, 19.4014, 23.8317, 0, 0, 0, 0, 0, 0.0867732, 1556682, 0, 96477
50000,8,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 263675, 0, 25766,0,0,0,0, 29794, 46.4173,537048, 6.27289, 8.13531, 2.8122, 0, 0, 1.74715, 17.5494, 20.4313, 0, 0, 0, 0, 0, 0.103949, 1558020, 0, 128920
50000,8,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 316184, 0, 28384,0,0,0,0, 33708, 53.0133,474691, 8.37067, 8.77575, 2.80793, 0, 0, 2.01994, 19.3106, 24.5145, 0, 0, 0, 0, 0, 0.0877323, 1572808, 0, 96439
50000,12,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 257177, 0, 24102,0,0,0,0, 27672, 43.5842,578231, 5.62058, 7.06259, 2.44011, 0, 0, 1.64039, 15.9049, 19.8796, 0, 0, 0, 0, 0, 0.0774915, 1575108, 0, 115594
50000,12,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 318461, 0, 28885,0,0,0,0, 34568, 54.0788,462886, 8.8866, 8.78505, 3.24554, 0, 0, 2.37276, 19.4833, 24.6468, 0, 0, 0, 0, 0, 0.0767007, 1564521, 0, 87558
50000,12,true,SILO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 90, 0, 15453,0,0,0,0, 15454, 24.0424,1.03533e+06, 0.0012498, 0.424726, 0, 0, 0, 1.95446, 4.63201, 0.0406205, 0, 0, 0, 0, 0, 0, 1555742, 0, 0
50000,12,true,SILO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 5029, 0, 17462,0,0,0,0, 17527, 27.3501,912872, 0.100857, 0.558109, 0, 0, 0, 3.31273, 8.22444, 0.434965, 0, 0, 0, 0, 0, 0, 1560446, 0, 0
50000,12,true,SILO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 154841, 0, 19885,0,0,0,0, 21795, 33.0779,734148, 2.8964, 0.712985, 0, 0, 0, 2.35724, 5.80396, 12.0256, 0, 0, 0, 0, 0, 0, 1517756, 0, 0
50000,12,true,SILO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 429622, 0, 23921,0,0,0,0, 28745, 44.0101,556686, 7.38021, 0.67594, 0, 0, 0, 1.08208, 2.16707, 33.1826, 0, 0, 0, 0, 0, 0, 1531236, 0, 0
