IC3_EAGER_EXEC,cycle_detect,cascading_abort_times,IC3_FIELD_LOCKING,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,IC3_RENDEZVOUS,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
true,0, 0,false, 0.499152, 0,100000,false, 3964,0.5, 0, 0.337027,0,LH_MCSLOCK,50000,IC3,2, 18947, 1.13452,TPCC, 790181, -3.5916,false, 5.84044,true,0,false,true,true,8,true,0, 0, 0, 15.0238,0, 0, 0.367402, 0, 0, 18868, 8459, 0.180786, 0,true,true,420761, 0, 0
true,0, 0,false, 0.151672, 0,100000,false, 3687,0.5, 0, 0.21649,0,LH_MCSLOCK,50000,IC3,4, 10176, 0.663413,TPCC, 713144, -0.244975,false, 1.41214,true,0,false,true,true,8,true,0, 0, 0, 7.27825,0, 0, 0.074271, 0, 0, 10169, 4459, 0.0342073, 0,true,true,783863, 0, 0
true,0, 0,false, 0.0222102, 0,100000,false, 3424,0.5, 0, 0.312351,0,LH_MCSLOCK,50000,IC3,8, 8366, 0.424682,TPCC, 685914, 1.17666,false, 0.046113,true,0,false,true,true,8,true,0, 0, 0, 5.7562,0, 0, 0.0134207, 0, 0, 8366, 3424, 0.00607775, 0,true,true,953286, 0, 0
true,0, 0,false, 0.0232624, 0,100000,false, 3436,0.5, 0, 0.609137,0,LH_MCSLOCK,50000,IC3,16, 9390, 0.463652,TPCC, 689135, 1.59215,false, 0.0475829,true,0,false,true,true,8,true,0, 0, 0, 6.49005,0, 0, 0.014043, 0, 0, 9390, 3436, 0.00601589, 0,true,true,849466, 0, 0
true,0, 0,false, 5.31096, 0,100000,false, 7906,0.5, 0, 0.509787,0,LH_MCSLOCK,50000,IC3,1, 66091, 2.97609,TPCC, 1589333, -39.9466,false, 44.4065,true,0,false,true,true,16,true,0, 0, 0, 105.476,0, 0, 7.00938, 0, 0, 63678, 97738, 0.57597, 0,true,true,241091, 0, 0
true,0, 0,false, 1.49428, 0,100000,false, 7492,0.5, 0, 0.429496,0,LH_MCSLOCK,50000,IC3,2, 29669, 2.08415,TPCC, 1509414, -16.9626,false, 20.6333,true,0,false,true,true,16,true,0, 0, 0, 44.9599,0, 0, 2.34917, 0, 0, 29275, 37459, 0.469187, 0,true,true,537159, 0, 0
true,0, 0,false, 0.78503, 0,100000,false, 6887,0.5, 0, 0.40674,0,LH_MCSLOCK,50000,IC3,4, 17508, 1.78908,TPCC, 1382545, -5.90813,false, 9.27849,true,0,false,true,true,16,true,0, 0, 0, 24.2856,0, 0, 0.644961, 0, 0, 17435, 14799, 0.280785, 0,true,true,910857, 0, 0
true,0, 0,false, 0.405022, 0,100000,false, 7107,0.5, 0, 0.664664,0,LH_MCSLOCK,50000,IC3,8, 12288, 1.41018,TPCC, 1392271, 0.101188,false, 3.54042,true,0,false,true,true,16,true,0, 0, 0, 17.1519,0, 0, 0.138645, 0, 0, 12281, 8500, 0.0714583, 0,true,true,1.29877e+06, 0, 0
true,0, 0,false, 0.0430664, 0,100000,false, 6417,0.5, 0, 1.17423,0,LH_MCSLOCK,50000,IC3,16, 9836, 0.908155,TPCC, 1283927, 2.88936,false, 0.0911211,true,0,false,true,true,16,true,0, 0, 0, 12.663,0, 0, 0.0265901, 0, 0, 9836, 6417, 0.0110402, 0,true,true,1.62228e+06, 0, 0
true,0, 0,false, 45.146, 0,100000,false, 15822,0.5, 0, 1.07029,0,LH_MCSLOCK,50000,IC3,1, 136689, 15.7193,TPCC, 3166964, -148.12,false, 157.688,true,0,false,true,true,32,true,0, 0, 0, 434.66,0, 0, 31.6595, 0, 0, 124123, 422782, 1.25009, 0,true,true,233154, 0, 0
true,0, 0,false, 11.5814, 0,100000,false, 15738,0.5, 0, 1.13519,0,LH_MCSLOCK,50000,IC3,2, 71665, 6.40983,TPCC, 3119515, -84.7619,false, 94.6301,true,0,false,true,true,32,true,0, 0, 0, 224.487,0, 0, 14.1126, 0, 0, 69027, 196927, 1.25402, 0,true,true,444677, 0, 0
true,0, 0,false, 4.11649, 0,100000,false, 14966,0.5, 0, 1.28214,0,LH_MCSLOCK,50000,IC3,4, 37762, 5.31682,TPCC, 2974074, -42.8247,false, 52.26,true,0,false,true,true,32,true,0, 0, 0, 112.752,0, 0, 4.64477, 0, 0, 37262, 73790, 1.16267, 0,true,true,844065, 0, 0
true,0, 0,false, 1.88041, 0,100000,false, 12634,0.5, 0, 1.60653,0,LH_MCSLOCK,50000,IC3,8, 21422, 3.90856,TPCC, 2541530, -12.7021,false, 21.0325,true,0,false,true,true,32,true,0, 0, 0, 54.618,0, 0, 1.12119, 0, 0, 21338, 26123, 0.591449, 0,true,true,1.48905e+06, 0, 0
true,0, 0,false, 0.851466, 0,100000,false, 12530,0.5, 0, 2.02102,0,LH_MCSLOCK,50000,IC3,16, 13895, 2.88332,TPCC, 2532730, -0.453549,false, 6.93273,true,0,false,true,true,32,true,0, 0, 0, 35.2789,0, 0, 0.233702, 0, 0, 13887, 14815, 0.14794, 0,true,true,2.29733e+06, 0, 0
