ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,LATCH,LONG_TXN_RATIO,LONG_TXN_READ_RATIO,MAX_ROW_PER_TXN,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,READ_PERC,REQ_PER_QUERY,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,TERMINATE_BY_COUNT,THREAD_CNT,UNSET_NUMA,WARMUP,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,64,false,100,YCSB,false,0.9, 138251, 1516, 0, 0, 0, 631388,0,0,0,0, 635960, 0, 0, 0, 637.498,104665, 4.74122, 550.541, 540.236, 0, 0, 0, 1.79747, 591.122, 10.92, 0, 0, 0, 0, 0, 0, 0.505493, 1042561, 52091, 0, 128122
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,64,false,100,YCSB,false,0.9, 140153, 1480, 0, 0, 0, 626304,0,0,0,0, 630814, 0, 0, 0, 638.182,105519, 4.71898, 550.44, 540.031, 0, 0, 0, 1.9354, 591.348, 11.0673, 0, 0, 0, 0, 0, 0, 0.491773, 1052190, 52559, 0, 128633
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,64,false,100,YCSB,false,0.9, 139935, 1473, 0, 0, 0, 627494,0,0,0,0, 632020, 0, 0, 0, 638.424,105335, 4.72861, 550.861, 540.453, 0, 0, 0, 1.87909, 591.693, 11.042, 0, 0, 0, 0, 0, 0, 0.510407, 1050756, 52499, 0, 129719
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,64,false,100,YCSB,false,0.9, 137527, 1496, 0, 0, 0, 634026,0,0,0,0, 638564, 0, 0, 0, 636.853,104224, 4.67885, 550.157, 539.849, 0, 0, 0, 1.92904, 590.647, 10.8542, 0, 0, 0, 0, 0, 0, 0.521972, 1037114, 51857, 0, 129248
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,32,false,100,YCSB,false,0.9, 101338, 1644, 0, 0, 0, 295721,0,0,0,0, 298407, 0, 0, 0, 318.258,116388, 3.09013, 230.539, 220.606, 0, 0, 0, 1.74866, 273.232, 8.01781, 0, 0, 0, 0, 0, 0, 0.107783, 1157546, 57832, 0, 65165
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,32,false,100,YCSB,false,0.9, 102946, 1706, 0, 0, 0, 292866,0,0,0,0, 295598, 0, 0, 0, 319.33,117516, 3.18481, 230.576, 220.265, 0, 0, 0, 1.53449, 273.904, 8.15049, 0, 0, 0, 0, 0, 0, 0.123522, 1172703, 58593, 0, 69284
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,32,false,100,YCSB,false,0.9, 102144, 1697, 0, 0, 0, 296425,0,0,0,0, 299221, 0, 0, 0, 319.006,116055, 3.21538, 231.166, 221.014, 0, 0, 0, 1.53586, 274.014, 8.07441, 0, 0, 0, 0, 0, 0, 0.120053, 1156943, 57820, 0, 68058
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,32,false,100,YCSB,false,0.9, 103283, 1730, 0, 0, 0, 293392,0,0,0,0, 296144, 0, 0, 0, 319.198,117262, 3.19893, 230.332, 219.994, 0, 0, 0, 1.5432, 273.672, 8.17337, 0, 0, 0, 0, 0, 0, 0.124008, 1169681, 58433, 0, 69523
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,32,false,100,YCSB,false,0.9, 103058, 1728, 0, 0, 0, 293872,0,0,0,0, 296640, 0, 0, 0, 319.115,117050, 3.20842, 230.584, 220.262, 0, 0, 0, 1.52328, 273.772, 8.1412, 0, 0, 0, 0, 0, 0, 0.128968, 1167266, 58310, 0, 70375
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,16,false,100,YCSB,false,0.9, 36140, 1242, 0, 0, 0, 175536,0,0,0,0, 176929, 0, 0, 0, 159.576,104024, 1.4379, 87.1215, 78.9786, 0, 0, 0, 1.34199, 124.605, 2.89342, 0, 0, 0, 0, 0, 0, 0.0188821, 1037485, 51845, 0, 15918
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,16,false,100,YCSB,false,0.9, 36545, 1284, 0, 0, 0, 173973,0,0,0,0, 175399, 0, 0, 0, 159.385,105140, 1.48665, 86.2494, 77.9842, 0, 0, 0, 1.36192, 124.088, 2.92244, 0, 0, 0, 0, 0, 0, 0.0190962, 1047354, 52352, 0, 16071
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,16,false,100,YCSB,false,0.9, 35889, 1162, 0, 0, 0, 176002,0,0,0,0, 177305, 0, 0, 0, 159.593,103866, 1.34303, 87.1584, 79.0077, 0, 0, 0, 1.33898, 124.71, 2.87384, 0, 0, 0, 0, 0, 0, 0.0192497, 1036021, 51764, 0, 16111
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,16,false,100,YCSB,false,0.9, 35822, 1158, 0, 0, 0, 177450,0,0,0,0, 178776, 0, 0, 0, 159.491,102947, 1.35384, 87.8017, 79.7025, 0, 0, 0, 1.32581, 124.939, 2.87216, 0, 0, 0, 0, 0, 0, 0.0191702, 1026194, 51301, 0, 15887
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0.05,1,1000,10,100000,true,true,false,true,false,0.5,16,false,100000000,false,16,false,100,YCSB,false,0.9, 36717, 1228, 0, 0, 0, 173835,0,0,0,0, 175199, 0, 0, 0, 159.611,105300, 1.42448, 86.7019, 78.444, 0, 0, 0, 1.35452, 124.47, 2.93889, 0, 0, 0, 0, 0, 0, 0.0220588, 1050435, 52518, 0, 17895
