BB_ALWAYS_RETIRE_READ,cycle_detect,cascading_abort_times,time_abort,time_get_cs,PF_CS,MAX_TXN_PER_PART,MAX_RUNTIME,deadlock_cnt,user_abort_cnt,BB_PRECOMMIT,max_abort_length,COMPILE_ONLY,txn_cnt_long,time_index,ZIPF_THETA,LATCH,time_semaphore_cs,ABORT_PENALTY,CC_ALG,OUTPUT_TO_FILE,latency,time_cleanup,LONG_TXN_RATIO,TERMINATE_BY_COUNT,BB_AUTORETIRE,txn_cnt,READ_PERC,time_man,SYNTH_TABLE_SIZE,BB_LAST_RETIRE,time_release_cs,WW_STARV_FREE,time_wait,EXEC_ONLY,MAX_ROW_PER_TXN,UNSET_NUMA,time_copy,PF_BASIC,REQ_PER_QUERY,PF_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,NDEBUG,time_get_latch,WORKLOAD,run_time,dl_detect_time,time_release_latch,time_query,wait_cnt,time_retire_latch,BB_DYNAMIC_TS,abort_cnt_long,commit_latency,abort_cnt,time_commit,abort_length,throughput,time_retire_cs,SYNTHETIC_YCSB,time_ts_alloc
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.367454,0,LH_MCSLOCK, 0,50000,WOUND_WAIT,true, 13133, 0.599271,0,true,false, 1000000,0.5, 7.62606,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 13.1334,0, 0, 0.0176548, 0, 0,true, 0, 13133, 0, 0, 0,76141.6, 0,false, 21871316
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.347971,0,LH_MCSLOCK, 0,50000,WOUND_WAIT,true, 13016, 0.612882,0,true,false, 1000000,0.5, 7.59896,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 13.0161,0, 0, 0.0177069, 0, 0,true, 0, 13016, 0, 0, 0,76827.9, 0,false, 21888260
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.36193,0,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 12878, 0.519759,0,true,false, 1000000,0.5, 7.46021,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 12.8782,0, 0, 0.0472489, 0, 0,true, 0, 12878, 0, 0, 0,77650.8, 0,false, 22497038
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.371468,0,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 13002, 0.527029,0,true,false, 1000000,0.5, 7.5431,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 13.0021,0, 0, 0.0482742, 0, 0,true, 0, 13002, 0, 0, 0,76910.4, 0,false, 22938280
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.374535,0,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 12951, 0.514679,0,true,false, 1000000,0.5, 7.50518,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 12.9519,0, 0, 0.0472769, 0, 0,true, 0, 12951, 0, 0, 0,77208.8, 0,false, 22499852
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.374327,0,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 13087, 0.510708,0,true,false, 1000000,0.5, 7.56816,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 13.0873,0, 0, 0.047304, 0, 0,true, 0, 13087, 0, 0, 0,76409.7, 0,false, 22474972
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.385562,0,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 13189, 0.539449,0,true,false, 1000000,0.5, 7.6256,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 13.1897,0, 0, 0.0492337, 0, 0,true, 0, 13189, 0, 0, 0,75816.5, 0,false, 23418636
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.379888,0,LH_MCSLOCK, 0,50000,NO_WAIT,true, 13140, 0.513174,0,true,false, 1000000,0.5, 7.59777,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 13.1409,0, 0, 0.0175272, 0, 0,true, 0, 13140, 0, 0, 0,76098.4, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.353066,0,LH_MCSLOCK, 0,50000,NO_WAIT,true, 13061, 0.528759,0,true,false, 1000000,0.5, 7.59637,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 13.062,0, 0, 0.0176264, 0, 0,true, 0, 13061, 0, 0, 0,76558.1, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.328427,0,LH_MCSLOCK, 0,50000,NO_WAIT,true, 12952, 0.530502,0,true,false, 1000000,0.5, 7.5643,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 12.9523,0, 0, 0.0176724, 0, 0,true, 0, 12952, 0, 0, 0,77206.2, 0,false, 0
