ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_READ,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,true,0,true,false,true,WR,0,false,100000,0,SPECIFIED,0.1,16,false,0.1,true,false,1024*1024*10,1,YCSB,false,0.5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001079,-nan,0.000000,0.000000,0.000021,2.099035,47640.942375,0.000000,0.036593,0.319352,1.237491,0.001009,0.000000,0.000000,100000
50000,CLV,true,0,true,false,true,WR,0,false,100000,0,SPECIFIED,0.1,16,false,0.1,true,false,1024*1024*10,2,YCSB,false,0.5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002239,-nan,0.000000,0.000000,0.000047,9.078585,42490.103115,0.000000,0.104710,1.738860,5.976165,0.002230,0.000000,0.000006,192875
50000,CLV,true,0,true,false,true,WR,0,false,100000,0,SPECIFIED,0.1,16,false,0.1,true,false,1024*1024*10,4,YCSB,false,0.5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004648,-nan,0.000000,0.000000,0.000031,11.606773,127285.676555,0.000000,0.184685,1.744129,7.378960,0.006347,0.000000,0.000040,369344
50000,CLV,true,0,true,false,true,WR,0,false,100000,0,SPECIFIED,0.1,16,false,0.1,true,false,1024*1024*10,8,YCSB,false,0.5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008946,-nan,0.000000,0.000000,0.000023,16.849812,343206.672863,0.000000,0.352810,2.166035,9.897606,0.008592,0.000000,0.000362,722871
50000,CLV,true,0,true,false,true,WR,0,false,100000,0,SPECIFIED,0.1,16,false,0.1,true,false,1024*1024*10,16,YCSB,false,0.5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019164,-nan,0.000000,0.000000,0.000021,31.865273,771516.241877,0.000000,0.744379,3.319118,18.705875,0.018655,0.000000,0.002002,1536536
50000,CLV,true,0,true,false,true,WR,0,false,100000,0,SPECIFIED,0.1,16,false,0.1,true,false,1024*1024*10,32,YCSB,false,0.5,4,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040968,-nan,0.000000,0.000000,0.000025,76.031637,1255314.907775,0.000072,1.765569,9.943245,45.072206,0.039902,0.000000,0.074340,2982614
50000,CLV,true,0,true,false,true,WR,0,false,100000,0,SPECIFIED,0.3,16,false,0.1,true,false,1024*1024*10,1,YCSB,false,0.5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001079,-nan,0.000000,0.000000,0.000021,2.078071,48121.553250,0.000000,0.042029,0.321773,1.246467,0.001044,0.000000,0.000000,100000
50000,CLV,true,0,true,false,true,WR,0,false,100000,0,SPECIFIED,0.3,16,false,0.1,true,false,1024*1024*10,2,YCSB,false,0.5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002062,-nan,0.000000,0.000000,0.000040,7.301875,49503.177805,0.000000,0.099260,1.351343,4.700175,0.002074,0.000000,0.000005,180733
50000,CLV,true,0,true,false,true,WR,0,false,100000,0,SPECIFIED,0.3,16,false,0.1,true,false,1024*1024*10,4,YCSB,false,0.5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004309,-nan,0.000000,0.000000,0.000031,11.292306,131117.235029,0.000000,0.200969,1.757527,7.012400,0.006528,0.000000,0.000126,370154
50000,CLV,true,0,true,false,true,WR,0,false,100000,0,SPECIFIED,0.3,16,false,0.1,true,false,1024*1024*10,8,YCSB,false,0.5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008909,-nan,0.000000,0.000000,0.000021,15.532326,387106.472751,0.000000,0.391221,1.502954,9.345481,0.008947,0.000000,0.001746,751583
