ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_CLV,DEBUG_PROFILING,DYNAMIC_TS,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,REORDER_WH,RETIRE_ON,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
0,WAIT_DIE,,,false,false,false,false,100000,1,0,false,true,true,16,TPCC,684393,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000057,77.001932,279941.857681,15.115219,27.959651,1.952965,50.242615,0.843324,0.755636,2.826569,1347254
0,NO_WAIT,,,false,false,false,false,100000,1,0,false,true,true,16,TPCC,926411,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000064,81.290866,250273.629907,25.451877,32.299120,1.673297,47.407088,0.084446,0.000000,0.000000,1271560
0,CLV,,,false,false,false,false,100000,1,0.5,false,true,true,16,TPCC,12166,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000047,70.848197,342809.120504,0.482231,8.969955,0.976207,26.498695,0.064032,0.000000,29.851898,1517963
0,WOUND_WAIT,,,false,false,false,false,100000,1,0.5,false,true,true,16,TPCC,19003,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000118,188.716018,135219.979392,1.850971,1.630732,1.593717,11.666756,0.349992,0.270455,167.475550,1594886
0,WAIT_DIE,,,false,false,false,false,100000,1,0.5,false,true,true,16,TPCC,16487521,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000164,257.268002,97826.887909,114.942380,15.749324,1.463823,49.962735,1.476894,0.848622,85.246561,1572983
0,NO_WAIT,,,false,false,false,false,100000,1,0.5,false,true,true,16,TPCC,24758657,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000280,379.972346,57174.518680,324.902254,21.932576,1.195552,48.396115,0.844004,0.000000,0.000000,1357796
0,CLV,,,false,false,false,false,100000,1,1,false,true,true,16,TPCC,2727,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000052,83.147272,305773.592412,0.158657,6.896751,0.564287,17.531361,0.053183,0.000000,58.067455,1589015
0,WOUND_WAIT,,,false,false,false,false,100000,1,1,false,true,true,16,TPCC,4,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000043,68.383016,374050.773119,0.000158,0.815897,0.379862,3.394231,0.302507,0.225052,62.322026,1598670
0,WAIT_DIE,,,false,false,false,false,100000,1,1,false,true,true,16,TPCC,20235452,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000229,348.951296,70009.082264,224.006204,19.216015,0.233077,61.251791,1.798715,1.040584,60.593968,1526860
0,NO_WAIT,,,false,false,false,false,100000,1,1,false,true,true,16,TPCC,25043867,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000296,380.852934,54001.400948,340.812172,19.007598,0.122376,37.500652,0.847040,0.000000,0.000000,1285412
0,CLV,,,false,false,false,false,100000,1,0,false,true,true,16,TPCC,5669,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000038,57.383121,424555.227157,0.144697,12.899056,1.366076,40.395716,0.068912,0.000000,0.039083,1522644
0,WOUND_WAIT,,,false,false,false,false,100000,1,0,false,true,true,16,TPCC,185947,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000051,80.301937,311177.949941,6.639635,18.929189,2.485271,46.682022,0.742389,0.656479,15.309522,1561762
0,WAIT_DIE,,,false,false,false,false,100000,1,0,false,true,true,16,TPCC,865780,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000055,71.779694,290937.100946,15.944239,25.534596,1.940846,43.339135,0.625220,0.531268,3.306774,1305211
0,NO_WAIT,,,false,false,false,false,100000,1,0,false,true,true,16,TPCC,943870,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000066,88.951724,240959.287280,27.654681,35.360908,1.802663,52.125025,0.083566,0.000000,0.000000,1339609
0,CLV,,,false,false,false,false,100000,1,0.5,false,true,true,16,TPCC,12596,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000055,86.172180,291267.646074,0.595896,10.452351,1.084734,31.609585,0.063161,0.000000,38.041717,1568698
0,WOUND_WAIT,,,false,false,false,false,100000,1,0.5,false,true,true,16,TPCC,18798,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000119,189.327787,134899.416346,1.838857,1.581095,1.637781,11.639755,0.359025,0.281505,168.176768,1596263
0,WAIT_DIE,,,false,false,false,false,100000,1,0.5,false,true,true,16,TPCC,16581611,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000159,248.206115,100557.716067,110.147211,15.039089,1.482166,47.831373,1.448756,0.810519,83.100320,1559940
0,NO_WAIT,,,false,false,false,false,100000,1,0.5,false,true,true,16,TPCC,25605639,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000297,418.615270,53820.798209,358.146850,24.417875,1.249429,53.511676,0.876656,0.000000,0.000000,1408138
0,CLV,,,false,false,false,false,100000,1,1,false,true,true,16,TPCC,2276,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000054,86.040503,294498.325598,0.141909,7.019256,0.577043,18.052009,0.053715,0.000000,60.269030,1583674
0,WOUND_WAIT,,,false,false,false,false,100000,1,1,false,true,true,16,TPCC,4,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000045,72.366356,353425.006430,0.000189,0.941333,0.402219,3.679619,0.336128,0.256715,65.974167,1598505
0,WAIT_DIE,,,false,false,false,false,100000,1,1,false,true,true,16,TPCC,20276418,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000221,341.295312,72372.092799,218.377264,18.160560,0.226864,59.988305,1.737593,0.978601,59.885546,1543766
0,NO_WAIT,,,false,false,false,false,100000,1,1,false,true,true,16,TPCC,27189326,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000297,414.131001,53939.028780,370.616827,20.504069,0.133917,40.665176,0.976136,0.000000,0.000000,1396114
