ABORT_PENALTY,CC_ALG,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,pf,100000,1,true,4,TPCC,6465,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,8.839436,179184.741235,0.066140,3.485943,0.212874,6.070534,0.012829,0.000000,0.062043,395973
1,CLV,pf,100000,1,true,2,TPCC,1229,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,3.110536,127184.502461,0.008697,0.840016,0.092075,1.988378,0.005801,0.000000,0.004856,197806
1,CLV,pf,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.573463,174379.284556,0.000000,0.033900,0.066957,0.189182,0.002537,0.000000,0.000000,100000
1,CLV,pf,100000,16,true,16,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,21.798557,1005388.404488,0.000000,0.975180,3.429939,11.056743,0.045658,0.000000,0.001403,1369751
1,CLV,pf,100000,16,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,10.188276,547120.648136,0.000000,0.426446,1.750823,5.066926,0.022467,0.000000,0.000334,696777
1,CLV,pf,100000,16,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,4.805898,298110.374227,0.000000,0.200938,0.775690,2.243660,0.010660,0.000000,0.000033,358172
1,CLV,pf,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,2.302827,170355.805370,0.000000,0.097869,0.396498,1.073388,0.005328,0.000000,0.000000,196150
1,CLV,pf,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.926452,107938.667039,0.000000,0.036791,0.135343,0.269113,0.002733,0.000000,0.000000,100000
1,CLV,pf,100000,8,true,16,TPCC,10862,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,27.448563,814266.024430,0.078262,7.112455,1.645896,16.990605,0.048495,0.000000,0.065654,1396902
1,CLV,pf,100000,8,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,7.740133,779369.586899,0.000000,0.416695,0.814749,3.836406,0.020982,0.000000,0.000452,754053
