ABORT_PENALTY,CC_ALG,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,1000,4,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000028,0.088239,143292.427523,0.000000,0.003396,0.010243,0.048757,0.000183,0.000000,0.000001,3161
1,CLV,1000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.058276,63285.257130,0.000000,0.001503,0.005559,0.032944,0.000086,0.000000,0.000000,1844
1,CLV,1000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,0.018856,53033.202179,0.000000,0.000650,0.001602,0.007239,0.000046,0.000000,0.000000,1000
1,CLV,100000,4,true,16,TPCC,32690,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,39.791263,619469.854996,0.365992,15.557883,1.145750,27.136123,0.053175,0.000000,0.210088,1540593
1,CLV,100000,4,true,8,TPCC,5184,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,12.154812,473208.464155,0.032546,3.108508,0.527685,7.378152,0.023594,0.000000,0.024711,718970
1,CLV,100000,4,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,3.479469,439485.428497,0.000000,0.209072,0.327912,1.714355,0.010227,0.000000,0.000257,382294
1,CLV,100000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,1.643538,239025.781033,0.000000,0.095072,0.165054,0.824797,0.005215,0.000000,0.000021,196424
1,CLV,100000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.808218,123728.971865,0.000000,0.035937,0.106377,0.305432,0.002650,0.000000,0.000000,100000
1,CLV,1000,2,true,16,TPCC,2277,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000072,0.877269,221669.751110,0.063944,0.411825,0.040929,0.634252,0.000740,0.000000,0.009453,12154
1,CLV,1000,2,true,8,TPCC,311,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000054,0.311847,147892.883634,0.008236,0.105466,0.022088,0.218018,0.000311,0.000000,0.002483,5765
1,CLV,1000,2,true,4,TPCC,37,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000053,0.145691,75968.875659,0.000391,0.030412,0.014431,0.100686,0.000132,0.000000,0.001041,2767
1,CLV,1000,2,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000040,0.061251,50447.757315,0.000000,0.001451,0.007943,0.036386,0.000070,0.000000,0.000008,1545
1,CLV,1000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.018285,54690.976295,0.000000,0.000440,0.002341,0.008686,0.000030,0.000000,0.000000,1000
1,CLV,100000,2,true,16,TPCC,82847,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,47.771574,523818.121658,1.379153,22.953610,0.995559,34.678244,0.060119,0.000000,0.958353,1563976
1,CLV,100000,2,true,8,TPCC,14377,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000024,18.484718,340389.726374,0.149916,7.126806,0.490211,12.780864,0.026796,0.000000,0.125156,786501
1,CLV,100000,2,true,4,TPCC,2678,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,6.655307,236577.531331,0.020000,1.782855,0.258339,4.192696,0.012298,0.000000,0.012341,393624
1,CLV,100000,2,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.625148,230461.463875,0.000000,0.095387,0.167341,0.869006,0.005020,0.000000,0.000067,187267
1,CLV,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.668217,149651.996852,0.000000,0.035767,0.073255,0.234935,0.002692,0.000000,0.000000,100000
1,CLV,1000,1,true,16,TPCC,3101,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000056,0.877679,288086.969852,0.091808,0.472043,0.008821,0.598361,0.000725,0.000000,0.061759,15803
1,CLV,1000,1,true,8,TPCC,502,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000029,0.225949,280629.307150,0.006922,0.108664,0.004501,0.160597,0.000393,0.000000,0.002865,7926
1,CLV,1000,1,true,4,TPCC,76,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000023,0.090309,176594.391119,0.000772,0.035685,0.002532,0.060061,0.000209,0.000000,0.000381,3987
1,CLV,1000,1,true,2,TPCC,12,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,0.038426,103314.914999,0.000100,0.010932,0.001687,0.023957,0.000111,0.000000,0.000126,1985
1,CLV,1000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.007850,127385.094823,0.000000,0.000342,0.000741,0.002589,0.000026,0.000000,0.000000,1000
1,CLV,100000,1,true,16,TPCC,192400,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000069,110.382184,231277.177343,7.292920,56.296658,0.905505,72.603703,0.060561,0.000000,16.137408,1595555
