ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_READ,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,1,TOP,1,16,False,0.0,True,True,1024*1024*20,1,YCSB,False,0,0,0,0,0.305131,0.0,0.0,0.0,0.0,0.0,0.0,0.023205,0.0,0.0,,0.0,0.0,1.9e-05,1.946716,51368.552421,0.0,0.067744,0.463329,1.050727,0.000996,0.002167,0.0,100000
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,1,TOP,1,16,False,0.0,True,True,1024*1024*20,2,YCSB,False,0,2,0,0,1.526176,1.0,1.0,0.0,0.0,0.0,0.0,0.15686,0.0,0.0,,0.0,0.0,8.1e-05,16.135435,24774.169688,2.8000000000000006e-05,0.254118,2.495902,4.412319,0.001903,0.029269,8.035468,199871
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,1,TOP,1,16,False,0.0,True,True,1024*1024*20,4,YCSB,False,0,2,0,0,2.979971,1.0,1.0,0.0,0.0,0.0,0.0,0.278525,0.0,0.0,,0.0,0.0,0.000136,54.592102,29308.269056,7.3e-05,0.45419,3.817287,7.460553,0.004156,0.052157,41.008735,400000
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,1,TOP,1,16,False,0.0,True,True,1024*1024*20,8,YCSB,False,0,1,0,0,5.62751,1.0,1.0,0.0,0.0,0.0,0.0,0.502599,0.0,0.0,,0.0,0.0,0.000223,178.455715,35862.29776,0.000157,0.8918520000000001,5.09596,12.399747,0.007365999999999998,0.127217,156.075947,799979
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,1,TOP,1,16,False,0.0,True,True,1024*1024*20,16,YCSB,False,0,1,0,0,10.945604,1.0,1.0,0.0,0.0,0.0,0.0,0.990858,0.0,0.0,,0.0,0.0,0.000409,655.10422,39077.751599,5.400000000000001e-05,1.850713,8.495206,23.271588,0.014264,0.229685,613.305747,1600000
50000,WOUND_WAIT,1,True,False,True,WR,1,0,False,100000,1,TOP,1,16,False,0.0,True,True,1024*1024*20,32,YCSB,False,0,1,0,0,21.69783,0.0,0.0,0.0,0.0,0.0,0.0,1.818376,0.0,0.0,,0.0,0.0,0.000766,2450.865216,41781.071974,0.00293,3.363137,14.136878,45.653593,0.0275,0.340614,2370.784251,3199993
50000,WAIT_DIE,1,True,False,True,WR,1,0,False,100000,1,TOP,1,16,False,0.0,True,True,1024*1024*20,1,YCSB,False,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2e-05,2.007879,49803.793151,0.0,0.034938,0.460714,1.149103,0.003766,0.002008,0.0,100000
50000,WAIT_DIE,1,True,False,True,WR,1,0,False,100000,1,TOP,1,16,False,0.0,True,True,1024*1024*20,2,YCSB,False,0,57141,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.600000000000001e-05,11.116459,35021.584685,0.181816,0.103612,1.4014209999999998,3.03119,4.425393,0.01141,1.104945,194658
50000,WAIT_DIE,1,True,False,True,WR,1,0,False,100000,1,TOP,1,16,False,0.0,True,True,1024*1024*20,4,YCSB,False,0,242265,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.1e-05,29.519494,53969.62343099999,5.075177,0.183602,1.354349,3.868854,18.620133,0.020689,3.4380050000000004,398289
50000,WAIT_DIE,1,True,False,True,WR,1,0,False,100000,1,TOP,1,16,False,0.0,True,True,1024*1024*20,8,YCSB,False,0,1096869,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.8e-05,119.745021,53377.684968,41.289768,0.396088,2.375713,8.301899,84.175561,0.050971,20.208673,798964
