ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_CLV,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,MAX_TXN_PER_PART,MERGE_HS,NUM_WH,PERC_PAYMENT,PRIORITIZE_HS,REORDER_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,16,TPCC,445254,0,0,11.888498,0.000000,0.000000,3.290089,7.254628,0.940670,9.085887,1.982616,15.290087,0.000000,0.000000,0.000000,0.000078,124.676151,205206.463612,20.997261,25.627015,0.217809,33.932189,0.458436,0.359247,60.064709,1599022
1,CLV,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,16,TPCC,472711,0,0,12.186491,0.000000,0.000000,3.377821,7.418301,0.989935,9.424438,2.049256,16.468273,0.000000,0.000000,0.000000,0.000080,128.030043,199854.092721,22.354446,27.146364,0.209625,35.480258,0.458566,0.357649,60.433296,1599208
1,CLV,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,8,TPCC,683590,0,0,6.410442,0.000000,0.000000,1.342376,4.368762,0.599209,5.570219,1.142551,2.633029,0.000000,0.000000,0.000000,0.000048,38.086289,167419.617289,16.624630,9.358354,0.104582,10.017977,0.264869,0.201023,7.218799,797049
1,CLV,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,4,TPCC,95487,0,0,0.787392,0.000000,0.000000,0.277544,0.655956,0.122233,0.742117,0.219313,0.216677,0.000000,0.000000,0.000000,0.000011,4.499727,351602.649830,0.894330,1.326937,0.048414,2.067149,0.081807,0.062098,0.298929,395529
1,CLV,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,2,TPCC,974,0,0,0.104858,0.000000,0.000000,0.049225,0.074127,0.011828,0.065978,0.024852,0.009526,0.000000,0.000000,0.000000,0.000003,0.669293,586980.916216,0.005405,0.139520,0.019478,0.336464,0.028686,0.021245,0.006154,196431
1,CLV,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,1,TPCC,0,0,0,0.008247,0.000000,0.000000,0.015330,0.005609,0.004562,0.003899,0.007111,0.001166,0.000000,0.000000,0.000000,0.000002,0.164402,608265.639045,0.000000,0.025790,0.007201,0.067465,0.006313,0.002749,0.000000,100000
1,WOUND_WAIT,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,16,TPCC,2959164,0,0,15.289743,12599842.000000,0.000000,0.000000,0.000000,0.000000,8.049819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000056,88.030645,287861.938386,64.665576,9.495382,0.245898,12.516790,0.668190,0.487486,8.262837,1583792
1,WOUND_WAIT,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,8,TPCC,958408,0,0,3.573882,4815896.000000,0.000000,0.000000,0.000000,0.000000,2.300375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,15.930233,395695.897536,8.037099,2.801430,0.125203,4.245978,0.289979,0.193880,2.339717,787941
1,WOUND_WAIT,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,4,TPCC,108709,0,0,0.489057,1471374.000000,0.000000,0.000000,0.000000,0.000000,0.416587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,2.277165,687412.653780,0.435842,0.529120,0.055900,0.994009,0.073608,0.051577,0.368294,391338
1,WOUND_WAIT,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,2,TPCC,3473,0,0,0.090071,607139.000000,0.000000,0.000000,0.000000,0.000000,0.048693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.465556,854513.705998,0.010637,0.080163,0.024202,0.210365,0.025904,0.017319,0.029384,198912
1,WOUND_WAIT,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,1,TPCC,0,0,0,0.007917,300000.000000,0.000000,0.000000,0.000000,0.000000,0.004647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.125073,799531.129361,0.000000,0.016022,0.007959,0.045367,0.006779,0.002690,0.000000,100000
1,WAIT_DIE,17,0,false,false,true,false,false,100000,false,1,1,false,true,true,16,TPCC,29657288,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000091,143.918213,176118.140564,91.920133,19.416168,0.168928,29.273424,2.349913,1.241319,19.526746,1584163
