IC3_EAGER_EXEC,cycle_detect,cascading_abort_times,IC3_FIELD_LOCKING,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,IC3_MODIFIED_TPCC,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,IC3_RENDEZVOUS,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
false,0, 0,false, 0.00442031, 0,100000,false, 945,0.5, 0, 0.0342333,0,LH_MCSLOCK,50000,IC3,2, 6031, 0.0972782,TPCC, 191349, 0.225546,false, 0.00764512,true,0,false,true,false,true,2,true,0, 0, 0, 1.158,0, 0, 0.00328963, 0, 0, 6031, 945, 0.0014626, 0,true,true,330482, 0, 0
true,0, 0,false, 0.00375095, 0,100000,false, 932,0.5, 0, 0.0376704,0,LH_MCSLOCK,50000,IC3,4, 6275, 0.103382,TPCC, 194301, 0.242759,false, 0.0124736,true,0,false,true,true,true,2,true,0, 0, 0, 1.22308,0, 0, 0.00334589, 0, 0, 6275, 932, 0.00151402, 0,true,true,317724, 0, 0
false,0, 0,false, 0.00432251, 0,100000,false, 914,0.5, 0, 0.0359503,0,LH_MCSLOCK,50000,IC3,4, 6595, 0.099809,TPCC, 196233, 0.247278,false, 0.00761515,true,0,false,true,false,true,2,true,0, 0, 0, 1.29839,0, 0, 0.00332944, 0, 0, 6595, 914, 0.00157587, 0,true,true,302271, 0, 0
true,0, 0,false, 0.00453206, 0,100000,false, 951,0.5, 0, 0.0520198,0,LH_MCSLOCK,50000,IC3,8, 7128, 0.101722,TPCC, 190107, 0.288949,false, 0.0129692,true,0,false,true,true,true,2,true,0, 0, 0, 1.35951,0, 0, 0.00334447, 0, 0, 7128, 951, 0.00149709, 0,true,true,279670, 0, 0
false,0, 0,false, 0.00427015, 0,100000,false, 918,0.5, 0, 0.0521816,0,LH_MCSLOCK,50000,IC3,8, 6994, 0.100443,TPCC, 188083, 0.272271,false, 0.00760518,true,0,false,true,false,true,2,true,0, 0, 0, 1.31966,0, 0, 0.00328137, 0, 0, 6994, 918, 0.00144114, 0,true,true,285047, 0, 0
true,0, 0,false, 0.00445758, 0,100000,false, 857,0.5, 0, 0.154818,0,LH_MCSLOCK,50000,IC3,16, 8990, 0.1041,TPCC, 177933, 0.420068,false, 0.0124004,true,0,false,true,true,true,2,true,0, 0, 0, 1.60424,0, 0, 0.00330409, 0, 0, 8990, 857, 0.00145417, 0,true,true,221828, 0, 0
false,0, 0,false, 0.00441939, 0,100000,false, 935,0.5, 0, 0.158834,0,LH_MCSLOCK,50000,IC3,16, 8886, 0.10304,TPCC, 181339, 0.414466,false, 0.00739491,true,0,false,true,false,true,2,true,0, 0, 0, 1.61579,0, 0, 0.00320343, 0, 0, 8886, 935, 0.00138527, 0,true,true,224458, 0, 0
true,0, 0,false, 0.499201, 0,100000,false, 2035,0.5, 0, 0.100044,0,LH_MCSLOCK,50000,IC3,1, 15203, 0.504812,TPCC, 392125, -1.70358,false, 2.52059,true,0,false,true,true,true,4,true,0, 0, 0, 5.98314,0, 0, 0.199741, 0, 0, 15135, 4474, 0.0822704, 0,true,true,262153, 0, 0
false,0, 0,false, 0.20592, 0,100000,false, 1999,0.5, 0, 0.137703,0,LH_MCSLOCK,50000,IC3,1, 20407, 0.427309,TPCC, 395805, -3.51523,false, 4.3776,true,0,false,true,false,true,4,true,0, 0, 0, 8.10901,0, 0, 0.111063, 0, 0, 20339, 3200, 0.0230246, 0,true,true,195242, 0, 0
true,0, 0,false, 0.116257, 0,100000,false, 2019,0.5, 0, 0.0934436,0,LH_MCSLOCK,50000,IC3,2, 10611, 0.431368,TPCC, 396338, -0.170507,false, 0.900714,true,0,false,true,true,true,4,true,0, 0, 0, 4.21803,0, 0, 0.0481078, 0, 0, 10602, 2541, 0.028098, 0,true,true,375852, 0, 0
false,0, 0,false, 0.07489, 0,100000,false, 1944,0.5, 0, 0.100779,0,LH_MCSLOCK,50000,IC3,2, 11810, 0.41983,TPCC, 395230, -0.633799,false, 1.34594,true,0,false,true,false,true,4,true,0, 0, 0, 4.68117,0, 0, 0.031384, 0, 0, 11805, 2168, 0.0138937, 0,true,true,337719, 0, 0
true,0, 0,false, 0.00977113, 0,100000,false, 1918,0.5, 0, 0.0741563,0,LH_MCSLOCK,50000,IC3,4, 6405, 0.198773,TPCC, 377049, 0.38127,false, 0.0238247,true,0,false,true,true,true,4,true,0, 0, 0, 2.42314,0, 0, 0.00650084, 0, 0, 6405, 1918, 0.00298241, 0,true,true,622414, 0, 0
false,0, 0,false, 0.00911591, 0,100000,false, 1889,0.5, 0, 0.0746149,0,LH_MCSLOCK,50000,IC3,4, 6552, 0.204114,TPCC, 372700, 0.379695,false, 0.0154056,true,0,false,true,false,true,4,true,0, 0, 0, 2.45011,0, 0, 0.00686389, 0, 0, 6552, 1889, 0.00294768, 0,true,true,608462, 0, 0
true,0, 0,false, 0.00918935, 0,100000,false, 1953,0.5, 0, 0.153529,0,LH_MCSLOCK,50000,IC3,8, 7148, 0.204916,TPCC, 376926, 0.476527,false, 0.0247864,true,0,false,true,true,true,4,true,0, 0, 0, 2.70347,0, 0, 0.00665232, 0, 0, 7148, 1953, 0.00322477, 0,true,true,557693, 0, 0
false,0, 0,false, 0.00908971, 0,100000,false, 1943,0.5, 0, 0.117889,0,LH_MCSLOCK,50000,IC3,8, 7363, 0.208958,TPCC, 382112, 0.51333,false, 0.0156784,true,0,false,true,false,true,4,true,0, 0, 0, 2.82252,0, 0, 0.00686693, 0, 0, 7363, 1943, 0.00289269, 0,true,true,541519, 0, 0
true,0, 0,false, 0.00910129, 0,100000,false, 1705,0.5, 0, 0.263561,0,LH_MCSLOCK,50000,IC3,16, 8593, 0.212489,TPCC, 344625, 0.705255,false, 0.0238868,true,0,false,true,true,true,4,true,0, 0, 0, 2.96992,0, 0, 0.00671335, 0, 0, 8593, 1705, 0.00291347, 0,true,true,464154, 0, 0
false,0, 0,false, 0.01076, 0,100000,false, 1832,0.5, 0, 0.356505,0,LH_MCSLOCK,50000,IC3,16, 9552, 0.227196,TPCC, 363426, 0.949989,false, 0.0156688,true,0,false,true,false,true,4,true,0, 0, 0, 3.48124,0, 0, 0.00714316, 0, 0, 9552, 1832, 0.00311403, 0,true,true,417582, 0, 0
true,0, 0,false, 7.05496, 0,100000,false, 4062,0.5, 0, 0.284016,0,LH_MCSLOCK,50000,IC3,1, 34611, 1.23908,TPCC, 796399, -15.7162,false, 18.0339,true,0,false,true,true,true,8,true,0, 0, 0, 27.6775,0, 0, 0.93446, 0, 0, 34266, 15830, 0.285402, 0,true,true,230194, 0, 0
false,0, 0,false, 0.976407, 0,100000,false, 3904,0.5, 0, 0.313209,0,LH_MCSLOCK,50000,IC3,1, 40429, 0.873961,TPCC, 796969, -21.8113,false, 23.7569,true,0,false,true,false,true,8,true,0, 0, 0, 32.3539,0, 0, 0.541459, 0, 0, 40210, 10563, 0.0451461, 0,true,true,197063, 0, 0
true,0, 0,false, 1.11107, 0,100000,false, 3867,0.5, 0, 0.21942,0,LH_MCSLOCK,50000,IC3,2, 17433, 0.994506,TPCC, 770538, -3.95031,false, 5.82585,true,0,false,true,true,true,8,true,0, 0, 0, 13.4798,0, 0, 0.355744, 0, 0, 17359, 8250, 0.157512, 0,true,true,457300, 0, 0
